query,top_name,top_homba_id,score,methods,matched_alias,matched_query,modifier_terms,modifier_match_score,review_flag,rank2_name,rank2_score
Septum and diagonal band,diagonal band,HOMBA:12034,0.854167,bm25+fuzzy,diagonal band of broca,septum and diagonal band of broca,,1.0,needs_review,nucleus of diagonal band,0.591526
Septum Diagonal Band,diagonal band,HOMBA:12034,0.856667,bm25+fuzzy,diagonal band of broca,septum diagonal band of broca,,1.0,needs_review,nucleus of diagonal band,0.597885
Simple Lobule,lobule VI (simple lobule),HOMBA:AA30408,1.0,bm25+exact+fuzzy+hierarchy_parent,Simple Lobule,Simple Lobule,,1.0,high_confidence,"lobule VIA (simple lobule, rostral part)",1.0
Solitary Tract Nucleus,solitary tract,HOMBA:12783,0.854167,bm25+fuzzy,solitary tract,solitary tract nuclei,,1.0,needs_review,solitary nucleus,0.821905
Spinal Trigeminal Nucleus Caudal,"spinal trigeminal nucleus, caudal division",HOMBA:12573,1.0,bm25+fuzzy,spinal principal sensory nucleus of trigeminal nerve caudal part,spinal principal sensory nucleus of trigeminal nerve caudal,caudal,1.0,high_confidence,spinal trigeminal nucleus,0.77259
Spinal Trigeminal Nucleus Intermediate,afferent nuclei of cranial nerves in pons,HOMBA:12436,0.7809,hierarchy_parent,afferent nuclei of cranial nerves in pons,Spinal Trigeminal Nucleus Intermediate,,1.0,needs_review,spinal trigeminal nucleus,0.75465
Spinal Trigeminal Nucleus Oral,"spinal nucleus of trigeminal nerve, rostral subnucleus",HOMBA:12447,0.847932,bm25+fuzzy,"spinal nucleus of trigeminal nerve, oral subnucleus",spinal principal sensory nucleus of trigeminal nerve oral,oral,1.0,needs_review,spinal trigeminal nucleus,0.785316
Stria medullaris,stria medullaris of thalamus,HOMBA:10590,0.782738,bm25+fuzzy,stria medullaris of thalamus,Stria medullaris,,1.0,needs_review,stria terminalis,0.260998
"Striate cortex, dorsolateral, inferior","primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",HOMBA:10269,0.636442,bm25+fuzzy,striate cortex,"Striate cortex, dorsolateral, inferior",,1.0,needs_review,temporal cortex,0.543837
"Striate cortex, dorsolateral, superior","primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",HOMBA:10269,0.636442,bm25+fuzzy,striate cortex,"Striate cortex, dorsolateral, superior",,1.0,needs_review,dorsolateral prefrontal cortex,0.536352
"Striate cortex, medial","primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",HOMBA:10269,0.751667,bm25+fuzzy,striate cortex,"Striate cortex, medial",medial,0.0,needs_review,medial (caudal) entorhinal cortex,0.63767
Subcallosal cortex,subgenual (subcallosal) cingulate cortex (area 25),HOMBA:10281,0.494872,bm25+fuzzy,subcallosal,Subcallosal cortex,,1.0,low_confidence,cingulate cortex,0.49439
Subceruleus,subcoeruleus nucleus,HOMBA:12500,0.395795,fuzzy,SubC,Subceruleus,,1.0,low_confidence,nucleus coeruleus (locus coeruleus),0.34744
Subicular complex,subicular complex,HOMBA:266441673,1.0,bm25+exact+fuzzy,Subicular complex,Subicular complex,,1.0,high_confidence,subplate-derived cell layer of subicular complex,0.493317
Subparafascicular Nucleus,subparafascicular nucleus of thalamus,HOMBA:13054,0.856667,bm25+fuzzy,subparafascicular nucleus of thalamus,Subparafascicular Nucleus,,1.0,needs_review,cerebellar deep nuclei,0.258872
Subparafascicular parvocellular thalamic nucleus,ventral midline nuclei of thalamus,HOMBA:AA30276,0.690948,hierarchy_parent,ventral midline nuclei of thalamus,Subparafascicular parvocellular thalamic nucleus,,1.0,needs_review,subparafascicular nucleus of thalamus,0.610948
Substantia nigra,substantia nigra,HOMBA:12251,1.0,bm25+exact+fuzzy+hierarchy_parent,Substantia nigra,Substantia nigra,,1.0,high_confidence,"substantia nigra, compact division",0.660445
Subthalamic nucleus,subthalamic nucleus,HOMBA:10466,1.0,bm25+exact+fuzzy,Subthalamic nucleus,Subthalamic nucleus,,1.0,high_confidence,subthalamic fasciculus,0.274822
Superior Cerebellar Peduncle,superior cerebellar peduncle (brachium conjunctivum),HOMBA:12354,1.0,bm25+exact+fuzzy,Superior Cerebellar Peduncle,Superior Cerebellar Peduncle,,1.0,high_confidence,decussation of superior cerebellar peduncle,0.7425
Superior Cerebellar Peduncle Decussation,decussation of superior cerebellar peduncle,HOMBA:12337,1.0,bm25+fuzzy,decussation of superior cerebellar peduncle,Superior Cerebellar Peduncle Decussation,decussation,1.0,high_confidence,pyramidal decussation,0.360384
Superior colliculus,superior colliculus,HOMBA:12292,1.0,bm25+exact+fuzzy+hierarchy_parent,Superior colliculus,Superior colliculus,,1.0,high_confidence,brachium of superior colliculus,0.813844
Superior frontal gyrus,superior frontal gyrus,HOMBA:12115,1.0,bm25+exact+fuzzy,Superior frontal gyrus,Superior frontal gyrus,,1.0,high_confidence,frontal lobe,0.97
"Superior frontal gyrus, medial",superior frontal gyrus,HOMBA:12115,0.7722,bm25+fuzzy,superior frontal gyrus,"Superior frontal gyrus, medial",medial,0.0,needs_review,superior frontal sulcus,0.530303
Superior Olive,medial superior olivary nucleus,HOMBA:12470,0.734583,bm25+fuzzy,medial superior olive,Superior Olive,,1.0,needs_review,superior olivary complex,0.25625
Superior temporal gyrus,superior temporal gyrus,HOMBA:12140,1.0,bm25+exact+fuzzy,Superior temporal gyrus,Superior temporal gyrus,,1.0,high_confidence,temporal lobe,0.97
Supra Geniculate,medial geniculate nuclear complex,HOMBA:AA30307,0.429875,bm25+hierarchy_parent,medial geniculate nuclear complex,Supra Geniculate,,1.0,low_confidence,lateral geniculate nuclear complex,0.427862
Supraoptic Hypothalamus,hypothalamus,HOMBA:10467,0.703804,bm25+fuzzy+hierarchy_parent,hypothalamus,Supraoptic Hypothalamus,,1.0,needs_review,regions of hypothalamus,0.593177
Supraoptic nucleus,supraoptic nucleus,HOMBA:10481,1.0,bm25+exact+fuzzy+hierarchy_parent,Supraoptic nucleus,Supraoptic nucleus,,1.0,high_confidence,supraoptic region of HTH,0.97
"Supratemporal plane, anterior",anterior commissure,HOMBA:10559,0.590046,bm25+hierarchy_parent,anterior commissure,"Supratemporal plane, anterior",,1.0,low_confidence,rostral (anterior) branch of anterior commissure,0.510046
"Supratemporal plane, posterior",caudal (posterior) branch of anterior commissure,HOMBA:AA30485,0.639344,bm25+fuzzy,posterior,"Supratemporal plane, posterior",posterior,1.0,needs_review,caudal (posterior) extramural migratory stream,0.639344
Tail of caudate nucleus,tail of caudate nucleus (caudolateral division of the CP),HOMBA:10337,1.0,bm25+exact+fuzzy,Tail of caudate nucleus,Tail of caudate nucleus,,1.0,high_confidence,caudate nucleus (mediodorsal division of the CP),0.97
Temporal pole,temporal pole (temporopolar cortex),HOMBA:12146,1.0,bm25+exact+fuzzy,Temporal pole,Temporal pole,,1.0,high_confidence,temporal lobe,0.97
Third ventricle,third ventricle,HOMBA:10602,1.0,bm25+exact+fuzzy+hierarchy_parent,Third ventricle,Third ventricle,,1.0,high_confidence,regions of third ventricle,0.870192
Transverse Fibers,transverse fibers,HOMBA:AA30879,1.0,bm25+exact+fuzzy,Transverse Fibers,Transverse Fibers,,1.0,high_confidence,transverse fibers of pons (pontine crossing tract),0.736733
Trapezoid Bundle Region,trapezoid body,HOMBA:12796,0.536476,bm25+fuzzy,trapezoid body,Trapezoid Bundle Region,,1.0,low_confidence,nucleus of trapezoid body,0.398124
