query,top_name,top_homba_id,score,methods,matched_alias,matched_query,modifier_terms,modifier_match_score,review_flag,rank2_name,rank2_score
Mammillary body,mammillary body,HOMBA:15546,1.0,bm25+exact+fuzzy,Mammillary body,Mammillary body,,1.0,high_confidence,body of corpus callosum,0.276296
Pineal gland,pineal body,HOMBA:10460,1.0,bm25+exact+fuzzy,Pineal gland,Pineal gland,,1.0,high_confidence,pituitary body/gland (hypophysis),0.278347
Pulvinar nucleus,pulvinar of thalamus,HOMBA:10409,1.0,bm25+exact+fuzzy+hierarchy_parent,Pulvinar nucleus,Pulvinar nucleus,,1.0,high_confidence,dorsal group of LNC,0.68575
Subthalamic nucleus,subthalamic nucleus,HOMBA:10466,1.0,bm25+exact+fuzzy,Subthalamic nucleus,Subthalamic nucleus,,1.0,high_confidence,subthalamic fasciculus,0.273351
Thalamus (excluding pulvinar),thalamus,HOMBA:10390,0.88,bm25+exact+fuzzy,Thalamus,Thalamus,excluding;pulvinar;excluding pulvinar,0.0,needs_review,pulvinar of thalamus,0.798301
Inferior colliculus,inferior colliculus,HOMBA:12305,1.0,bm25+exact+fuzzy+hierarchy_parent,Inferior colliculus,Inferior colliculus,,1.0,high_confidence,brachium of inferior colliculus,0.813844
Red nucleus,red nucleus,HOMBA:12247,1.0,bm25+exact+fuzzy+hierarchy_parent,Red nucleus,Red nucleus,,1.0,high_confidence,"red nucleus, dorsomedial division",0.653295
Substantia nigra,substantia nigra,HOMBA:12251,1.0,bm25+exact+fuzzy+hierarchy_parent,Substantia nigra,Substantia nigra,,1.0,high_confidence,"substantia nigra, compact division",0.660445
Superior colliculus,superior colliculus,HOMBA:12292,1.0,bm25+exact+fuzzy+hierarchy_parent,Superior colliculus,Superior colliculus,,1.0,high_confidence,brachium of superior colliculus,0.813844
Abducens nucleus,abducens nucleus,HOMBA:12418,1.0,bm25+exact+fuzzy,Abducens nucleus,Abducens nucleus,,1.0,high_confidence,cerebellar deep nuclei,0.260408
Facial nucleus,facial nucleus,HOMBA:12420,1.0,bm25+exact+fuzzy+hierarchy_parent,Facial nucleus,Facial nucleus,,1.0,high_confidence,"facial nucleus, stylohyoid subnucleus",0.770833
Trigeminal nucleus (motor),"motor nucleus of trigeminal nerve (motor trigeminal nucleus, Mo5)",HOMBA:12429,1.0,bm25+fuzzy,motor principal sensory nucleus of trigeminal nerve,principal sensory nucleus of trigeminal nerve motor,motor,1.0,high_confidence,principal sensory nucleus of trigeminal nerve,0.88
Trigeminal nucleus (principal sensory),principal sensory nucleus of trigeminal nerve,HOMBA:12444,1.0,bm25+exact+fuzzy,Trigeminal nucleus,Trigeminal nucleus,principal;sensory;principal sensory,1.0,high_confidence,spinal trigeminal nucleus,0.977518
Cuneate nucleus,cuneate nucleus,HOMBA:12589,1.0,bm25+exact+fuzzy+hierarchy_parent,Cuneate nucleus,Cuneate nucleus,,1.0,high_confidence,sensory relay nuclei in medulla oblongata,0.97
Cuneate nucleus (external),external (accessory/lateral) cuneate nucleus,HOMBA:12588,1.0,bm25+fuzzy,external   cuneate nucleus,Cuneate nucleus,external,1.0,high_confidence,cuneate nucleus,0.88
Gracile nucleus,gracile nucleus,HOMBA:12592,1.0,bm25+exact+fuzzy+hierarchy_parent,Gracile nucleus,Gracile nucleus,,1.0,high_confidence,"gracile nucleus, central division",0.755952
Hypoglossal nucleus,hypoglossal nucleus,HOMBA:12545,1.0,bm25+exact+fuzzy+hierarchy_parent,Hypoglossal nucleus,Hypoglossal nucleus,,1.0,high_confidence,other nuclei in dorsal medulla,0.909167
Inferior olive (principal nucleus),inferior olive,HOMBA:12600,1.0,bm25+exact+fuzzy,Inferior olive,Inferior olive,principal;nucleus;principal nucleus,0.333333,modifier_conflict,"inferior olive, principal division",1.0
Spinal trigeminal nucleus (caudalis),"spinal trigeminal nucleus, caudal division",HOMBA:12573,1.0,bm25+fuzzy,spinal trigeminal nucleus caudalis part,Spinal trigeminal nucleus (caudalis),caudalis,1.0,high_confidence,spinal trigeminal nucleus,0.88
Spinal trigeminal nucleus (interpolaris),"spinal trigeminal nucleus, interpolar division",HOMBA:12578,1.0,bm25+fuzzy,spinal trigeminal nucleus interpolaris part,Spinal trigeminal nucleus (interpolaris),interpolaris,1.0,high_confidence,spinal trigeminal nucleus,0.88
Spinal trigeminal nucleus (oralis),spinal trigeminal nucleus,HOMBA:12572,0.88,bm25+exact+fuzzy,Spinal trigeminal nucleus,Spinal trigeminal nucleus,oralis,0.0,needs_review,"spinal nucleus of trigeminal nerve, rostral subnucleus",0.848182
