dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,_category,_mechanism
corpus,Forel's field H,low_confidence,0.51772,HOMBA:AA30325,prerubral field (field H3),bm25+fuzzy,Forel's field H,prerubral field (field H3),,1.0,lenticular fasciculus (field H2),0.511592,D_homba_gap,HOMBA lacks this granularity
corpus,Temporal area PSL,low_confidence,0.519881,HOMBA:12139,temporal lobe,bm25+fuzzy+hierarchy_parent,Temporal area PSL,temporal lobe,,1.0,temporal claustrum,0.489256,D_homba_gap,HOMBA lacks this granularity
corpus,Temporal area TGd,low_confidence,0.519881,HOMBA:12139,temporal lobe,bm25+fuzzy+hierarchy_parent,Temporal area TGd,temporal lobe,,1.0,temporal claustrum,0.489256,D_homba_gap,HOMBA lacks this granularity
corpus,Opercular area OP1,low_confidence,0.520818,HOMBA:266441161,opercular subdivision of area 44,bm25+fuzzy,Opercular area OP1,opercular subdivision of area 44,,1.0,subincertal nucleus (area),0.304583,D_homba_gap,HOMBA lacks this granularity
corpus,Opercular area OP4,low_confidence,0.527818,HOMBA:266441161,opercular subdivision of area 44,bm25+fuzzy,Opercular area OP4,opercular subdivision of area 44,,1.0,subincertal nucleus (area),0.304583,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 9-46d,low_confidence,0.544979,HOMBA:10181,intermediate division of DFC (area 9/46),bm25+fuzzy,Prefrontal area 9-46d,area 9,,1.0,"rostrodorsal division of DFC (area 9, DFCd)",0.544979,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 9-46v,low_confidence,0.544979,HOMBA:10181,intermediate division of DFC (area 9/46),bm25+fuzzy,Prefrontal area 9-46v,area 9,,1.0,"rostrodorsal division of DFC (area 9, DFCd)",0.544979,D_homba_gap,HOMBA lacks this granularity
corpus,A1 catecholaminergic cell group,low_confidence,0.546631,HOMBA:AA30843,A8 dopamine cell group,bm25+fuzzy,A1 catecholaminergic cell group,A8 dopamine cell group,,1.0,A2 noradrenaline cell group,0.505414,D_homba_gap,HOMBA lacks this granularity
corpus,A4 catecholaminergic cell group,low_confidence,0.546631,HOMBA:AA30843,A8 dopamine cell group,bm25+fuzzy,A4 catecholaminergic cell group,A8 dopamine cell group,,1.0,A2 noradrenaline cell group,0.505414,D_homba_gap,HOMBA lacks this granularity
corpus,A5 catecholaminergic cell group,low_confidence,0.546631,HOMBA:AA30843,A8 dopamine cell group,bm25+fuzzy,A5 catecholaminergic cell group,A8 dopamine cell group,,1.0,A2 noradrenaline cell group,0.505414,D_homba_gap,HOMBA lacks this granularity
corpus,Insular area FOP1,low_confidence,0.547455,HOMBA:12176,insular lobe,bm25+fuzzy+hierarchy_parent,Insular area FOP1,insula,,1.0,major insular cortex,0.424743,D_homba_gap,HOMBA lacks this granularity
corpus,Insular area FOP2,low_confidence,0.547455,HOMBA:12176,insular lobe,bm25+fuzzy+hierarchy_parent,Insular area FOP2,insula,,1.0,major insular cortex,0.424743,D_homba_gap,HOMBA lacks this granularity
corpus,Insular area FOP3,low_confidence,0.547455,HOMBA:12176,insular lobe,bm25+fuzzy+hierarchy_parent,Insular area FOP3,insula,,1.0,major insular cortex,0.424743,D_homba_gap,HOMBA lacks this granularity
corpus,Insular area FOP4,low_confidence,0.547455,HOMBA:12176,insular lobe,bm25+fuzzy+hierarchy_parent,Insular area FOP4,insula,,1.0,major insular cortex,0.424743,D_homba_gap,HOMBA lacks this granularity
