query,top_name,top_homba_id,score,methods,matched_alias,matched_query,modifier_terms,modifier_match_score,review_flag,rank2_name,rank2_score
"Primary somatosensory area, forelimb representation","primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",HOMBA:10209,0.616725,bm25+fuzzy+hierarchy_parent,primary somatosensory cortex,primary somatosensory cortex forelimb representation,,1.0,needs_review,area 1 of primary somatosensory cortex,0.522058
"Primary somatosensory area, hindlimb representation","primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",HOMBA:10209,0.616725,bm25+fuzzy+hierarchy_parent,primary somatosensory cortex,primary somatosensory cortex hindlimb representation,,1.0,needs_review,area 1 of primary somatosensory cortex,0.519674
"Primary somatosensory area, trunk representation","primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",HOMBA:10209,0.637321,bm25+fuzzy+hierarchy_parent,primary somatosensory cortex,primary somatosensory cortex trunk representation,,1.0,needs_review,area 1 of primary somatosensory cortex,0.527519
Primary visual area,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",HOMBA:10269,1.0,bm25+exact+fuzzy+hierarchy_parent,Primary visual area,Primary visual area,,1.0,high_confidence,area x of visual cortex,0.7009
Pyramidal decussation,pyramidal decussation,HOMBA:12772,1.0,bm25+exact+fuzzy,Pyramidal decussation,Pyramidal decussation,decussation,1.0,high_confidence,supraoptic decussation,0.387702
Reticular (pre)thalamic nucleus,reticular nucleus of thalamus,HOMBA:10464,1.0,bm25+exact+fuzzy,Reticular  thalamic nucleus,Reticular  thalamic nucleus,pre;reticular,0.5,modifier_conflict,dorsal reticular nucleus,0.614522
"Reticular (pre)thalamic nucleus, auditory segment",reticular nucleus of thalamus,HOMBA:10464,0.845326,bm25+fuzzy,reticular nucleus of thalamus,reticular nucleus of thalamus auditory segment,pre;reticular,0.5,modifier_conflict,central reticular nuclei of pontine tegmentum,0.520324
"Reticular (pre)thalamic nucleus, unspecified",reticular nucleus of thalamus,HOMBA:10464,0.9375,bm25+fuzzy,reticular thalamic nucleus,"Reticular  thalamic nucleus, unspecified",pre;reticular,0.5,modifier_conflict,ventral reticular nuclei of pons,0.516942
Retroreuniens thalamic nucleus,reuniens (medioventral) nucleus of thalamus,HOMBA:10403,0.815,bm25+fuzzy,reuniens thalamic nucleus,Retroreuniens thalamic nucleus,,1.0,needs_review,ventral midline nuclei of thalamus,0.7697
Retrosplenial dysgranular area,dysgranular division of area prostriata,HOMBA:AA30028,0.491017,bm25+fuzzy,dysgranular division of area prostriata,Retrosplenial dysgranular area,,1.0,low_confidence,retrosplenial cortex,0.456719
Retrosplenial granular area,"granular retrosplenial cortex (area 29, RSg)",HOMBA:10325,0.816273,bm25+fuzzy,granular retrosplenial cortex,Retrosplenial granular area,granular,1.0,needs_review,"agranular retrosplenial cortex (area 30, RSag)",0.354829
Reuniens thalamic nucleus,reuniens (medioventral) nucleus of thalamus,HOMBA:10403,1.0,bm25+exact+fuzzy,Reuniens thalamic nucleus,Reuniens thalamic nucleus,,1.0,high_confidence,ventral midline nuclei of thalamus,0.97
Rhomboid thalamic nucleus,rhomboid (central) nucleus of thalamus,HOMBA:10447,1.0,bm25+exact+fuzzy,Rhomboid thalamic nucleus,Rhomboid thalamic nucleus,,1.0,high_confidence,ventral midline nuclei of thalamus,0.97
"Secondary auditory area, dorsal part","secondary auditory cortex (auditory belt region, area 42, area TB)",HOMBA:10239,0.753867,bm25+fuzzy,secondary auditory cortex,secondary auditory cortex dorsal part,dorsal,0.0,needs_review,"dorsal secondary visual cortex (dorsal area 18, dorsal area OB, area 18a)",0.425626
"Secondary auditory area, ventral part","secondary auditory cortex (auditory belt region, area 42, area TB)",HOMBA:10239,0.745877,bm25+fuzzy,secondary auditory cortex,secondary auditory cortex ventral part,ventral,0.0,needs_review,"ventral secondary visual cortex (ventral area 18, ventral area OB, area 18b)",0.427339
Secondary motor area,"premotor cortex (area 6, area FB, secondary motor cortex)",HOMBA:10168,0.640938,bm25+fuzzy,secondary motor cortex,Secondary motor area,,1.0,needs_review,frontal motor cortex (posterior frontal cortex),0.620006
Secondary somatosensory area,subcentral cortex (area 43; secondary somatosensory cortex),HOMBA:13010,1.0,bm25+exact+fuzzy,Secondary somatosensory area,Secondary somatosensory area,,1.0,high_confidence,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",0.250723
"Secondary visual area, lateral part","ventral secondary visual cortex (ventral area 18, ventral area OB, area 18b)",HOMBA:AA30827,0.582402,bm25+fuzzy,ventral secondary visual cortex,secondary visual cortex lateral part,lateral,0.0,low_confidence,"dorsal secondary visual cortex (dorsal area 18, dorsal area OB, area 18a)",0.580978
"Secondary visual area, medial part","dorsal secondary visual cortex (dorsal area 18, dorsal area OB, area 18a)",HOMBA:AA30823,0.583756,bm25+fuzzy,dorsal secondary visual cortex,secondary visual cortex medial part,medial,0.0,low_confidence,"ventral secondary visual cortex (ventral area 18, ventral area OB, area 18b)",0.577633
Septal region,septal region (septal nuclear complex),HOMBA:10350,1.0,bm25+exact+fuzzy+hierarchy_parent,Septal region,Septal region,,1.0,high_confidence,rostral septal nuclear complex,0.77875
Spinal cord,spinal cord,HOMBA:AA30565,1.0,bm25+exact+fuzzy+hierarchy_parent,Spinal cord,Spinal cord,,1.0,high_confidence,gray matter of spinal cord,0.8925
Spinal trigeminal nucleus,spinal trigeminal nucleus,HOMBA:12572,1.0,bm25+exact+fuzzy+hierarchy_parent,Spinal trigeminal nucleus,Spinal trigeminal nucleus,,1.0,high_confidence,afferent nuclei of cranial nerves in pons,0.817465
Spinal trigeminal tract,spinal trigeminal tract,HOMBA:12792,1.0,bm25+exact+fuzzy,Spinal trigeminal tract,Spinal trigeminal tract,,1.0,high_confidence,mesencephalic trigeminal tract,0.634512
Spiral ganglion,basal ganglia (basal nuclei),HOMBA:10332,0.325676,fuzzy,basal ganglia,Spiral ganglion,,1.0,low_confidence,,
Stria medullaris thalami,stria medullaris of thalamus,HOMBA:10590,0.725473,bm25+fuzzy,stria medullaris of thalamus,Stria medullaris thalami,,1.0,needs_review,myelencephalon (medulla oblongata),0.40625
Stria terminalis,stria terminalis,HOMBA:10591,1.0,bm25+exact+fuzzy,Stria terminalis,Stria terminalis,,1.0,high_confidence,remaining caudal extension of BST (along stria terminalis),0.736733
Striatum,striatum (neostriatum),HOMBA:10333,1.0,bm25+exact+fuzzy+hierarchy_parent,Striatum,Striatum,,1.0,high_confidence,regions of striatum,0.7554
Subgeniculate nucleus,subgeniculate nucleus,HOMBA:AA30324,1.0,bm25+exact+fuzzy,Subgeniculate nucleus,Subgeniculate nucleus,,1.0,high_confidence,cerebellar deep nuclei,0.260408
Subiculum,subiculum proper (strictly defined subiculum),HOMBA:10302,1.0,bm25+exact+fuzzy+hierarchy_parent,Subiculum,Subiculum,,1.0,high_confidence,major division of subiculum,0.789559
Submedius thalamic nucleus,submedius thalamic nucleus,HOMBA:AA30278,1.0,bm25+exact+fuzzy,Submedius thalamic nucleus,Submedius thalamic nucleus,,1.0,high_confidence,ventral midline nuclei of thalamus,0.97
Subparafascicular nucleus,subparafascicular nucleus of thalamus,HOMBA:13054,1.0,bm25+exact+fuzzy,Subparafascicular nucleus,Subparafascicular nucleus,,1.0,high_confidence,ventral midline nuclei of thalamus,0.8342
Substantia nigra (compact part),"substantia nigra, compact division",HOMBA:12252,1.0,bm25+exact+fuzzy,Substantia nigra (compact part),Substantia nigra (compact part),compact,1.0,high_confidence,"substantia nigra, compact division, dorsal subdivision",0.948125
Substantia nigra (lateral part),"substantia nigra, lateral division",HOMBA:12257,1.0,bm25+exact+fuzzy,Substantia nigra (lateral part),Substantia nigra (lateral part),lateral,1.0,high_confidence,substantia nigra,0.88
Substantia nigra (reticular part),"substantia nigra, reticular division",HOMBA:12259,1.0,bm25+exact+fuzzy,Substantia nigra (reticular part),Substantia nigra (reticular part),reticular,1.0,high_confidence,substantia nigra,0.88
"Substantia nigra, compact part","substantia nigra, compact division",HOMBA:12252,1.0,bm25+exact+fuzzy,"Substantia nigra, compact part","Substantia nigra, compact part",compact,1.0,high_confidence,"substantia nigra, compact division, dorsal subdivision",0.948125
"Substantia nigra, lateral part","substantia nigra, lateral division",HOMBA:12257,1.0,bm25+exact+fuzzy,"Substantia nigra, lateral part","Substantia nigra, lateral part",lateral,1.0,high_confidence,substantia nigra,0.675805
