structure_name,dataset,rcs_score,rcs_review_flag,rcs_candidate_homba_id,rcs_candidate_name,rcs_methods
Dorsal Lateral Leminscus Nucleus,species,0.8110,needs_review,HOMBA:10429,lateral geniculate nucleus (dorsal lateral geniculate nucleus),bm25+fuzzy
Dorsal Medial Hypothalamic Nucleus,species,0.8423,needs_review,HOMBA:10489,dorsal division of VMHco,bm25+fuzzy
Dorsal Paragigantocellular Reticular Nucleus,species,1.0000,high_confidence,HOMBA:12628,dorsal paragigantocellular nucleus,bm25+exact+fuzzy
Dorsomedial hypothalamic nucleus,species,1.0000,high_confidence,HOMBA:10485,dorsomedial hypothalamic nucleus,bm25+exact+fuzzy+hierarchy_parent
Endopiriform nucleus,species,1.0000,high_confidence,HOMBA:10371,endopiriform nucleus,bm25+exact+fuzzy+hierarchy_parent
Extended amygdala,species,1.0000,high_confidence,HOMBA:10383,extended amygdala,bm25+exact+fuzzy+hierarchy_parent
Facial Motor Nucleus,species,1.0000,high_confidence,HOMBA:12420,facial nucleus,bm25+exact+fuzzy+hierarchy_parent
Fasciculus retroflexus,species,1.0000,high_confidence,HOMBA:12342,fasciculus retroflexus (habenuno-interpeduncular tract),bm25+exact+fuzzy
Fastigial Cerebellar Nucleus,species,1.0000,high_confidence,HOMBA:12402,fastigial (medial) nucleus,bm25+exact+fuzzy+hierarchy_parent
Fourth Nerve,species,1.0000,high_confidence,HOMBA:15544,optic nerve,bm25+exact+fuzzy
"Frontal orbital cortex, anterior",species,1.0000,high_confidence,HOMBA:10194,orbital frontal cortex,bm25+exact+fuzzy+hierarchy_parent
"Frontal orbital cortex, lateral",species,0.9936,high_confidence,HOMBA:10205,"lateral orbital frontal cortex (OFCl, area 12/47)",bm25+fuzzy
"Frontal orbital cortex, medial",species,0.9894,high_confidence,HOMBA:10195,medial orbital frontal cortex (area 14),bm25+fuzzy
"Frontal orbital cortex, posterior",species,0.9371,high_confidence,HOMBA:10194,orbital frontal cortex,bm25+fuzzy
Frontal pole,species,1.0000,high_confidence,HOMBA:146034888,frontal pole,bm25+exact+fuzzy
Gigantocellular Reticular Nucleus,species,1.0000,high_confidence,HOMBA:12625,gigantocellular reticular nuclei,bm25+exact+fuzzy
Habenula,species,1.0000,high_confidence,HOMBA:10452,habenular nuclei,bm25+exact+fuzzy+hierarchy_parent
Head of caudate nucleus,species,1.0000,high_confidence,HOMBA:10335,head of caudate nucleus,bm25+exact+fuzzy
Inferior Cerebellar Peduncle,species,1.0000,high_confidence,HOMBA:12741,inferior cerebellar peduncle,bm25+exact+fuzzy
Inferior frontal gyrus,species,1.0000,high_confidence,HOMBA:12117,inferior frontal gyrus,bm25+exact+fuzzy+hierarchy_parent
Inferior Olive,species,1.0000,high_confidence,HOMBA:12600,inferior olive,bm25+exact+fuzzy+hierarchy_parent
Inferior Pulvinar,species,1.0000,high_confidence,HOMBA:10413,inferior division of pulvinar,bm25+exact+fuzzy
Insular cortex,species,1.0000,high_confidence,HOMBA:10288,major insular cortex,bm25+exact+fuzzy+hierarchy_parent
Interanteromedial Thalamus,species,1.0000,high_confidence,HOMBA:13048,interanteromedial nucleus of thalamus,bm25+exact+fuzzy
Intermediate+ventral Lateral Lemniscus Nuclei,species,0.8679,needs_review,HOMBA:12457,ventral nucleus of lateral lemniscus,bm25+fuzzy
Intermediodorsal thalamic nucleus,species,1.0000,high_confidence,HOMBA:AA30327,intermediate (dorsal) habenular nucleus,bm25+exact+fuzzy
Intermediodorsal Thalamus,species,1.0000,high_confidence,HOMBA:10391,dorsal thalamus,bm25+exact+fuzzy+hierarchy_parent
Interpeduncular Nucleus,species,1.0000,high_confidence,HOMBA:12270,interpeduncular nucleus,bm25+exact+fuzzy+hierarchy_parent
Intra-amygdaloid division of the bed nucleus of the stria terminalis,species,1.0000,high_confidence,HOMBA:10591,stria terminalis,bm25+exact+fuzzy
Intraamygdaloid Stria Terminalis,species,0.7438,needs_review,HOMBA:10591,stria terminalis,bm25+fuzzy
"Intracalcarine cortex, inferior",species,1.0000,high_confidence,HOMBA:10426,ventral posterior inferior nucleus,bm25+exact+fuzzy
"Intracalcarine cortex, superior",species,1.0000,high_confidence,HOMBA:10306,paleocortex (semicortex),bm25+exact+fuzzy
Justaparaventricular Lateral Hypothalamus,species,1.0000,high_confidence,HOMBA:10467,hypothalamus,bm25+exact+fuzzy
Juxtaparaventricular nucleus,species,1.0000,high_confidence,HOMBA:12586,paravestibular nucleus,bm25+exact+fuzzy
Kolliker-Fuse Nucleus,species,0.7564,needs_review,HOMBA:12518,Koelliker-Fuse nucleus,bm25+fuzzy
Lamina Terminalis,species,1.0000,high_confidence,HOMBA:12105,lamina terminalis,bm25+exact+fuzzy
Lamina terminalis and vascular organ,species,0.3298,low_confidence,HOMBA:12105,lamina terminalis,bm25
Lateral amygdaloid nucleus (dorsal),species,1.0000,high_confidence,HOMBA:10396,lateral dorsal nucleus of thalamus,bm25+exact+fuzzy
Lateral amygdaloid nucleus (ventral),species,1.0000,high_confidence,HOMBA:13040,basal ventral medial nucleus,bm25+fuzzy
Lateral Cerebellar Nucleus,species,1.0000,high_confidence,HOMBA:10453,lateral habenular nucleus,bm25+exact+fuzzy
Lateral Dorsal Amygdaloid Nucleus,species,1.0000,high_confidence,HOMBA:10396,lateral dorsal nucleus of thalamus,bm25+fuzzy
Lateral Dorsal Tegmentum,species,0.7508,modifier_conflict,HOMBA:12122,medial orbital gyrus,bm25+fuzzy
Lateral Dorsal Thalamus,species,1.0000,high_confidence,HOMBA:10391,dorsal thalamus,bm25+exact+fuzzy
Lateral hypothalamic area,species,0.9676,high_confidence,HOMBA:10494,"lateral hypothalamic area, tuberal part",bm25+fuzzy
Lateral Lemniscus,species,1.0000,high_confidence,HOMBA:12760,lateral lemniscus,bm25+exact+fuzzy
Lateral Parabrachial Nucleus,species,1.0000,high_confidence,HOMBA:12482,lateral parabrachial nucleus,bm25+exact+fuzzy
"Lateral parietal cortex, inferior",species,1.0000,high_confidence,HOMBA:10225,inferior lateral parietal cortex,bm25+fuzzy
"Lateral parietal cortex, superior",species,0.8632,needs_review,HOMBA:10225,inferior lateral parietal cortex,bm25+fuzzy
Lateral Posterior Thalamus,species,0.9706,high_confidence,HOMBA:10408,lateral posterior nucleus of thalamus,bm25+fuzzy
Lateral Pulvinar,species,1.0000,high_confidence,HOMBA:10412,lateral division of pulvinar,bm25+fuzzy
Lateral Reticular Nucleus,species,1.0000,high_confidence,HOMBA:12634,lateral reticular nucleus,bm25+exact+fuzzy
Lateral Ventral Amygdaloid Nucleus,species,1.0000,high_confidence,HOMBA:13040,basal ventral medial nucleus,bm25+exact+fuzzy
Laterodorsal thalamic nucleus,species,1.0000,high_confidence,HOMBA:12519,laterodorsal tegmental nucleus,bm25+exact+fuzzy+hierarchy_parent
Limitans Thalamus,species,0.7009,needs_review,HOMBA:10390,thalamus,bm25+fuzzy
Linear raphe,species,1.0000,high_confidence,HOMBA:10581,internal capsule,bm25+exact+fuzzy+hierarchy_parent
Locus-coeruleus Region,species,0.8084,needs_review,HOMBA:12499,nucleus coeruleus (locus coeruleus),bm25+fuzzy
Mammillary Hypothalamus,species,0.7009,needs_review,HOMBA:10467,hypothalamus,bm25+fuzzy+hierarchy_parent
Mammillary nucleus,species,1.0000,high_confidence,HOMBA:10498,mammillary nuclear complex,bm25+exact+fuzzy+hierarchy_parent
Medial amygdaloid nucleus,species,1.0000,high_confidence,HOMBA:10376,medial nuclear complex of amygdala,bm25+exact+fuzzy
Medial cerebellar peduncle,species,1.0000,high_confidence,HOMBA:12741,inferior cerebellar peduncle,bm25+exact+fuzzy
Medial Dorsal Tegmentum,species,1.0000,high_confidence,HOMBA:12122,medial orbital gyrus,bm25+exact+fuzzy
Medial eminence,species,1.0000,high_confidence,HOMBA:12820,medial eminence,bm25+exact+fuzzy
Medial Emminence,species,0.8199,needs_review,HOMBA:12820,medial eminence,bm25+fuzzy
Medial Geniculate,species,0.9767,high_confidence,HOMBA:10434,medial geniculate nucleus,bm25+fuzzy
Medial Lemniscus,species,1.0000,high_confidence,HOMBA:12763,medial lemniscus,bm25+exact+fuzzy
Medial longitudinal fascicle,species,1.0000,high_confidence,HOMBA:12764,medial longitudinal fasciculus,bm25+exact+fuzzy
Medial Parabrachial Nucleus,species,1.0000,high_confidence,HOMBA:12487,medial parabrachial nucleus,bm25+exact+fuzzy
Medial parietal cortex,species,0.9975,high_confidence,HOMBA:10215,superior medial parietal cortex,bm25+fuzzy
Medial Pulvinar,species,1.0000,high_confidence,HOMBA:10411,medial division of pulvinar,bm25+fuzzy
Medial Raphe,species,1.0000,high_confidence,HOMBA:12235,median raphe nucleus,bm25+exact+fuzzy
Mediodorsal Thalamus,species,1.0000,high_confidence,HOMBA:10398,mediodorsal nucleus of thalamus,bm25+exact+fuzzy
Mediolateral Fascicle,species,0.5028,low_confidence,HOMBA:AA30790,mediolateral sulcus,bm25+fuzzy
Medullar Reticular Nucleus,species,1.0000,high_confidence,HOMBA:12634,lateral reticular nucleus,bm25+exact+fuzzy
Mesencephalic Reticular Formation,species,0.7807,needs_review,HOMBA:15547,isthmic reticular formation,bm25+fuzzy
Mesencephalic Trigeminal Nerve,species,1.0000,high_confidence,HOMBA:12208,mesencephalic trigeminal nucleus,bm25+exact+fuzzy
Midbrain reticular formation,species,1.0000,high_confidence,HOMBA:12239,midbrain reticular formation,bm25+exact+fuzzy
Mircrocellular Tegmentum,species,0.5566,low_confidence,HOMBA:12282,paracollicular tegmentum,bm25+fuzzy
Motor Trigeminal Nucleus,species,1.0000,high_confidence,HOMBA:12429,"motor nucleus of trigeminal nerve (motor trigeminal nucleus, Mo5)",bm25+exact+fuzzy+hierarchy_parent
Occulomotor Nerve,species,1.0000,high_confidence,HOMBA:12376,root of occulomotor nerve,bm25+exact+fuzzy
Occulomotor Nuclei,species,1.0000,high_confidence,HOMBA:12198,oculomotor nucleus,bm25+exact+fuzzy+hierarchy_parent
Oculomotor complex,species,1.0000,high_confidence,HOMBA:12198,oculomotor nucleus,bm25+exact+fuzzy+hierarchy_parent
Olfactory tubercle,species,1.0000,high_confidence,HOMBA:10310,olfactory tubercle,bm25+exact+fuzzy+hierarchy_parent
Olfactory Tubercule,species,0.6850,needs_review,HOMBA:10310,olfactory tubercle,bm25+fuzzy+hierarchy_parent
Olivocerebellar Tract,species,1.0000,high_confidence,HOMBA:12747,olivocerebellar tract,bm25+exact+fuzzy
Optic Tract,species,1.0000,high_confidence,HOMBA:10589,optic tract,bm25+exact+fuzzy
Optic tract/chiasma,species,0.7884,needs_review,HOMBA:10589,optic tract,bm25+fuzzy
P1 Mesencephalic Reticulum,species,0.2137,low_confidence,HOMBA:12480,Pontine reticular formation,bm25
Parabigeminal Nucleus,species,1.0000,high_confidence,HOMBA:12312,parabigeminal nucleus,bm25+exact+fuzzy
Paraflocculus,species,1.0000,high_confidence,HOMBA:AA30421,lobule IXb (paraflocculus),bm25+exact+fuzzy
Paralaminar amygdaloid nucleus,species,1.0000,high_confidence,HOMBA:12571,parasolitary nucleus,bm25+exact+fuzzy
Paramedian Lobule,species,1.0000,high_confidence,HOMBA:AA30417,"lobule VIIIA (biventral lobule, part 1, paramedian lobule)",bm25+exact+fuzzy
Paratenial-paraventral-thalamus,species,1.0000,high_confidence,HOMBA:10390,thalamus,bm25+exact+fuzzy
Paraventricular Anterior Thalamus,species,1.0000,high_confidence,HOMBA:10457,paraventricular nucleus of thalamus,bm25+exact+fuzzy+hierarchy_parent
Paraventricular hypothalamic nucleus,species,1.0000,high_confidence,HOMBA:10475,anterior hypothalamic nucleus,bm25+exact+fuzzy
Paraventricular Hypothalamus,species,0.7016,needs_review,HOMBA:10476,paraventricular nucleus of hypothalamus,bm25+fuzzy+hierarchy_parent
Paraventricular Posterior Thalamus,species,0.8946,needs_review,HOMBA:10457,paraventricular nucleus of thalamus,bm25+fuzzy
Parvicellular and Intermediate Reticular Nuclei,species,1.0000,high_confidence,HOMBA:12620,intermediate reticular nucleus,bm25+exact+fuzzy
Peduncular lateral hypothalamic nucleus,species,1.0000,high_confidence,HOMBA:AA30339,ventral anterior hypothalamic nucleus,bm25+exact+fuzzy
Peduncular Lateral Hypothalamus,species,1.0000,high_confidence,HOMBA:10467,hypothalamus,bm25+exact+fuzzy
Pedunculopontine Nucleus,species,0.7396,needs_review,HOMBA:12406,pontine nucleus,fuzzy+hierarchy_parent
Peri-basal region,species,1.0000,high_confidence,HOMBA:AA30365,prerubral regions,bm25+exact+fuzzy
Perifornical nucleus,species,1.0000,high_confidence,HOMBA:11578,perifornical nucleus,bm25+exact+fuzzy
Piriform cortex,species,1.0000,high_confidence,HOMBA:10311,piriform cortex,bm25+exact+fuzzy
Pontine nucleus,species,1.0000,high_confidence,HOMBA:12406,pontine nucleus,bm25+exact+fuzzy+hierarchy_parent
Pontine Reticulum Caudal,species,0.7251,needs_review,HOMBA:12493,"pontine reticular nucleus, caudal division",bm25+fuzzy
Pontine Reticulum Oral,species,1.0000,high_confidence,HOMBA:12480,Pontine reticular formation,bm25+exact+fuzzy
"Postcentral gyrus, lateral",species,1.0000,high_confidence,HOMBA:12132,postcentral gyrus,bm25+fuzzy
"Postcentral gyrus, medial",species,1.0000,high_confidence,HOMBA:12132,postcentral gyrus,bm25+exact+fuzzy
Posterior Commissural Nuclei,species,1.0000,high_confidence,HOMBA:10567,posterior commissure,bm25+exact+fuzzy
Posterior Commissure,species,1.0000,high_confidence,HOMBA:10567,posterior commissure,bm25+exact+fuzzy
Posterior hypothalamic nucleus,species,1.0000,high_confidence,HOMBA:10503,posterior hypothalamic nucleus,bm25+exact+fuzzy
Posterior Interposed Cerebellar Nucleus,species,0.7122,needs_review,HOMBA:12838,anterior lobe of cerebellar cortex,bm25+fuzzy
Posterior Interstitial Nucleus,species,1.0000,high_confidence,HOMBA:AA30313,posterior limitans nucleus,bm25+exact+fuzzy
Posterior interstitial nucleus of the anterior commissure,species,0.9998,high_confidence,HOMBA:10388,interstitial nucleus of posterior limb of anterior commissure (fundus of striatum),bm25+fuzzy
Posterior pituitary,species,1.0000,high_confidence,HOMBA:10214,posterior parietal cortex,bm25+exact+fuzzy
Pre-supplementary motor area,species,0.7367,needs_review,HOMBA:AA30012,medial division of area 6 (supplementary motor area),bm25+fuzzy
"Precentral gyrus, lateral",species,1.0000,high_confidence,HOMBA:12114,precentral gyrus,bm25+fuzzy
"Precentral gyrus, medial/supplementary motor area",species,1.0000,high_confidence,HOMBA:12114,precentral gyrus,bm25+exact+fuzzy
Precommissural nucleus,species,1.0000,high_confidence,HOMBA:12287,precommissural nucleus,bm25+exact+fuzzy
Precuneiform Nucleus,species,0.7733,needs_review,HOMBA:12240,cuneiform nucleus,fuzzy+hierarchy_parent
Prefornical Hypothalamus,species,0.7009,needs_review,HOMBA:10467,hypothalamus,bm25+fuzzy+hierarchy_parent
Prelunate gyrus,species,1.0000,high_confidence,HOMBA:AA30555,prelunate gyrus,bm25+exact+fuzzy
"Premotor cortex, dorsal",species,1.0000,high_confidence,HOMBA:10172,prefrontal cortex,bm25+exact+fuzzy
"Premotor cortex, ventral",species,1.0000,high_confidence,HOMBA:AA30479,region of fourth ventricle,bm25+exact+fuzzy
Preoptic area,species,0.8150,needs_review,HOMBA:10468,preoptic region of HTH,bm25+fuzzy+hierarchy_parent
Prepositus Nucleus,species,0.7836,needs_review,HOMBA:AA30453,other nuclei in dorsal medulla,hierarchy_parent
Prerubral Field,species,1.0000,high_confidence,HOMBA:AA30325,prerubral field (field H3),bm25+exact+fuzzy
Principal Trigeminal Nucleus,species,1.0000,high_confidence,HOMBA:12444,principal sensory nucleus of trigeminal nerve,bm25+exact+fuzzy
Pyramidal Tract,species,1.0000,high_confidence,HOMBA:12773,pyramidal tract,bm25+exact+fuzzy+hierarchy_parent
Pyramidal Tract Decussation,species,1.0000,high_confidence,HOMBA:12772,pyramidal decussation,bm25+exact+fuzzy
Raphe Magnus Nucleus,species,1.0000,high_confidence,HOMBA:12642,raphe magnus nucleus,bm25+exact+fuzzy
Raphe Obscurus Nucleus,species,1.0000,high_confidence,HOMBA:12643,raphe obscurus nucleus,bm25+exact+fuzzy
Reticular thalamic nucleus,species,1.0000,high_confidence,HOMBA:AA30314,ethmoid thalamic nucleus,bm25+exact+fuzzy
Reticular Thalamus,species,0.9365,high_confidence,HOMBA:10464,reticular nucleus of thalamus,bm25+fuzzy
Reticulotegmentum,species,1.0000,high_confidence,HOMBA:12497,reticulotegmental nucleus,bm25+exact+fuzzy+hierarchy_parent
Retro-mammillary nucleus,species,1.0000,high_confidence,HOMBA:10496,tuberomammillary nucleus,bm25+exact+fuzzy
Retroisthmic Nucleus,species,1.0000,high_confidence,HOMBA:12289,retrorubral field (retroisthmic nucleus),bm25+exact+fuzzy
Retromammillary Hypothalamus,species,0.7009,needs_review,HOMBA:10467,hypothalamus,bm25+fuzzy+hierarchy_parent
Retrorubral Field,species,1.0000,high_confidence,HOMBA:12289,retrorubral field (retroisthmic nucleus),bm25+exact+fuzzy
Reuniens-rhomboid-xiphoid Thalamus,species,1.0000,high_confidence,HOMBA:10390,thalamus,bm25+exact+fuzzy
Saginum Nucleus,species,1.0000,high_confidence,HOMBA:12662,supragenual nucleus,bm25+exact+fuzzy
Sensory Root of the Trigeminal Nerve,species,0.9700,high_confidence,HOMBA:12865,root of trigeminal nerve,bm25+fuzzy+hierarchy_parent
Septimbrial nucleus,species,0.6729,needs_review,HOMBA:13032,septofimbrial nucleus,fuzzy
Septum and diagonal band,species,1.0000,high_confidence,HOMBA:12034,diagonal band,bm25+exact+fuzzy
Septum Diagonal Band,species,1.0000,high_confidence,HOMBA:12034,diagonal band,bm25+exact+fuzzy
Simple Lobule,species,1.0000,high_confidence,HOMBA:AA30408,lobule VI (simple lobule),bm25+exact+fuzzy+hierarchy_parent
Solitary Tract Nucleus,species,1.0000,high_confidence,HOMBA:12783,solitary tract,bm25+exact+fuzzy
Spinal Trigeminal Nucleus Caudal,species,1.0000,high_confidence,HOMBA:12573,"spinal trigeminal nucleus, caudal division",bm25+fuzzy
Spinal Trigeminal Nucleus Intermediate,species,1.0000,high_confidence,HOMBA:12572,spinal trigeminal nucleus,bm25+exact+fuzzy+hierarchy_parent
Spinal Trigeminal Nucleus Oral,species,0.8523,needs_review,HOMBA:12447,"spinal nucleus of trigeminal nerve, rostral subnucleus",bm25+fuzzy
Stria medullaris,species,0.6732,needs_review,HOMBA:10590,stria medullaris of thalamus,bm25+fuzzy
"Striate cortex, dorsolateral, inferior",species,1.0000,high_confidence,HOMBA:10597,rostral horn of lateral ventricles,bm25+exact+fuzzy
"Striate cortex, dorsolateral, superior",species,1.0000,high_confidence,HOMBA:AA30209,striatal-cortical (cortical-striatal) boundary,bm25+exact+fuzzy
"Striate cortex, medial",species,1.0000,high_confidence,HOMBA:AA30033,juxtastriate cortex,bm25+exact+fuzzy
Subceruleus,species,1.0000,high_confidence,HOMBA:12500,subcoeruleus nucleus,bm25+exact+fuzzy+hierarchy_parent
Subicular complex,species,1.0000,high_confidence,HOMBA:266441673,subicular complex,bm25+exact+fuzzy
Subparafascicular Nucleus,species,1.0000,high_confidence,HOMBA:13054,subparafascicular nucleus of thalamus,bm25+exact+fuzzy
Subparafascicular parvocellular thalamic nucleus,species,1.0000,high_confidence,HOMBA:13071,nanocellular hypothalamic nucleus,bm25+exact+fuzzy
Superior Cerebellar Peduncle,species,1.0000,high_confidence,HOMBA:12354,superior cerebellar peduncle (brachium conjunctivum),bm25+exact+fuzzy
Superior Cerebellar Peduncle Decussation,species,1.0000,high_confidence,HOMBA:12337,decussation of superior cerebellar peduncle,bm25+fuzzy
Superior frontal gyrus,species,1.0000,high_confidence,HOMBA:12115,superior frontal gyrus,bm25+exact+fuzzy
"Superior frontal gyrus, medial",species,1.0000,high_confidence,HOMBA:12115,superior frontal gyrus,bm25+exact+fuzzy
Superior Olive,species,1.0000,high_confidence,HOMBA:12600,inferior olive,bm25+exact+fuzzy+hierarchy_parent
Supra Geniculate,species,1.0000,high_confidence,HOMBA:13044,suprageniculate nucleus,bm25+exact+fuzzy
Supraoptic Hypothalamus,species,0.7009,needs_review,HOMBA:10467,hypothalamus,bm25+fuzzy+hierarchy_parent
Supraoptic nucleus,species,1.0000,high_confidence,HOMBA:10481,supraoptic nucleus,bm25+exact+fuzzy+hierarchy_parent
"Supratemporal plane, anterior",species,1.0000,high_confidence,HOMBA:146034762,temporal claustrum,bm25+exact+fuzzy
"Supratemporal plane, posterior",species,1.0000,high_confidence,HOMBA:146034762,temporal claustrum,bm25+exact+fuzzy
Tail of caudate nucleus,species,1.0000,high_confidence,HOMBA:10337,tail of caudate nucleus (caudolateral division of the CP),bm25+exact+fuzzy
Third ventricle,species,1.0000,high_confidence,HOMBA:10602,third ventricle,bm25+exact+fuzzy+hierarchy_parent
Transverse Fibers,species,1.0000,high_confidence,HOMBA:AA30879,transverse fibers,bm25+exact+fuzzy
Trapezoid Bundle Region,species,0.5408,low_confidence,HOMBA:12796,trapezoid body,bm25+fuzzy
Ventral Anterior Thalamus,species,1.0000,high_confidence,HOMBA:10461,ventral thalamus,bm25+exact+fuzzy
Ventral cortical amygdaloid nucleus,species,1.0000,high_confidence,HOMBA:AA30227,ventral division of rostral medial nucleus,bm25+exact+fuzzy
Ventral endopiriform claustrum,species,1.0000,high_confidence,HOMBA:AA30854,ventral endopiriform nucleus,bm25+exact+fuzzy
Ventral Lateral Anterior Thalamus,species,0.9578,high_confidence,HOMBA:10461,ventral thalamus,bm25+fuzzy
Ventral Lateral Posterodorsal Thalamus,species,1.0000,high_confidence,HOMBA:10391,dorsal thalamus,bm25+exact+fuzzy
Ventral Lateral Posteroventral Thalamus,species,0.9325,high_confidence,HOMBA:10461,ventral thalamus,bm25+fuzzy
Ventral Lateral X Thalamus,species,0.9107,high_confidence,HOMBA:10420,ventral lateral nucleus of thalamus,bm25+fuzzy
Ventral Medial Thalamus,species,1.0000,high_confidence,HOMBA:10427,ventral medial nucleus of thalamus,bm25+exact+fuzzy
Ventral pallidum,species,1.0000,high_confidence,HOMBA:10345,ventral pallidum,bm25+exact+fuzzy
Ventrolateral Tegmentum,species,1.0000,high_confidence,HOMBA:12534,ventrolateral tegmental nucleus,bm25+exact+fuzzy
Ventrolateral thalamic nucleus (posterodorsal part),species,1.0000,high_confidence,HOMBA:12446,ventrolateral nucleus of Pr5,bm25+exact+fuzzy
Ventrolateral thalamic nucleus (posteroventral part),species,1.0000,high_confidence,HOMBA:12446,ventrolateral nucleus of Pr5,bm25+exact+fuzzy
Ventromedial hypothalamic nucleus,species,1.0000,high_confidence,HOMBA:10488,ventromedial hypothalamic nucleus,bm25+exact+fuzzy+hierarchy_parent
Ventromedial occipital cortex,species,1.0000,high_confidence,HOMBA:10268,occipital cortex,bm25+exact+fuzzy+hierarchy_parent
Ventromedial Posterior+basal Thalamus,species,0.4340,low_confidence,HOMBA:13046,periventricular area of posterior thalamus,bm25
Ventromedial thalamic nucleus (posterior and basal),species,0.6808,modifier_conflict,HOMBA:10503,posterior hypothalamic nucleus,bm25+fuzzy
Ventroposterior inferior thalamic nucleus,species,1.0000,high_confidence,HOMBA:10426,ventral posterior inferior nucleus,bm25+exact+fuzzy
Ventroposterior Inferior Thalamus,species,1.0000,high_confidence,HOMBA:10390,thalamus,bm25+exact+fuzzy
Ventroposterior medial and lateral thalamic nuclei,species,0.6985,needs_review,HOMBA:AA30278,submedius thalamic nucleus,bm25+fuzzy
Ventroposterior Medial and Lateral Thalamus,species,0.8262,needs_review,HOMBA:10390,thalamus,bm25+fuzzy
Vestibular Nucleus,species,1.0000,high_confidence,HOMBA:12448,vestibular nuclei in pons,bm25+exact+fuzzy+hierarchy_parent
Vestibulochoclear Nerve,species,0.5850,low_confidence,HOMBA:12868,root of vestibulocochlear nerve,bm25+fuzzy+hierarchy_parent
Visceral Motor Nuclei,species,1.0000,high_confidence,HOMBA:12201,central oculomotor nucleus,bm25+exact+fuzzy
Zona incerta and H fields,species,0.6931,needs_review,HOMBA:10463,zona incerta,bm25+fuzzy
Zona Incerta and Lenticular Fascicles,species,0.6216,needs_review,HOMBA:10463,zona incerta,bm25+fuzzy
4th ventricle,species,1.0000,high_confidence,HOMBA:10602,third ventricle,bm25+exact+fuzzy+hierarchy_parent
A11 dopamine cell group,species,0.7790,needs_review,HOMBA:AA30843,A8 dopamine cell group,bm25+fuzzy
A13 dopamine cell group,species,0.7790,needs_review,HOMBA:AA30843,A8 dopamine cell group,bm25+fuzzy
Acoustic striae,species,1.0000,high_confidence,HOMBA:12733,dorsal acoustic stria,bm25+exact+fuzzy
Agranular insular cortex dorsal area,species,0.7722,needs_review,HOMBA:10328,agranular insular cortex (area Iag),bm25+fuzzy
"Agranular insular cortex, posterior area",species,0.9565,high_confidence,HOMBA:10288,major insular cortex,bm25+fuzzy
"Agranular insular cortex, ventral area",species,0.7722,needs_review,HOMBA:10328,agranular insular cortex (area Iag),bm25+fuzzy
Alveus of the hippocampus,species,0.6539,needs_review,HOMBA:AA30093,hippocampus,bm25+fuzzy
Amygdaloid area (unspecified),species,1.0000,high_confidence,HOMBA:10379,amygdaloid transition areas,bm25+exact+fuzzy
"Amygdaloid area, unspecified",species,1.0000,high_confidence,HOMBA:10379,amygdaloid transition areas,bm25+exact+fuzzy+hierarchy_parent
Angular thalamic nucleus,species,1.0000,high_confidence,HOMBA:13071,nanocellular hypothalamic nucleus,bm25+exact+fuzzy
"Anterior commissure, anterior limb",species,1.0000,high_confidence,HOMBA:10559,anterior commissure,bm25+exact+fuzzy
"Anterior commissure, intrabulbar part",species,0.7346,needs_review,HOMBA:10559,anterior commissure,bm25+fuzzy+hierarchy_parent
"Anterior commissure, posterior limb",species,1.0000,high_confidence,HOMBA:10559,anterior commissure,bm25+exact+fuzzy
Anterior olfactory area,species,1.0000,high_confidence,HOMBA:146034694,lateral olfactory area,bm25+exact+fuzzy+hierarchy_parent
Anterodorsal thalamic nucleus,species,1.0000,high_confidence,HOMBA:10475,anterior hypothalamic nucleus,bm25+exact+fuzzy
Anteromedial thalamic nucleus,species,1.0000,high_confidence,HOMBA:10488,ventromedial hypothalamic nucleus,bm25+exact+fuzzy+hierarchy_parent
"Anteroventral thalamic nucleus, dorsomedial part",species,1.0000,high_confidence,HOMBA:10395,anteroventral nucleus of thalamus,bm25+exact+fuzzy
"Anteroventral thalamic nucleus, ventrolateral part",species,1.0000,high_confidence,HOMBA:10484,"periventricular nucleus, tuberal part",bm25+exact+fuzzy
Ascending fibers of the facial nerve,species,1.0000,high_confidence,HOMBA:12729,ascending fibers of the facial nerve in pons,bm25+exact+fuzzy
"Basal forebrain region, unspecified",species,0.7535,needs_review,HOMBA:10349,basal forebrain,bm25+fuzzy+hierarchy_parent
Brachium of the superior colliculus,species,0.9486,high_confidence,HOMBA:12328,brachium of superior colliculus,bm25+fuzzy
"Brainstem, unspecified",species,1.0000,high_confidence,HOMBA:10155,brain,bm25+exact+fuzzy+hierarchy_parent
CA1 (hippocampus),species,1.0000,high_confidence,HOMBA:10297,CA1 region of hippocampus,bm25+exact+fuzzy
Caudate putamen,species,1.0000,high_confidence,HOMBA:11538,caudal putamen,bm25+exact+fuzzy
Central canal,species,0.7604,needs_review,HOMBA:12826,central canal of medulla oblongata,bm25+fuzzy
Central lateral thalamic nucleus,species,1.0000,high_confidence,HOMBA:AA30339,ventral anterior hypothalamic nucleus,bm25+exact+fuzzy
Central medial thalamic nucleus,species,0.8152,needs_review,HOMBA:10445,central medial nucleus of thalamus,bm25+fuzzy
"Cerebellum, unspecified",species,0.7009,needs_review,HOMBA:10656,cerebellum,bm25+fuzzy
Cingulate area 1,species,1.0000,high_confidence,HOMBA:10277,cingulate cortex,bm25+exact+fuzzy+hierarchy_parent
