lit_name,rank,bna_l2_abbr,bna_l2_name,bna_lobe,p_raw,p,n_papers,n_coords,k_papers,eff_n,n80,n_observed,top1_p
somatosensory,2,STG,Superior Temporal Gyrus,Temporal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
somatosensory association cortex,1,SPL,Superior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,6,1.0,22.91,19,1,0.1153
somatosensory association cortex and associative visual cortex,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
somatosensory cortex,1,PoG,Postcentral Gyrus,Parietal Lobe,0.4,0.2656,8.0,13,20.0,13.6,12,8,0.2657
somatosensory cortex,2,IPL,Inferior Parietal Lobule,Parietal Lobe,0.25,0.1719,5.0,5,20.0,13.6,12,8,0.2657
somatosensory cortex,3,STG,Superior Temporal Gyrus,Temporal Lobe,0.1,0.0781,2.0,2,20.0,13.6,12,8,0.2657
somatosensory cortex,4,Hipp,Hippocampus,Subcortical Nuclei,0.05,0.0469,1.0,1,20.0,13.6,12,8,0.2657
somatosensory cortex,5,MTG,Middle Temporal Gyrus,Temporal Lobe,0.05,0.0469,1.0,1,20.0,13.6,12,8,0.2657
somatosensory cortex,6,PrG,Precentral Gyrus,Frontal Lobe,0.05,0.0469,1.0,1,20.0,13.6,12,8,0.2657
somatosensory cortex,7,Tha,Thalamus,Subcortical Nuclei,0.05,0.0469,1.0,1,20.0,13.6,12,8,0.2657
somatosensory cortex,8,pSTS,posterior Superior Temporal Sulcus,Temporal Lobe,0.05,0.0469,1.0,1,20.0,13.6,12,8,0.2657
spc,1,PhG,Parahippocampal Gyrus,Temporal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
spc,2,SPL,Superior Parietal Lobule,Parietal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
spc ba 7,1,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
spg,1,SPL,Superior Parietal Lobule,Parietal Lobe,0.5,0.1071,1.0,2,2.0,22.13,19,2,0.1071
spg,2,IPL,Inferior Parietal Lobule,Parietal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
spl 7,1,SPL,Superior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
spl cl,1,SPL,Superior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
spl ext to stg,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
spl3,1,SPL,Superior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
spl7p,1,SPL,Superior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
spoc,1,LOcC,lateral Occipital Cortex,Occipital Lobe,0.5,0.1562,2.0,2,4.0,20.24,18,3,0.1564
spoc,2,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,0.25,0.0938,1.0,1,4.0,20.24,18,3,0.1564
spoc,3,Pcun,Precuneus,Parietal Lobe,0.25,0.0938,1.0,1,4.0,20.24,18,3,0.1564
sps,1,PrG,Precentral Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
stc,1,MTG,Middle Temporal Gyrus,Temporal Lobe,0.5,0.1071,1.0,2,2.0,22.13,19,2,0.1071
stc,2,STG,Superior Temporal Gyrus,Temporal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
stg 1,1,STG,Superior Temporal Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
stg 2,1,pSTS,posterior Superior Temporal Sulcus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
stg 22,1,STG,Superior Temporal Gyrus,Temporal Lobe,0.6,0.2059,3.0,4,5.0,18.76,18,3,0.206
stg 22,2,IPL,Inferior Parietal Lobule,Parietal Lobe,0.2,0.0882,1.0,1,5.0,18.76,18,3,0.206
stg 22,3,PrG,Precentral Gyrus,Frontal Lobe,0.2,0.0882,1.0,1,5.0,18.76,18,3,0.206
stg 3,1,pSTS,posterior Superior Temporal Sulcus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
stg 38,1,STG,Superior Temporal Gyrus,Temporal Lobe,0.5,0.1562,2.0,6,4.0,20.24,18,3,0.1564
stg 38,2,OrG,Orbital Gyrus,Frontal Lobe,0.25,0.0938,1.0,3,4.0,20.24,18,3,0.1564
stg 38,3,MTG,Middle Temporal Gyrus,Temporal Lobe,0.25,0.0938,1.0,1,4.0,20.24,18,3,0.1564
stg 39,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
stg ba 22,1,STG,Superior Temporal Gyrus,Temporal Lobe,0.6667,0.1667,2.0,2,3.0,20.55,18,2,0.1668
stg ba 22,2,MTG,Middle Temporal Gyrus,Temporal Lobe,0.3333,0.1,1.0,2,3.0,20.55,18,2,0.1668
stg ba 22 21,1,STG,Superior Temporal Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
stga,1,STG,Superior Temporal Gyrus,Temporal Lobe,0.75,0.2188,3.0,4,4.0,18.85,18,2,0.219
stga,2,IPL,Inferior Parietal Lobule,Parietal Lobe,0.25,0.0938,1.0,1,4.0,18.85,18,2,0.219
stp,1,STG,Superior Temporal Gyrus,Temporal Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
str,1,Tha,Thalamus,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
straight gyrus,1,CG,Cingulate Gyrus,Limbic Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
straight gyrus,2,OrG,Orbital Gyrus,Frontal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
striate,1,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,0.5,0.1071,1.0,5,2.0,22.13,19,2,0.1071
striate,2,LOcC,lateral Occipital Cortex,Occipital Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
striate cortex,1,BG,Basal Ganglia,Subcortical Nuclei,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
striate cortex,2,LOcC,lateral Occipital Cortex,Occipital Lobe,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
striate cortex,3,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
striate visual cortex,1,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
striatum,1,BG,Basal Ganglia,Subcortical Nuclei,0.8571,0.6125,24.0,39,28.0,6.26,9,5,0.6125
striatum,2,Hipp,Hippocampus,Subcortical Nuclei,0.0357,0.0375,1.0,2,28.0,6.26,9,5,0.6125
striatum,3,PhG,Parahippocampal Gyrus,Temporal Lobe,0.0357,0.0375,1.0,2,28.0,6.26,9,5,0.6125
striatum,4,OrG,Orbital Gyrus,Frontal Lobe,0.0357,0.0375,1.0,1,28.0,6.26,9,5,0.6125
striatum,5,Tha,Thalamus,Subcortical Nuclei,0.0357,0.0375,1.0,1,28.0,6.26,9,5,0.6125
sts region,1,IPL,Inferior Parietal Lobule,Parietal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
sts region,2,pSTS,posterior Superior Temporal Sulcus,Temporal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
