lit_name,rank,bna_l2_abbr,bna_l2_name,bna_lobe,p_raw,p,n_papers,n_coords,k_papers,eff_n,n80,n_observed,top1_p
a cerebellum anterior lobe,1,FuG,Fusiform Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
a47,1,STG,Superior Temporal Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
acc 24,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1786,2.0,3,2.0,21.0,19,1,0.1787
acc 32,1,BG,Basal Ganglia,Subcortical Nuclei,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
acc 32,2,SFG,Superior Frontal Gyrus,Frontal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
acc and medial frontal gyrus,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
acc ba 32,1,SFG,Superior Frontal Gyrus,Frontal Lobe,0.6667,0.1667,2.0,2,3.0,20.55,18,2,0.1668
acc ba 32,2,CG,Cingulate Gyrus,Limbic Lobe,0.3333,0.1,1.0,2,3.0,20.55,18,2,0.1668
acc d,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
acc roi,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
accb,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
acce,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
accg,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
acch,1,CG,Cingulate Gyrus,Limbic Lobe,0.5,0.1071,1.0,2,2.0,22.13,19,2,0.1071
acch,2,SFG,Superior Frontal Gyrus,Frontal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
accl,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
accm,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
acco,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
accs,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
accumb ncl,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
acg,1,CG,Cingulate Gyrus,Limbic Lobe,0.25,0.0938,1.0,1,4.0,21.18,18,4,0.0939
acg,2,IPL,Inferior Parietal Lobule,Parietal Lobe,0.25,0.0938,1.0,1,4.0,21.18,18,4,0.0939
acg,3,OrG,Orbital Gyrus,Frontal Lobe,0.25,0.0938,1.0,1,4.0,21.18,18,4,0.0939
acg,4,SFG,Superior Frontal Gyrus,Frontal Lobe,0.25,0.0938,1.0,1,4.0,21.18,18,4,0.0939
acs,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
adacc,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
ag ba 39,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1786,2.0,3,2.0,21.0,19,1,0.1787
ahc,1,PhG,Parahippocampal Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
aib,1,INS,Insular Gyrus,Insular Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
aic,1,INS,Insular Gyrus,Insular Lobe,0.5,0.1944,3.0,3,6.0,18.0,17,3,0.1943
aic,2,IFG,Inferior Frontal Gyrus,Frontal Lobe,0.3333,0.1389,2.0,2,6.0,18.0,17,3,0.1943
aic,3,OrG,Orbital Gyrus,Frontal Lobe,0.1667,0.0833,1.0,1,6.0,18.0,17,3,0.1943
aifg,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
aifs,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
ains,1,INS,Insular Gyrus,Insular Lobe,0.625,0.275,5.0,8,8.0,14.72,16,2,0.275
ains,2,IFG,Inferior Frontal Gyrus,Frontal Lobe,0.375,0.175,3.0,6,8.0,14.72,16,2,0.275
ains d,1,INS,Insular Gyrus,Insular Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
ains v,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
aip,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
aip 40,1,pSTS,posterior Superior Temporal Sulcus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
aipl,1,IPL,Inferior Parietal Lobule,Parietal Lobe,0.6667,0.1667,2.0,2,3.0,20.55,18,2,0.1668
aipl,2,PoG,Postcentral Gyrus,Parietal Lobe,0.3333,0.1,1.0,1,3.0,20.55,18,2,0.1668
aips,1,IPL,Inferior Parietal Lobule,Parietal Lobe,0.5,0.225,4.0,8,8.0,15.98,16,3,0.225
aips,2,SPL,Superior Parietal Lobule,Parietal Lobe,0.375,0.175,3.0,3,8.0,15.98,16,3,0.225
aips,3,PoG,Postcentral Gyrus,Parietal Lobe,0.125,0.075,1.0,1,8.0,15.98,16,3,0.225
ait,1,ITG,Inferior Temporal Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
aloc,1,FuG,Fusiform Gyrus,Temporal Lobe,0.5,0.1071,1.0,2,2.0,22.13,19,2,0.1071
aloc,2,ITG,Inferior Temporal Gyrus,Temporal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
alpfc,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
also included cuneus,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
also included middle occipital gyrus,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
also included middle occipital lobe,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
also included ventromedial prefrontal cortex,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
amcc,1,CG,Cingulate Gyrus,Limbic Lobe,0.75,0.2188,3.0,3,4.0,18.85,18,2,0.219
amcc,2,SFG,Superior Frontal Gyrus,Frontal Lobe,0.25,0.0938,1.0,3,4.0,18.85,18,2,0.219
amfg,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.2333,3.0,4,3.0,19.05,18,1,0.2335
amg,1,Amyg,Amygdala,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
ampfc,1,OrG,Orbital Gyrus,Frontal Lobe,0.5,0.1071,1.0,3,2.0,22.13,19,2,0.1071
ampfc,2,CG,Cingulate Gyrus,Limbic Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
amydala,1,Hipp,Hippocampus,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
amyg,1,Amyg,Amygdala,Subcortical Nuclei,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
amyg,2,Hipp,Hippocampus,Subcortical Nuclei,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
amyg,3,PhG,Parahippocampal Gyrus,Temporal Lobe,0.3333,0.1,1.0,1,3.0,21.57,18,3,0.1001
amygdala,1,Amyg,Amygdala,Subcortical Nuclei,0.4829,0.4636,127.0,186,263.0,5.7,3,14,0.4636
amygdala,2,Hipp,Hippocampus,Subcortical Nuclei,0.1939,0.1873,51.0,59,263.0,5.7,3,14,0.4636
amygdala,3,BG,Basal Ganglia,Subcortical Nuclei,0.1711,0.1655,45.0,61,263.0,5.7,3,14,0.4636
amygdala,4,OrG,Orbital Gyrus,Frontal Lobe,0.0418,0.0418,11.0,12,263.0,5.7,3,14,0.4636
amygdala,5,PhG,Parahippocampal Gyrus,Temporal Lobe,0.0266,0.0273,7.0,8,263.0,5.7,3,14,0.4636
amygdala,6,MFG,Middle Frontal Gyrus,Frontal Lobe,0.019,0.02,5.0,6,263.0,5.7,3,14,0.4636
amygdala,7,Tha,Thalamus,Subcortical Nuclei,0.019,0.02,5.0,6,263.0,5.7,3,14,0.4636
amygdala,8,CG,Cingulate Gyrus,Limbic Lobe,0.0076,0.0091,2.0,2,263.0,5.7,3,14,0.4636
amygdala,9,FuG,Fusiform Gyrus,Temporal Lobe,0.0076,0.0091,2.0,2,263.0,5.7,3,14,0.4636
amygdala,10,INS,Insular Gyrus,Insular Lobe,0.0076,0.0091,2.0,2,263.0,5.7,3,14,0.4636
amygdala,11,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,0.0076,0.0091,2.0,2,263.0,5.7,3,14,0.4636
amygdala,12,STG,Superior Temporal Gyrus,Temporal Lobe,0.0076,0.0091,2.0,2,263.0,5.7,3,14,0.4636
amygdala,13,SFG,Superior Frontal Gyrus,Frontal Lobe,0.0038,0.0055,1.0,2,263.0,5.7,3,14,0.4636
amygdala,14,IFG,Inferior Frontal Gyrus,Frontal Lobe,0.0038,0.0055,1.0,1,263.0,5.7,3,14,0.4636
amygdala parahippocampal gyrus,1,BG,Basal Ganglia,Subcortical Nuclei,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
amygdala parahippocampal gyrus,2,INS,Insular Gyrus,Insular Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
amygdala roi,1,Amyg,Amygdala,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
amygdalaa,1,Amyg,Amygdala,Subcortical Nuclei,0.4,0.1471,2.0,2,5.0,20.06,18,4,0.1471
amygdalaa,2,BG,Basal Ganglia,Subcortical Nuclei,0.2,0.0882,1.0,1,5.0,20.06,18,4,0.1471
amygdalaa,3,Hipp,Hippocampus,Subcortical Nuclei,0.2,0.0882,1.0,1,5.0,20.06,18,4,0.1471
amygdalaa,4,Tha,Thalamus,Subcortical Nuclei,0.2,0.0882,1.0,1,5.0,20.06,18,4,0.1471
amygdalab,1,Amyg,Amygdala,Subcortical Nuclei,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
amygdale,1,Amyg,Amygdala,Subcortical Nuclei,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
amygdaloid body,1,Amyg,Amygdala,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
amygdaloid complex,1,Amyg,Amygdala,Subcortical Nuclei,0.4,0.2045,4.0,16,10.0,16.76,16,5,0.2046
amygdaloid complex,2,BG,Basal Ganglia,Subcortical Nuclei,0.2,0.1136,2.0,2,10.0,16.76,16,5,0.2046
amygdaloid complex,3,Hipp,Hippocampus,Subcortical Nuclei,0.2,0.1136,2.0,2,10.0,16.76,16,5,0.2046
amygdaloid complex,4,OrG,Orbital Gyrus,Frontal Lobe,0.1,0.0682,1.0,1,10.0,16.76,16,5,0.2046
amygdaloid complex,5,PhG,Parahippocampal Gyrus,Temporal Lobe,0.1,0.0682,1.0,1,10.0,16.76,16,5,0.2046
and 10,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
and inferior occipital gyrus,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
and middle temporal gyrus ba 21,1,MTG,Middle Temporal Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
and precuneus,1,Pcun,Precuneus,Parietal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
and precuneus,2,SPL,Superior Parietal Lobule,Parietal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
and supplementary motor area,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
and supramarginal gyrus,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
and thalamus,1,Tha,Thalamus,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
and v1,1,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
and wm within stg,1,Tha,Thalamus,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
ang gyr,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1786,2.0,11,2.0,21.0,19,1,0.1787
angluar gyrus,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
angular,1,IPL,Inferior Parietal Lobule,Parietal Lobe,0.8108,0.6224,30.0,37,37.0,5.68,5,5,0.6225
angular,2,SPL,Superior Parietal Lobule,Parietal Lobe,0.0811,0.0714,3.0,3,37.0,5.68,5,5,0.6225
angular,3,LOcC,lateral Occipital Cortex,Occipital Lobe,0.0541,0.051,2.0,2,37.0,5.68,5,5,0.6225
angular,4,ITG,Inferior Temporal Gyrus,Temporal Lobe,0.027,0.0306,1.0,1,37.0,5.68,5,5,0.6225
angular,5,MFG,Middle Frontal Gyrus,Frontal Lobe,0.027,0.0306,1.0,1,37.0,5.68,5,5,0.6225
angular and inferior parietal,1,MTG,Middle Temporal Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
angular cortex,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1786,2.0,5,2.0,21.0,19,1,0.1787
angular g,1,IPL,Inferior Parietal Lobule,Parietal Lobe,0.7,0.3409,7.0,10,10.0,12.82,16,2,0.3411
angular g,2,MTG,Middle Temporal Gyrus,Temporal Lobe,0.3,0.1591,3.0,4,10.0,12.82,16,2,0.3411
angular g 1,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
angular g 2,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
angular gy,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,3,1.0,22.91,19,1,0.1153
angular gyrus,1,IPL,Inferior Parietal Lobule,Parietal Lobe,0.7668,0.734,194.0,325,253.0,3.31,2,13,0.7336
angular gyrus,2,MTG,Middle Temporal Gyrus,Temporal Lobe,0.0791,0.0774,20.0,23,253.0,3.31,2,13,0.7336
angular gyrus,3,SPL,Superior Parietal Lobule,Parietal Lobe,0.0474,0.0472,12.0,13,253.0,3.31,2,13,0.7336
angular gyrus,4,LOcC,lateral Occipital Cortex,Occipital Lobe,0.0356,0.0358,9.0,13,253.0,3.31,2,13,0.7336
angular gyrus,5,pSTS,posterior Superior Temporal Sulcus,Temporal Lobe,0.0277,0.0283,7.0,10,253.0,3.31,2,13,0.7336
angular gyrus,6,MFG,Middle Frontal Gyrus,Frontal Lobe,0.0158,0.017,4.0,4,253.0,3.31,2,13,0.7336
angular gyrus,7,BG,Basal Ganglia,Subcortical Nuclei,0.004,0.0057,1.0,1,253.0,3.31,2,13,0.7336
angular gyrus,8,CG,Cingulate Gyrus,Limbic Lobe,0.004,0.0057,1.0,1,253.0,3.31,2,13,0.7336
angular gyrus,9,IFG,Inferior Frontal Gyrus,Frontal Lobe,0.004,0.0057,1.0,1,253.0,3.31,2,13,0.7336
angular gyrus,10,ITG,Inferior Temporal Gyrus,Temporal Lobe,0.004,0.0057,1.0,1,253.0,3.31,2,13,0.7336
angular gyrus,11,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,0.004,0.0057,1.0,1,253.0,3.31,2,13,0.7336
angular gyrus,12,PhG,Parahippocampal Gyrus,Temporal Lobe,0.004,0.0057,1.0,1,253.0,3.31,2,13,0.7336
angular gyrus,13,STG,Superior Temporal Gyrus,Temporal Lobe,0.004,0.0057,1.0,1,253.0,3.31,2,13,0.7336
angular gyrus 39,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.3611,6.0,9,6.0,14.26,17,1,0.3609
angular gyrus and superior temporal sulcus,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
angular gyrus ba 39,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.425,8.0,8,8.0,12.0,16,1,0.425
angular gyrus ba 40,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1786,2.0,2,2.0,21.0,19,1,0.1787
angular gyrus ba 7,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1786,2.0,4,2.0,21.0,19,1,0.1787
angular gyrus temporal parietal junction,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,4,1.0,22.91,19,1,0.1153
angular gyrus2,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
angular gyrusa,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
angular gyurs,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1786,2.0,2,2.0,21.0,19,1,0.1787
angular sulcus,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
ant cing cortex,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
ant cing gyrus,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
ant cingulate,1,CG,Cingulate Gyrus,Limbic Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
ant cingulate,2,SFG,Superior Frontal Gyrus,Frontal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
ant cingulate cortex,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
ant cingulate gyrus,1,CG,Cingulate Gyrus,Limbic Lobe,0.6667,0.1667,2.0,3,3.0,20.55,18,2,0.1668
ant cingulate gyrus,2,SFG,Superior Frontal Gyrus,Frontal Lobe,0.3333,0.1,1.0,1,3.0,20.55,18,2,0.1668
ant cingulum,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
ant fusiform,1,FuG,Fusiform Gyrus,Temporal Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
ant hippocampus,1,Hipp,Hippocampus,Subcortical Nuclei,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
ant inferior temporal gyrus,1,INS,Insular Gyrus,Insular Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
ant ins,1,INS,Insular Gyrus,Insular Lobe,0.5,0.1071,1.0,2,2.0,22.13,19,2,0.1071
ant ins,2,OrG,Orbital Gyrus,Frontal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
ant insula,1,INS,Insular Gyrus,Insular Lobe,0.8333,0.3056,5.0,7,6.0,15.79,17,2,0.3054
ant insula,2,IFG,Inferior Frontal Gyrus,Frontal Lobe,0.1667,0.0833,1.0,1,6.0,15.79,17,2,0.3054
ant insula cl,1,INS,Insular Gyrus,Insular Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
ant lobe cerebellum culmen,1,FuG,Fusiform Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
ant mtg,1,STG,Superior Temporal Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
ant mtg itg,1,ITG,Inferior Temporal Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
ant mtg sts,1,MTG,Middle Temporal Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
ant sts,1,STG,Superior Temporal Gyrus,Temporal Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
ant thalamus,1,Tha,Thalamus,Subcortical Nuclei,1.0,0.1786,2.0,3,2.0,21.0,19,1,0.1787
anteiror cingulum,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
anterio cingulate,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
anterior,1,CG,Cingulate Gyrus,Limbic Lobe,0.2857,0.1316,2.0,2,7.0,19.18,17,5,0.1317
anterior,2,INS,Insular Gyrus,Insular Lobe,0.2857,0.1316,2.0,2,7.0,19.18,17,5,0.1317
anterior,3,IFG,Inferior Frontal Gyrus,Frontal Lobe,0.1429,0.0789,1.0,3,7.0,19.18,17,5,0.1317
anterior,4,OrG,Orbital Gyrus,Frontal Lobe,0.1429,0.0789,1.0,2,7.0,19.18,17,5,0.1317
anterior,5,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,0.1429,0.0789,1.0,1,7.0,19.18,17,5,0.1317
anterior and middle cingulate cortex,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
anterior and superior corona radiata,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
anterior calcarine sulcus,1,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
anterior cc,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
anterior cerebellum,1,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,0.5,0.1562,2.0,3,4.0,19.34,18,2,0.1564
anterior cerebellum,2,FuG,Fusiform Gyrus,Temporal Lobe,0.5,0.1562,2.0,2,4.0,19.34,18,2,0.1564
anterior cigulate cortex,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
anterior cingulate,1,CG,Cingulate Gyrus,Limbic Lobe,0.6774,0.6317,105.0,156,155.0,4.01,3,7,0.6316
anterior cingulate,2,SFG,Superior Frontal Gyrus,Frontal Lobe,0.1484,0.1407,23.0,29,155.0,4.01,3,7,0.6316
anterior cingulate,3,OrG,Orbital Gyrus,Frontal Lobe,0.0968,0.0928,15.0,18,155.0,4.01,3,7,0.6316
anterior cingulate,4,BG,Basal Ganglia,Subcortical Nuclei,0.0452,0.0449,7.0,7,155.0,4.01,3,7,0.6316
anterior cingulate,5,Tha,Thalamus,Subcortical Nuclei,0.0194,0.021,3.0,3,155.0,4.01,3,7,0.6316
anterior cingulate,6,IFG,Inferior Frontal Gyrus,Frontal Lobe,0.0065,0.009,1.0,1,155.0,4.01,3,7,0.6316
anterior cingulate,7,INS,Insular Gyrus,Insular Lobe,0.0065,0.009,1.0,1,155.0,4.01,3,7,0.6316
anterior cingulate 24,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
anterior cingulate 32,1,CG,Cingulate Gyrus,Limbic Lobe,0.6667,0.1667,2.0,2,3.0,20.55,18,2,0.1668
anterior cingulate 32,2,BG,Basal Ganglia,Subcortical Nuclei,0.3333,0.1,1.0,1,3.0,20.55,18,2,0.1668
anterior cingulate and medial prefrontal,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
anterior cingulate and paracingulate gyrus,1,CG,Cingulate Gyrus,Limbic Lobe,0.5,0.1562,2.0,4,4.0,19.34,18,2,0.1564
anterior cingulate and paracingulate gyrus,2,SFG,Superior Frontal Gyrus,Frontal Lobe,0.5,0.1562,2.0,2,4.0,19.34,18,2,0.1564
anterior cingulate and supplementary motor cortex,1,Tha,Thalamus,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
anterior cingulate ba 10,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
anterior cingulate ba 24,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
anterior cingulate ba 25,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
anterior cingulate ba 32,1,CG,Cingulate Gyrus,Limbic Lobe,0.625,0.275,5.0,5,8.0,14.72,16,2,0.275
anterior cingulate ba 32,2,SFG,Superior Frontal Gyrus,Frontal Lobe,0.375,0.175,3.0,3,8.0,14.72,16,2,0.275
anterior cingulate ba 9 32,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
anterior cingulate cl,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
anterior cingulate cortex,1,CG,Cingulate Gyrus,Limbic Lobe,0.6111,0.5852,154.0,237,252.0,3.8,2,10,0.5851
anterior cingulate cortex,2,SFG,Superior Frontal Gyrus,Frontal Lobe,0.2579,0.2481,65.0,90,252.0,3.8,2,10,0.5851
anterior cingulate cortex,3,OrG,Orbital Gyrus,Frontal Lobe,0.0556,0.0549,14.0,16,252.0,3.8,2,10,0.5851
anterior cingulate cortex,4,BG,Basal Ganglia,Subcortical Nuclei,0.0317,0.0322,8.0,9,252.0,3.8,2,10,0.5851
anterior cingulate cortex,5,Tha,Thalamus,Subcortical Nuclei,0.0238,0.0246,6.0,6,252.0,3.8,2,10,0.5851
anterior cingulate cortex,6,FuG,Fusiform Gyrus,Temporal Lobe,0.004,0.0057,1.0,1,252.0,3.8,2,10,0.5851
anterior cingulate cortex,7,IFG,Inferior Frontal Gyrus,Frontal Lobe,0.004,0.0057,1.0,1,252.0,3.8,2,10,0.5851
anterior cingulate cortex,8,INS,Insular Gyrus,Insular Lobe,0.004,0.0057,1.0,1,252.0,3.8,2,10,0.5851
anterior cingulate cortex,9,MFG,Middle Frontal Gyrus,Frontal Lobe,0.004,0.0057,1.0,1,252.0,3.8,2,10,0.5851
anterior cingulate cortex,10,PrG,Precentral Gyrus,Frontal Lobe,0.004,0.0057,1.0,1,252.0,3.8,2,10,0.5851
anterior cingulate cortex 11 32,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
anterior cingulate cortex 24 32,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
anterior cingulate cortex 32,1,SFG,Superior Frontal Gyrus,Frontal Lobe,0.5,0.1071,1.0,3,2.0,22.13,19,2,0.1071
anterior cingulate cortex 32,2,CG,Cingulate Gyrus,Limbic Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
anterior cingulate cortex and,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
