dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,_category,_mechanism
species,"Superior frontal gyrus, medial",needs_review,0.7722,HOMBA:12115,superior frontal gyrus,bm25+fuzzy,"Superior frontal gyrus, medial",superior frontal gyrus,medial,0.0,superior frontal sulcus,0.530608,A_effectively_correct,synonym/parent match (review-only flag)
species,Ventral cortical amygdaloid nucleus,needs_review,0.7722,HOMBA:10373,cortical nucleus of amygdala,bm25+fuzzy,Ventral cortical amygdaloid nucleus,cortical amygdaloid nucleus,ventral,0.0,anterior (rostral) cortical nucleus of amygdala,0.539536,A_effectively_correct,synonym/parent match (review-only flag)
species,Intergeniculate leaflet,needs_review,0.773333,HOMBA:AA30305,intergeniculate leaf,bm25+fuzzy,Intergeniculate leaflet,intergeniculate leaf,,1.0,lateral geniculate nucleus (dorsal lateral geniculate nucleus),0.305917,C_dict,leaflet -> leaf
species,Juxtaparaventricular nucleus,needs_review,0.773333,HOMBA:10457,paraventricular nucleus of thalamus,fuzzy+hierarchy_parent,Juxtaparaventricular nucleus,paraventricular nucleus,,1.0,subventricular nucleus,0.594091,B_algo,wrong top-1 (better candidate exists)
species,Precuneiform Nucleus,needs_review,0.773333,HOMBA:12240,cuneiform nucleus,bm25+fuzzy+hierarchy_parent,Precuneiform Nucleus,cuneiform nucleus,,1.0,precuneiform area,0.671252,C_dict,precuneiform area/nucleus
species,"Medial geniculate body, dorsal division",needs_review,0.774841,HOMBA:10435,dorsal (rostral) division of medial geniculate nucleus,bm25+fuzzy,"Medial geniculate body, dorsal division",dorsal   division of medial geniculate nucleus,medial;dorsal,1.0,medial division of medial geniculate nucleus,0.629342,A_effectively_correct,synonym/parent match (review-only flag)
species,Ventral Lateral Posteroventral Thalamus,needs_review,0.774846,HOMBA:10420,ventral lateral nucleus of thalamus,bm25+fuzzy,Ventral Lateral Posteroventral Thalamus,ventral lateral nucleus of thalamus,ventral;lateral,1.0,ventral thalamus,0.692649,A_effectively_correct,synonym/parent match (review-only flag)
species,"Medial geniculate body, ventral division",needs_review,0.774918,HOMBA:10438,ventral (caudal) division of medial geniculate nucleus,bm25+fuzzy,"Medial geniculate body, ventral division",ventral   division of medial geniculate nucleus,medial;ventral,1.0,medial division of medial geniculate nucleus,0.62723,A_effectively_correct,synonym/parent match (review-only flag)
species,Superior cerebellar peduncle and prerubral field,needs_review,0.775873,HOMBA:12354,superior cerebellar peduncle (brachium conjunctivum),bm25+fuzzy,Superior cerebellar peduncle and prerubral field,superior cerebellar peduncle,,1.0,prerubral field (field H3),0.602571,A_effectively_correct,synonym/parent match (review-only flag)
species,A11 dopamine cell group,needs_review,0.776304,HOMBA:AA30843,A8 dopamine cell group,bm25+fuzzy,A11 dopamine cell group,A8 dopamine cell group,,1.0,A2 noradrenaline cell group,0.543902,D_homba_gap,HOMBA lacks this granularity
