lit_name,rank,bna_L3_code,bna_area_abbr,bna_area_name,bna_L2_abbr,bna_label_id_L,bna_label_id_R,n_papers,n_coords,p,p_raw,p_unobserved,k_total,n_support
a cerebellum anterior lobe,1,FuG_L(R)_3_3,A37lv,lateroventral area 37,FuG,107,108,1,1,0.6,1.0,0.2,1,3
a47,1,STG_L(R)_6_5,A38l,lateral area 38,STG,77,78,1,1,0.375,1.0,0.125,1,6
acc 24,1,CG_L(R)_7_2,A24rv,rostroventral area 24,CG,177,178,1,1,0.2308,0.3333,0.07692,3,7
acc 24,2,CG_L(R)_7_3,A32p,pregenual area 32,CG,179,180,1,1,0.2308,0.3333,0.07692,3,7
acc 24,3,CG_L(R)_7_5,A24cd,caudodorsal area 24,CG,183,184,1,1,0.2308,0.3333,0.07692,3,7
acc 32,1,BG_L(R)_6_1,vCa,ventral caudate,BG,219,220,1,1,0.1765,0.5,0.05882,2,13
acc 32,2,SFG_L(R)_7_6,A9m,medial area 9,SFG,11,12,1,1,0.1765,0.5,0.05882,2,13
acc and medial frontal gyrus,1,SFG_L(R)_7_7,A10m,medial area 10,SFG,13,14,1,1,0.3333,1.0,0.11111,1,7
acc ba 32,1,SFG_L(R)_7_6,A9m,medial area 9,SFG,11,12,2,2,0.25,0.6667,0.05,3,14
acc ba 32,2,CG_L(R)_7_3,A32p,pregenual area 32,CG,179,180,1,2,0.15,0.3333,0.05,3,14
acc d,1,SFG_L(R)_7_1,A8m,medial area 8,SFG,1,2,1,1,0.3333,1.0,0.11111,1,7
acc roi,1,CG_L(R)_7_2,A24rv,rostroventral area 24,CG,177,178,1,1,0.3333,1.0,0.11111,1,7
accb,1,CG_L(R)_7_3,A32p,pregenual area 32,CG,179,180,1,1,0.3333,1.0,0.11111,1,7
acce,1,SFG_L(R)_7_6,A9m,medial area 9,SFG,11,12,1,1,0.3333,1.0,0.11111,1,7
accg,1,SFG_L(R)_7_6,A9m,medial area 9,SFG,11,12,1,1,0.3333,1.0,0.11111,1,7
acch,1,CG_L(R)_7_3,A32p,pregenual area 32,CG,179,180,1,2,0.1667,0.5,0.05556,2,14
acch,2,SFG_L(R)_7_6,A9m,medial area 9,SFG,11,12,1,1,0.1667,0.5,0.05556,2,14
accl,1,CG_L(R)_7_3,A32p,pregenual area 32,CG,179,180,1,1,0.3333,1.0,0.11111,1,7
accm,1,SFG_L(R)_7_6,A9m,medial area 9,SFG,11,12,1,1,0.3333,1.0,0.11111,1,7
acco,1,SFG_L(R)_7_6,A9m,medial area 9,SFG,11,12,1,1,0.3333,1.0,0.11111,1,7
accs,1,CG_L(R)_7_5,A24cd,caudodorsal area 24,CG,183,184,1,1,0.3333,1.0,0.11111,1,7
accumb ncl,1,BG_L(R)_6_3,NAC,nucleus accumbens,BG,223,224,1,1,0.375,1.0,0.125,1,6
acg,1,CG_L(R)_7_5,A24cd,caudodorsal area 24,CG,183,184,1,1,0.0882,0.25,0.02941,4,26
acg,2,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,1,1,0.0882,0.25,0.02941,4,26
acg,3,OrG_L(R)_6_1,A14m,medial area 14,OrG,41,42,1,1,0.0882,0.25,0.02941,4,26
acg,4,SFG_L(R)_7_1,A8m,medial area 8,SFG,1,2,1,1,0.0882,0.25,0.02941,4,26
acs,1,CG_L(R)_7_2,A24rv,rostroventral area 24,CG,177,178,1,1,0.3333,1.0,0.11111,1,7
adacc,1,CG_L(R)_7_7,A32sg,subgenual area 32,CG,187,188,1,1,0.3333,1.0,0.11111,1,7
ag ba 39,1,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,2,3,0.5,1.0,0.1,2,6
ahc,1,PhG_L(R)_6_1,A35/36r,rostral area 35/36,PhG,109,110,1,1,0.375,1.0,0.125,1,6
aib,1,INS_L(R)_6_6,dId,dorsal dysgranular insula,INS,173,174,1,1,0.375,1.0,0.125,1,6
aic,1,INS_L(R)_6_3,dIa,dorsal agranular insula,INS,167,168,2,2,0.1667,0.3333,0.03333,6,18
aic,2,IFG_L(R)_6_2,IFS,inferior frontal sulcus,IFG,31,32,1,1,0.1,0.1667,0.03333,6,18
aic,3,IFG_L(R)_6_5,A44op,opercular area 44,IFG,37,38,1,1,0.1,0.1667,0.03333,6,18
aic,4,INS_L(R)_6_2,vIa,ventral agranular insula,INS,165,166,1,1,0.1,0.1667,0.03333,6,18
aic,5,OrG_L(R)_6_6,A12/47l,lateral area 12/47,OrG,51,52,1,1,0.1,0.1667,0.03333,6,18
aifg,1,IFG_L(R)_6_2,IFS,inferior frontal sulcus,IFG,31,32,1,1,0.3,0.5,0.1,2,6
aifg,2,IFG_L(R)_6_4,A45r,rostral area 45,IFG,35,36,1,1,0.3,0.5,0.1,2,6
aifs,1,IFG_L(R)_6_2,IFS,inferior frontal sulcus,IFG,31,32,1,1,0.375,1.0,0.125,1,6
ains,1,INS_L(R)_6_3,dIa,dorsal agranular insula,INS,167,168,4,4,0.2812,0.4,0.03125,10,12
ains,2,IFG_L(R)_6_5,A44op,opercular area 44,IFG,37,38,3,6,0.2188,0.3,0.03125,10,12
ains,3,INS_L(R)_6_6,dId,dorsal dysgranular insula,INS,173,174,2,3,0.1562,0.2,0.03125,10,12
ains,4,INS_L(R)_6_2,vIa,ventral agranular insula,INS,165,166,1,1,0.0938,0.1,0.03125,10,12
ains d,1,INS_L(R)_6_6,dId,dorsal dysgranular insula,INS,173,174,1,1,0.375,1.0,0.125,1,6
ains v,1,BG_L(R)_6_4,vmPu,ventromedial putamen,BG,225,226,1,1,0.375,1.0,0.125,1,6
aip,1,IPL_L(R)_6_3,A40rd,rostrodorsal area 40(PFt),IPL,139,140,1,2,0.375,1.0,0.125,1,6
aip 40,1,pSTS_L(R)_2_1,rpSTS,rostroposterior superior temporal sulcus,pSTS,121,122,1,1,0.75,1.0,0.25,1,2
aipl,1,IPL_L(R)_6_3,A40rd,rostrodorsal area 40(PFt),IPL,139,140,1,1,0.1875,0.3333,0.0625,3,10
aipl,2,IPL_L(R)_6_4,A40c,caudal area 40(PFm),IPL,141,142,1,1,0.1875,0.3333,0.0625,3,10
aipl,3,PoG_L(R)_4_3,A2,area 2,PoG,159,160,1,1,0.1875,0.3333,0.0625,3,10
aips,1,IPL_L(R)_6_3,A40rd,rostrodorsal area 40(PFt),IPL,139,140,3,6,0.2258,0.375,0.03226,8,15
aips,2,SPL_L(R)_5_3,A5l,lateral area 5,SPL,129,130,3,3,0.2258,0.375,0.03226,8,15
aips,3,IPL_L(R)_6_4,A40c,caudal area 40(PFm),IPL,141,142,1,2,0.0968,0.125,0.03226,8,15
aips,4,PoG_L(R)_4_3,A2,area 2,PoG,159,160,1,1,0.0968,0.125,0.03226,8,15
ait,1,ITG_L(R)_7_4,A20il,intermediate lateral area 20,ITG,95,96,1,1,0.3333,1.0,0.11111,1,7
aloc,1,FuG_L(R)_3_2,A37mv,medioventral area 37,FuG,105,106,1,1,0.1875,0.3333,0.0625,3,10
aloc,2,FuG_L(R)_3_3,A37lv,lateroventral area 37,FuG,107,108,1,1,0.1875,0.3333,0.0625,3,10
aloc,3,ITG_L(R)_7_5,A37vl,ventrolateral area 37,ITG,97,98,1,1,0.1875,0.3333,0.0625,3,10
alpfc,1,IFG_L(R)_6_2,IFS,inferior frontal sulcus,IFG,31,32,1,1,0.375,1.0,0.125,1,6
also included cuneus,1,LOcC_L(R)_4_3,OPC,occipital polar cortex,LOcC,203,204,1,1,0.375,1.0,0.125,1,6
also included middle occipital gyrus,1,LOcC_L(R)_4_1,mOccG,middle occipital gyrus,LOcC,199,200,1,1,0.375,1.0,0.125,1,6
also included middle occipital lobe,1,LOcC_L(R)_2_2,lsOccG,lateral superior occipital gyrus,LOcC,209,210,1,1,0.375,1.0,0.125,1,6
also included ventromedial prefrontal cortex,1,CG_L(R)_7_7,A32sg,subgenual area 32,CG,187,188,1,1,0.3333,1.0,0.11111,1,7
amcc,1,SFG_L(R)_7_6,A9m,medial area 9,SFG,11,12,1,3,0.1364,0.25,0.04545,4,14
amcc,2,CG_L(R)_7_2,A24rv,rostroventral area 24,CG,177,178,1,1,0.1364,0.25,0.04545,4,14
amcc,3,CG_L(R)_7_3,A32p,pregenual area 32,CG,179,180,1,1,0.1364,0.25,0.04545,4,14
amcc,4,CG_L(R)_7_5,A24cd,caudodorsal area 24,CG,183,184,1,1,0.1364,0.25,0.04545,4,14
amfg,1,MFG_L(R)_7_4,A9/46v,ventral area 9/46,MFG,21,22,2,2,0.3333,0.5,0.06667,4,7
amfg,2,MFG_L(R)_7_2,IFJ,inferior frontal junction,MFG,17,18,1,1,0.2,0.25,0.06667,4,7
amfg,3,MFG_L(R)_7_3,A46,area 46,MFG,19,20,1,1,0.2,0.25,0.06667,4,7
amg,1,Amyg_L(R)_2_1,mAmyg,medial amygdala,Amyg,211,212,1,1,0.75,1.0,0.25,1,2
ampfc,1,OrG_L(R)_6_1,A14m,medial area 14,OrG,41,42,1,3,0.1765,0.5,0.05882,2,13
ampfc,2,CG_L(R)_7_7,A32sg,subgenual area 32,CG,187,188,1,1,0.1765,0.5,0.05882,2,13
amydala,1,Hipp_L(R)_2_1,rHipp,rostral hippocampus,Hipp,215,216,1,1,0.75,1.0,0.25,1,2
amyg,1,Amyg_L(R)_2_2,lAmyg,lateral amygdala,Amyg,213,214,1,1,0.1875,0.3333,0.0625,3,10
amyg,2,Hipp_L(R)_2_1,rHipp,rostral hippocampus,Hipp,215,216,1,1,0.1875,0.3333,0.0625,3,10
amyg,3,PhG_L(R)_6_5,TI,area TI (temporal agranular insular cortex),PhG,117,118,1,1,0.1875,0.3333,0.0625,3,10
amygdala,1,Amyg_L(R)_2_1,mAmyg,medial amygdala,Amyg,211,212,78,112,0.2434,0.2746,0.00155,284,77
amygdala,2,Amyg_L(R)_2_2,lAmyg,lateral amygdala,Amyg,213,214,64,74,0.2,0.2254,0.00155,284,77
amygdala,3,Hipp_L(R)_2_1,rHipp,rostral hippocampus,Hipp,215,216,51,59,0.1597,0.1796,0.00155,284,77
amygdala,4,BG_L(R)_6_6,dlPu,dorsolateral putamen,BG,229,230,17,22,0.0543,0.0599,0.00155,284,77
amygdala,5,BG_L(R)_6_3,NAC,nucleus accumbens,BG,223,224,15,17,0.0481,0.0528,0.00155,284,77
amygdala,6,BG_L(R)_6_2,GP,globus pallidus,BG,221,222,14,18,0.045,0.0493,0.00155,284,77
amygdala,7,OrG_L(R)_6_5,A13,area 13,OrG,49,50,11,12,0.0357,0.0387,0.00155,284,77
amygdala,8,PhG_L(R)_6_5,TI,area TI (temporal agranular insular cortex),PhG,117,118,6,7,0.0202,0.0211,0.00155,284,77
amygdala,9,MFG_L(R)_7_1,A9/46d,dorsal area 9/46,MFG,15,16,4,5,0.014,0.0141,0.00155,284,77
amygdala,10,Tha_L(R)_8_2,mPMtha,pre-motor thalamus,Tha,233,234,2,3,0.0078,0.007,0.00155,284,77
amygdala,11,BG_L(R)_6_4,vmPu,ventromedial putamen,BG,225,226,2,2,0.0078,0.007,0.00155,284,77
amygdala,12,FuG_L(R)_3_1,A20rv,rostroventral area 20,FuG,103,104,2,2,0.0078,0.007,0.00155,284,77
amygdala,13,INS_L(R)_6_5,dIg,dorsal granular insula,INS,171,172,2,2,0.0078,0.007,0.00155,284,77
amygdala,14,STG_L(R)_6_1,A38m,medial area 38,STG,69,70,2,2,0.0078,0.007,0.00155,284,77
amygdala,15,Tha_L(R)_8_1,mPFtha,medial pre-frontal thalamus,Tha,231,232,2,2,0.0078,0.007,0.00155,284,77
amygdala,16,BG_L(R)_6_1,vCa,ventral caudate,BG,219,220,1,1,0.0047,0.0035,0.00155,284,77
amygdala,17,BG_L(R)_6_5,dCa,dorsal caudate,BG,227,228,1,1,0.0047,0.0035,0.00155,284,77
amygdala,18,CG_L(R)_7_3,A32p,pregenual area 32,CG,179,180,1,1,0.0047,0.0035,0.00155,284,77
amygdala,19,CG_L(R)_7_7,A32sg,subgenual area 32,CG,187,188,1,1,0.0047,0.0035,0.00155,284,77
amygdala,20,IFG_L(R)_6_4,A45r,rostral area 45,IFG,35,36,1,1,0.0047,0.0035,0.00155,284,77
amygdala,21,MFG_L(R)_7_3,A46,area 46,MFG,19,20,1,1,0.0047,0.0035,0.00155,284,77
amygdala,22,MVOcC_L(R)_5_4,rLinG,rostral lingual gyrus,MVOcC,195,196,1,1,0.0047,0.0035,0.00155,284,77
amygdala,23,MVOcC_L(R)_5_5,vmPOS,ventromedial parietooccipital sulcus,MVOcC,197,198,1,1,0.0047,0.0035,0.00155,284,77
amygdala,24,PhG_L(R)_6_2,A35/36c,caudal area 35/36,PhG,111,112,1,1,0.0047,0.0035,0.00155,284,77
amygdala,25,SFG_L(R)_7_3,A9l,lateral area 9,SFG,5,6,1,1,0.0047,0.0035,0.00155,284,77
amygdala,26,SFG_L(R)_7_7,A10m,medial area 10,SFG,13,14,1,1,0.0047,0.0035,0.00155,284,77
amygdala,27,Tha_L(R)_8_6,Otha,occipital thalamus,Tha,241,242,1,1,0.0047,0.0035,0.00155,284,77
amygdala parahippocampal gyrus,1,BG_L(R)_6_2,GP,globus pallidus,BG,221,222,1,1,0.1875,0.5,0.0625,2,12
amygdala parahippocampal gyrus,2,INS_L(R)_6_6,dId,dorsal dysgranular insula,INS,173,174,1,1,0.1875,0.5,0.0625,2,12
amygdala roi,1,Amyg_L(R)_2_1,mAmyg,medial amygdala,Amyg,211,212,1,1,0.75,1.0,0.25,1,2
amygdalaa,1,Amyg_L(R)_2_1,mAmyg,medial amygdala,Amyg,211,212,1,1,0.1071,0.2,0.03571,5,18
amygdalaa,2,Amyg_L(R)_2_2,lAmyg,lateral amygdala,Amyg,213,214,1,1,0.1071,0.2,0.03571,5,18
amygdalaa,3,BG_L(R)_6_6,dlPu,dorsolateral putamen,BG,229,230,1,1,0.1071,0.2,0.03571,5,18
amygdalaa,4,Hipp_L(R)_2_1,rHipp,rostral hippocampus,Hipp,215,216,1,1,0.1071,0.2,0.03571,5,18
amygdalaa,5,Tha_L(R)_8_2,mPMtha,pre-motor thalamus,Tha,233,234,1,1,0.1071,0.2,0.03571,5,18
amygdalab,1,Amyg_L(R)_2_2,lAmyg,lateral amygdala,Amyg,213,214,1,2,0.75,1.0,0.25,1,2
amygdale,1,Amyg_L(R)_2_1,mAmyg,medial amygdala,Amyg,211,212,1,2,0.75,1.0,0.25,1,2
amygdaloid body,1,Amyg_L(R)_2_2,lAmyg,lateral amygdala,Amyg,213,214,1,1,0.75,1.0,0.25,1,2
amygdaloid complex,1,Amyg_L(R)_2_1,mAmyg,medial amygdala,Amyg,211,212,4,12,0.2045,0.3636,0.02273,11,22
amygdaloid complex,2,Hipp_L(R)_2_1,rHipp,rostral hippocampus,Hipp,215,216,2,2,0.1136,0.1818,0.02273,11,22
amygdaloid complex,3,Amyg_L(R)_2_2,lAmyg,lateral amygdala,Amyg,213,214,1,4,0.0682,0.0909,0.02273,11,22
amygdaloid complex,4,BG_L(R)_6_3,NAC,nucleus accumbens,BG,223,224,1,1,0.0682,0.0909,0.02273,11,22
amygdaloid complex,5,BG_L(R)_6_4,vmPu,ventromedial putamen,BG,225,226,1,1,0.0682,0.0909,0.02273,11,22
amygdaloid complex,6,OrG_L(R)_6_5,A13,area 13,OrG,49,50,1,1,0.0682,0.0909,0.02273,11,22
amygdaloid complex,7,PhG_L(R)_6_5,TI,area TI (temporal agranular insular cortex),PhG,117,118,1,1,0.0682,0.0909,0.02273,11,22
and 10,1,SFG_L(R)_7_3,A9l,lateral area 9,SFG,5,6,1,1,0.3333,1.0,0.11111,1,7
and inferior occipital gyrus,1,LOcC_L(R)_2_1,msOccG,medial superior occipital gyrus,LOcC,207,208,1,1,0.375,1.0,0.125,1,6
and middle temporal gyrus ba 21,1,MTG_L(R)_4_4,aSTS,anterior superior temporal sulcus,MTG,87,88,1,1,0.5,1.0,0.16667,1,4
and precuneus,1,PCun_L(R)_4_1,A7m,medial area 7(PEp),Pcun,147,148,1,1,0.2308,0.5,0.07692,2,9
and precuneus,2,SPL_L(R)_5_2,A7c,caudal area 7,SPL,127,128,1,1,0.2308,0.5,0.07692,2,9
and supplementary motor area,1,SFG_L(R)_7_1,A8m,medial area 8,SFG,1,2,1,1,0.3333,1.0,0.11111,1,7
and supramarginal gyrus,1,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,1,1,0.375,1.0,0.125,1,6
and thalamus,1,Tha_L(R)_8_7,cTtha,caudal temporal thalamus,Tha,243,244,1,1,0.3,1.0,0.1,1,8
and v1,1,MVOcC_L(R)_5_2,rCunG,rostral cuneus gyrus,MVOcC,191,192,1,1,0.4286,1.0,0.14286,1,5
and wm within stg,1,Tha_L(R)_8_5,PPtha,posterior parietal thalamus,Tha,239,240,1,1,0.3,1.0,0.1,1,8
ang gyr,1,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,2,8,0.4167,0.6667,0.08333,3,6
ang gyr,2,IPL_L(R)_6_2,A39rd,rostrodorsal area 39(Hip3),IPL,137,138,1,3,0.25,0.3333,0.08333,3,6
angluar gyrus,1,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,1,1,0.375,1.0,0.125,1,6
angular,1,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,15,16,0.265,0.3488,0.00855,43,31
angular,2,IPL_L(R)_6_2,A39rd,rostrodorsal area 39(Hip3),IPL,137,138,9,9,0.1624,0.2093,0.00855,43,31
angular,3,IPL_L(R)_6_1,A39c,caudal area 39(PGp),IPL,135,136,7,7,0.1282,0.1628,0.00855,43,31
angular,4,IPL_L(R)_6_4,A40c,caudal area 40(PFm),IPL,141,142,5,5,0.094,0.1163,0.00855,43,31
angular,5,SPL_L(R)_5_5,A7ip,intraparietal area 7(hIP3),SPL,133,134,2,2,0.0427,0.0465,0.00855,43,31
angular,6,ITG_L(R)_7_5,A37vl,ventrolateral area 37,ITG,97,98,1,1,0.0256,0.0233,0.00855,43,31
angular,7,LOcC_L(R)_2_2,lsOccG,lateral superior occipital gyrus,LOcC,209,210,1,1,0.0256,0.0233,0.00855,43,31
angular,8,LOcC_L(R)_4_2,V5/MT+,area V5/MT+,LOcC,201,202,1,1,0.0256,0.0233,0.00855,43,31
angular,9,MFG_L(R)_7_1,A9/46d,dorsal area 9/46,MFG,15,16,1,1,0.0256,0.0233,0.00855,43,31
angular,10,SPL_L(R)_5_2,A7c,caudal area 7,SPL,127,128,1,1,0.0256,0.0233,0.00855,43,31
angular and inferior parietal,1,MTG_L(R)_4_3,A37dl,dorsolateral area 37,MTG,85,86,1,1,0.5,1.0,0.16667,1,4
angular cortex,1,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,2,3,0.4167,0.6667,0.08333,3,6
angular cortex,2,IPL_L(R)_6_2,A39rd,rostrodorsal area 39(Hip3),IPL,137,138,1,2,0.25,0.3333,0.08333,3,6
angular g,1,IPL_L(R)_6_2,A39rd,rostrodorsal area 39(Hip3),IPL,137,138,4,4,0.2647,0.3333,0.02941,12,10
angular g,2,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,3,4,0.2059,0.25,0.02941,12,10
angular g,3,MTG_L(R)_4_3,A37dl,dorsolateral area 37,MTG,85,86,3,4,0.2059,0.25,0.02941,12,10
angular g,4,IPL_L(R)_6_1,A39c,caudal area 39(PGp),IPL,135,136,1,1,0.0882,0.0833,0.02941,12,10
angular g,5,IPL_L(R)_6_4,A40c,caudal area 40(PFm),IPL,141,142,1,1,0.0882,0.0833,0.02941,12,10
angular g 1,1,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,1,1,0.375,1.0,0.125,1,6
angular g 2,1,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,1,1,0.375,1.0,0.125,1,6
angular gy,1,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,1,3,0.375,1.0,0.125,1,6
angular gyrus,1,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,116,171,0.3401,0.3791,0.00146,306,73
angular gyrus,2,IPL_L(R)_6_2,A39rd,rostrodorsal area 39(Hip3),IPL,137,138,62,76,0.1825,0.2026,0.00146,306,73
angular gyrus,3,IPL_L(R)_6_1,A39c,caudal area 39(PGp),IPL,135,136,36,43,0.1066,0.1176,0.00146,306,73
angular gyrus,4,IPL_L(R)_6_4,A40c,caudal area 40(PFm),IPL,141,142,26,29,0.0774,0.085,0.00146,306,73
angular gyrus,5,MTG_L(R)_4_3,A37dl,dorsolateral area 37,MTG,85,86,20,23,0.0599,0.0654,0.00146,306,73
angular gyrus,6,SPL_L(R)_5_5,A7ip,intraparietal area 7(hIP3),SPL,133,134,10,11,0.0307,0.0327,0.00146,306,73
angular gyrus,7,LOcC_L(R)_4_2,V5/MT+,area V5/MT+,LOcC,201,202,5,8,0.0161,0.0163,0.00146,306,73
angular gyrus,8,pSTS_L(R)_2_2,cpSTS,caudoposterior superior temporal sulcus,pSTS,123,124,5,7,0.0161,0.0163,0.00146,306,73
angular gyrus,9,IPL_L(R)_6_3,A40rd,rostrodorsal area 40(PFt),IPL,139,140,5,5,0.0161,0.0163,0.00146,306,73
angular gyrus,10,LOcC_L(R)_2_2,lsOccG,lateral superior occipital gyrus,LOcC,209,210,4,4,0.0131,0.0131,0.00146,306,73
angular gyrus,11,MFG_L(R)_7_1,A9/46d,dorsal area 9/46,MFG,15,16,3,3,0.0102,0.0098,0.00146,306,73
angular gyrus,12,pSTS_L(R)_2_1,rpSTS,rostroposterior superior temporal sulcus,pSTS,121,122,2,3,0.0073,0.0065,0.00146,306,73
angular gyrus,13,SPL_L(R)_5_2,A7c,caudal area 7,SPL,127,128,2,2,0.0073,0.0065,0.00146,306,73
angular gyrus,14,BG_L(R)_6_5,dCa,dorsal caudate,BG,227,228,1,1,0.0044,0.0033,0.00146,306,73
angular gyrus,15,CG_L(R)_7_3,A32p,pregenual area 32,CG,179,180,1,1,0.0044,0.0033,0.00146,306,73
angular gyrus,16,IFG_L(R)_6_1,A44d,dorsal area 44,IFG,29,30,1,1,0.0044,0.0033,0.00146,306,73
angular gyrus,17,IPL_L(R)_6_6,A40rv,rostroventral area 40(PFop),IPL,145,146,1,1,0.0044,0.0033,0.00146,306,73
angular gyrus,18,ITG_L(R)_7_5,A37vl,ventrolateral area 37,ITG,97,98,1,1,0.0044,0.0033,0.00146,306,73
angular gyrus,19,LOcC_L(R)_4_1,mOccG,middle occipital gyrus,LOcC,199,200,1,1,0.0044,0.0033,0.00146,306,73
angular gyrus,20,MFG_L(R)_7_2,IFJ,inferior frontal junction,MFG,17,18,1,1,0.0044,0.0033,0.00146,306,73
angular gyrus,21,MVOcC_L(R)_5_5,vmPOS,ventromedial parietooccipital sulcus,MVOcC,197,198,1,1,0.0044,0.0033,0.00146,306,73
angular gyrus,22,PhG_L(R)_6_2,A35/36c,caudal area 35/36,PhG,111,112,1,1,0.0044,0.0033,0.00146,306,73
angular gyrus,23,STG_L(R)_6_4,A22c,caudal area 22,STG,75,76,1,1,0.0044,0.0033,0.00146,306,73
angular gyrus 39,1,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,3,3,0.35,0.4286,0.05,7,6
angular gyrus 39,2,IPL_L(R)_6_2,A39rd,rostrodorsal area 39(Hip3),IPL,137,138,2,3,0.25,0.2857,0.05,7,6
angular gyrus 39,3,IPL_L(R)_6_6,A40rv,rostroventral area 40(PFop),IPL,145,146,1,2,0.15,0.1429,0.05,7,6
angular gyrus 39,4,IPL_L(R)_6_1,A39c,caudal area 39(PGp),IPL,135,136,1,1,0.15,0.1429,0.05,7,6
angular gyrus and superior temporal sulcus,1,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,1,1,0.375,1.0,0.125,1,6
angular gyrus ba 39,1,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,5,5,0.5,0.625,0.04545,8,6
angular gyrus ba 39,2,IPL_L(R)_6_2,A39rd,rostrodorsal area 39(Hip3),IPL,137,138,2,2,0.2273,0.25,0.04545,8,6
angular gyrus ba 39,3,IPL_L(R)_6_1,A39c,caudal area 39(PGp),IPL,135,136,1,1,0.1364,0.125,0.04545,8,6
angular gyrus ba 40,1,IPL_L(R)_6_2,A39rd,rostrodorsal area 39(Hip3),IPL,137,138,1,1,0.3,0.5,0.1,2,6
angular gyrus ba 40,2,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,1,1,0.3,0.5,0.1,2,6
angular gyrus ba 7,1,IPL_L(R)_6_2,A39rd,rostrodorsal area 39(Hip3),IPL,137,138,2,4,0.5,1.0,0.1,2,6
angular gyrus temporal parietal junction,1,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,1,4,0.375,1.0,0.125,1,6
angular gyrus2,1,IPL_L(R)_6_4,A40c,caudal area 40(PFm),IPL,141,142,1,1,0.375,1.0,0.125,1,6
angular gyrusa,1,IPL_L(R)_6_2,A39rd,rostrodorsal area 39(Hip3),IPL,137,138,1,1,0.375,1.0,0.125,1,6
angular gyurs,1,IPL_L(R)_6_2,A39rd,rostrodorsal area 39(Hip3),IPL,137,138,1,1,0.3,0.5,0.1,2,6
angular gyurs,2,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,1,1,0.3,0.5,0.1,2,6
angular sulcus,1,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,1,1,0.375,1.0,0.125,1,6
ant cing cortex,1,SFG_L(R)_7_1,A8m,medial area 8,SFG,1,2,1,1,0.2727,0.5,0.09091,2,7
ant cing cortex,2,SFG_L(R)_7_7,A10m,medial area 10,SFG,13,14,1,1,0.2727,0.5,0.09091,2,7
ant cing gyrus,1,SFG_L(R)_7_5,A6m,medial area 6,SFG,9,10,1,1,0.3333,1.0,0.11111,1,7
ant cingulate,1,CG_L(R)_7_3,A32p,pregenual area 32,CG,179,180,1,1,0.1667,0.5,0.05556,2,14
ant cingulate,2,SFG_L(R)_7_1,A8m,medial area 8,SFG,1,2,1,1,0.1667,0.5,0.05556,2,14
ant cingulate cortex,1,CG_L(R)_7_3,A32p,pregenual area 32,CG,179,180,1,2,0.3333,1.0,0.11111,1,7
ant cingulate gyrus,1,CG_L(R)_7_5,A24cd,caudodorsal area 24,CG,183,184,2,2,0.2273,0.5,0.04545,4,14
ant cingulate gyrus,2,CG_L(R)_7_3,A32p,pregenual area 32,CG,179,180,1,1,0.1364,0.25,0.04545,4,14
ant cingulate gyrus,3,SFG_L(R)_7_1,A8m,medial area 8,SFG,1,2,1,1,0.1364,0.25,0.04545,4,14
ant cingulum,1,CG_L(R)_7_7,A32sg,subgenual area 32,CG,187,188,1,1,0.3333,1.0,0.11111,1,7
ant fusiform,1,FuG_L(R)_3_1,A20rv,rostroventral area 20,FuG,103,104,1,1,0.4286,0.5,0.14286,2,3
ant fusiform,2,FuG_L(R)_3_2,A37mv,medioventral area 37,FuG,105,106,1,1,0.4286,0.5,0.14286,2,3
ant hippocampus,1,Hipp_L(R)_2_1,rHipp,rostral hippocampus,Hipp,215,216,1,2,0.75,1.0,0.25,1,2
ant inferior temporal gyrus,1,INS_L(R)_6_1,G,hypergranular insula,INS,163,164,1,1,0.375,1.0,0.125,1,6
ant ins,1,INS_L(R)_6_2,vIa,ventral agranular insula,INS,165,166,1,1,0.1667,0.3333,0.05556,3,12
ant ins,2,INS_L(R)_6_3,dIa,dorsal agranular insula,INS,167,168,1,1,0.1667,0.3333,0.05556,3,12
