lit_name,rank,bna_L3_code,bna_area_abbr,bna_area_name,bna_L2_abbr,bna_label_id_L,bna_label_id_R,n_papers,n_coords,p,p_raw,p_unobserved,k_total,n_support
parahippocampal gyrus,31,LOcC_L(R)_2_1,msOccG,medial superior occipital gyrus,LOcC,207,208,1,1,0.0048,0.0036,0.00159,276,78
parahippocampal gyrus,32,MTG_L(R)_4_4,aSTS,anterior superior temporal sulcus,MTG,87,88,1,1,0.0048,0.0036,0.00159,276,78
parahippocampal gyrus,33,OrG_L(R)_6_3,A11l,lateral area 11,OrG,45,46,1,1,0.0048,0.0036,0.00159,276,78
parahippocampal gyrus,34,Tha_L(R)_8_1,mPFtha,medial pre-frontal thalamus,Tha,231,232,1,1,0.0048,0.0036,0.00159,276,78
parahippocampal gyrus,35,Tha_L(R)_8_3,Stha,sensory thalamus,Tha,235,236,1,1,0.0048,0.0036,0.00159,276,78
parahippocampal gyrus,36,Tha_L(R)_8_4,rTtha,rostral temporal thalamus,Tha,237,238,1,1,0.0048,0.0036,0.00159,276,78
parahippocampal gyrus,37,pSTS_L(R)_2_1,rpSTS,rostroposterior superior temporal sulcus,pSTS,121,122,1,1,0.0048,0.0036,0.00159,276,78
parahippocampal gyrus 19,1,MVOcC_L(R)_5_4,rLinG,rostral lingual gyrus,MVOcC,195,196,1,1,0.4286,1.0,0.14286,1,5
parahippocampal gyrus 20,1,BG_L(R)_6_6,dlPu,dorsolateral putamen,BG,229,230,1,1,0.375,1.0,0.125,1,6
parahippocampal gyrus 27,1,Hipp_L(R)_2_2,cHipp,caudal hippocampus,Hipp,217,218,1,1,0.75,1.0,0.25,1,2
parahippocampal gyrus 28,1,PhG_L(R)_6_5,TI,area TI (temporal agranular insular cortex),PhG,117,118,2,3,0.1471,0.3333,0.02941,6,22
parahippocampal gyrus 28,2,BG_L(R)_6_4,vmPu,ventromedial putamen,BG,225,226,1,1,0.0882,0.1667,0.02941,6,22
parahippocampal gyrus 28,3,Hipp_L(R)_2_1,rHipp,rostral hippocampus,Hipp,215,216,1,1,0.0882,0.1667,0.02941,6,22
parahippocampal gyrus 28,4,Hipp_L(R)_2_2,cHipp,caudal hippocampus,Hipp,217,218,1,1,0.0882,0.1667,0.02941,6,22
parahippocampal gyrus 28,5,Tha_L(R)_8_2,mPMtha,pre-motor thalamus,Tha,233,234,1,1,0.0882,0.1667,0.02941,6,22
parahippocampal gyrus 30,1,CG_L(R)_7_4,A23v,ventral area 23,CG,181,182,1,1,0.2308,0.5,0.07692,2,9
