name_core,alias_core,n_papers,n_rows
middle temporal gyrus,lobe,1,1
sensorimotor cortex,a 1,1,1
sensorimotor cortex,smc,1,1
sensorimotor network,m1,1,1
sensory,visual,1,2
sfg,cingulate gyrus,1,2
sma,parietal,1,1
small volume correction,vmpfc,1,5
small volume correction,vs,1,1
smc,postcentral precentral gyrus,1,1
smg,mpfc ba 10,1,2
rostral superior parietal gyrus,rspg,1,2
superior parietal lobule,cl,1,1
superior parietal lobule,m 7p 7a,1,1
superior parietal lobule,ppc,1,2
superior parietal lobule,secondary sensorimotor cortex,1,2
superior parietal lobule,spl,1,1
superior parietal lobule,spl7a,1,2
superior parietal lobule,wm,1,1
superior parieto occipital cortex,spoc,1,1
superior srontal g,frontal roi,1,1
superior temporal gyr,stg,1,1
superior temporal gyrus,ai ba 41,1,2
superior frontal gyrus,dmpfc,1,1
superior temporal gyrus,anteior,1,1
superior temporal gyrus,insula,1,1
superior temporal gyrus,ipl,1,1
superior temporal gyrus,lstg,1,1
superior temporal gyrus,mid anterior,1,1
superior temporal gyrus,mid posterior,1,1
superior temporal gyrus,no label,1,3
superior temporal gyrus,op1,1,2
superior temporal gyrus,planum polare,1,1
superior temporal gyrus,pstg,1,2
superior temporal gyrus,s2,1,2
superior temporal gyrus,aii ba 22,1,1
superior frontal gyrus,dorsal,1,1
superior frontal gyrus,dpm,1,1
superior frontal gyrus,frontal sup,1,1
superior frontal gyrus,mpfc,1,1
superior frontal gyrus,orbital portion,1,1
superior frontal gyrus,paramedian frontal cortex,1,1
superior frontal gyrus,sma,1,2
superior frontal gyrus,sma ba 6,1,1
superior frontal sulc,sfs,1,3
superior frontal sulcus,sfg,1,1
superior medial gyrus,anterior paracingulate,1,1
superior parietal lobule,area7a,1,1
superior parietal,ba 40 ba 7,1,1
superior parietal cortex,area 1,1,1
superior parietal cortex,area 7,1,1
superior parietal cortex,lspc,1,1
superior parietal cortex,parietal sup,1,1
superior parietal cortex,precuneus,1,1
superior parietal cortex,rspc,1,1
superior parietal lobe,area 2 1,1,1
superior parietal lobe,area 7a,1,3
superior parietal lobe,spl,1,2
superior parietal lobule,area 7a,1,1
superior medial gyrus,smg,1,1
dorsolateral prefrontal cortex,inferior frontal gyrus,1,1
dorsolateral prefrontal cortex,middle frontal gyrus,1,1
dorsolateral prefrontal cortex,roi,1,1
dorsolateral prefrontal ctx,dlpfc,1,1
dorsolateral premotor cortex,pmd,1,1
executive network,central executive,1,1
fmri study,kanwisher et al,1,1
fmri study,vuilleumier et al,1,2
frontal,precentral,1,4
frontal cortex,pre,1,2
frontal gyrus,middle,1,5
middle frontal gyrus,medial,1,1
frontal gyrus,superior,1,3
frontal network,frontopolar,1,1
frontal operculum,brocas,1,1
fronto marginal gyrus and sulcus,of wernicke,1,1
fusiform,ffg,1,1
fusiform,lateral,1,2
fusiform,medial,1,1
fusiform g,see,1,2
fusiform g,see table 2,1,2
fusiform gyrus,ffg,1,1
fusiform gyrus,fg,1,3
frontal gyrus,precentral,1,1
cuneus,cun,1,1
cuneus,occipital lobe,1,2
cuneus,pips,1,2
cuneus,pre,1,1
default mode network,pcc,1,1
dfc,frontal,1,1
dlpfc,fat thin,1,1
dlpfc,mfg,1,1
dlpfc,pars opercularis,1,3
dlpfc,pars triangularis,1,2
dlpfc ba 46 9,mfg,1,1
dorsolateral prefrontal cortex,area 9 46,1,1
dmpfc ba 8,medial frontal gyrus,1,1
dorsal acc,roi,1,1
dorsal lateral prefrontal cortex,dlpfc,1,1
dorsal prefrontal cortex,dpfc,1,1
dorsal premotor,pmd,1,1
dorsal premotor cortex,lpmd,1,1
dorsal premotor cortex,rpmd,1,1
dorsal striatum,caudate,1,1
dorso lateral prefrontal cortex,dlpfc,1,1
dorsolateral frontal cortex,middle frontal gyrus,1,1
dorsolateral pfc,ba 9,1,1
dlpfc ba 9,mfg,1,1
