lit_name,lit_hemisphere,k_papers,k_coords,p_coord_L,hemi_agreement
claustrum,R,10,11,0.0,1.0
transverse temporal gyrus,R,10,11,0.0,1.0
inferior frontal sulcus,U,10,13,0.4615,
frontopolar cortex,U,10,14,0.6429,
superior medial frontal gyrus,R,10,11,0.0909,0.9091
superior temporal pole,U,10,16,0.4375,
primary motor cortex,U,10,22,0.5455,
transverse temporal gyrus,L,10,14,0.9286,0.9286
mid cingulate cortex,U,10,13,0.3077,
parietal cortex,U,10,12,0.5,
superior frontal,L,10,12,1.0,1.0
precentral gyrus ba 6,L,10,11,0.9091,0.9091
middle temporal gyrus ba 21,U,10,26,0.5769,
precg,U,10,19,0.5789,
inferior frontal gyrus ba 47,R,9,10,0.0,1.0
superior medial frontal gyrus,U,9,18,0.7222,
middle temporal,R,9,12,0.0,1.0
posterior parietal cortex,R,9,20,0.3,0.7
inferior temporal,R,9,10,0.0,1.0
pmd,U,9,15,0.6,
insular cortex,L,9,14,0.9286,0.9286
superior temporal pole,L,9,11,1.0,1.0
lentiform nucleus,R,9,14,0.3571,0.6429
caudate head,U,9,13,0.3077,
precuneus cortex,U,9,15,0.3333,
parahippocampus,L,9,11,1.0,1.0
parahippocampus,R,9,13,0.0,1.0
inferior frontal,L,9,11,1.0,1.0
inferior parietal,R,9,13,0.0,1.0
precuneus ba 7,U,9,17,0.4118,
orbital frontal cortex,R,9,11,0.0,1.0
mid insula,U,9,20,0.55,
dmpfc,L,9,12,1.0,1.0
middle frontal,R,9,10,0.0,1.0
middle cingulate gyrus,L,9,10,0.8,0.8
temporoparietal junction,L,9,17,1.0,1.0
middle cingulate cortex,R,9,14,0.0714,0.9286
nucleus accumbens,L,9,12,1.0,1.0
ventral striatum,R,9,19,0.0526,0.9474
temporoparietal junction,R,9,11,0.0,1.0
frontal mid,R,8,10,0.0,1.0
somatosensory cortex,L,8,8,1.0,1.0
middle frontal,L,8,10,1.0,1.0
ventromedial pfc,U,8,9,0.7778,
inferior temporal cortex,L,8,10,1.0,1.0
basal ganglia,U,8,12,0.6667,
dorsolateral pfc,U,8,13,0.5385,
ventral striatum,L,8,14,1.0,1.0
superior parietal gyrus,R,8,10,0.0,1.0
primary motor cortex,L,8,11,1.0,1.0
middle temporal gyrus 21,U,8,8,0.625,
middle temporal,L,8,10,1.0,1.0
medial orbitofrontal cortex,U,8,10,0.7,
calcarine sulcus,R,8,11,0.0,1.0
mid temporal gyrus,U,8,16,0.8125,
superior frontal gyrus ba 6,L,8,13,1.0,1.0
parietal inf,L,8,10,1.0,1.0
posterior cingulate gyrus,L,8,9,1.0,1.0
intracalcarine cortex,U,8,9,0.6667,
middle cingulate gyrus,R,8,8,0.125,0.875
insula ba 13,U,8,11,0.7273,
superior medial gyrus,R,8,11,0.0,1.0
middle frontal gyrus ba 9,R,8,8,0.125,0.875
frontal lobe,U,8,31,0.4839,
posterior parietal cortex,U,8,19,0.4737,
temporal inf,R,8,15,0.0,1.0
caudate body,U,8,10,0.6,
supplementary motor cortex,U,8,10,0.3,
supramarginal,L,8,8,1.0,1.0
prefrontal cortex,U,8,18,0.3333,
inferior parietal lobule ba 40,R,8,15,0.0,1.0
tpj,L,8,12,1.0,1.0
sub gyral,U,8,14,0.5714,
inferior parietal lobe,L,8,10,1.0,1.0
superior temporal pole,R,7,11,0.0,1.0
supp motor area,L,7,16,1.0,1.0
posterior sts,L,7,10,1.0,1.0
posterior parietal cortex,L,7,18,0.7222,0.7222
posterior cingulate gyrus,R,7,8,0.125,0.875
middle cingulum,U,7,13,0.6154,
superior parietal lobule 7,L,7,10,1.0,1.0
rectus,R,7,7,0.0,1.0
rectus,U,7,10,0.6,
somatosensory cortex,U,7,14,0.6429,
dorsal striatum,U,7,10,0.4,
ba 9,U,7,22,0.6364,
psts,U,7,12,0.6667,
inferior temporal cortex,R,7,9,0.2222,0.7778
dorsal premotor cortex,U,7,15,0.6667,
pmc,U,7,14,0.5714,
frontal inf tri,L,7,18,1.0,1.0
middle frontal gyrus ba 9,U,7,13,0.5385,
frontal inf orb,R,7,8,0.0,1.0
superior temporal gyrus ba 22,R,7,9,0.0,1.0
inf parietal,L,7,10,1.0,1.0
superior occipital,U,7,8,0.75,
frontal mid,L,7,10,1.0,1.0
inferior parietal lobule ba 40,L,7,11,1.0,1.0
caudate body,L,7,8,1.0,1.0
supplementary motor area,B,7,8,0.625,
mid cingulate,U,7,8,0.875,
frontal inf orb,L,7,9,1.0,1.0
medial pfc,U,7,17,0.3529,
auditory cortex,R,7,10,0.1,0.9
lateral ofc,U,7,8,0.75,
precentral g,L,7,8,1.0,1.0
parietal operculum,R,7,8,0.0,1.0
dmpfc,R,7,10,0.0,1.0
planum temporale,U,7,13,0.6154,
superior frontal,R,7,10,0.0,1.0
superior frontal cortex,U,7,14,0.5714,
posterior superior temporal sulcus,U,7,19,0.2632,
mid temporal gyrus,R,7,9,0.1111,0.8889
planum temporale,L,7,7,1.0,1.0
middle occipital,U,7,11,0.3636,
inferior parietal lobe,R,7,10,0.0,1.0
parietal cortex,R,7,8,0.0,1.0
dorsal acc,U,7,10,0.7,
lateral occipital,R,7,7,0.0,1.0
parahippocampus,U,7,9,0.2222,
temporal mid,R,7,14,0.0,1.0
calcarine sulcus,L,7,10,1.0,1.0
precuneus ba 7,R,7,7,0.0,1.0
ventrolateral prefrontal cortex,L,7,8,1.0,1.0
inferior frontal gyrus ba 45,R,7,9,0.0,1.0
inferior frontal gyrus ba 44,U,7,10,0.6,
middle temporal pole,R,7,8,0.0,1.0
vmpfc,R,7,7,0.0,1.0
mog,L,7,9,1.0,1.0
uncus,R,6,7,0.0,1.0
visual cortex,R,6,7,0.0,1.0
mog,R,6,6,0.0,1.0
motor cortex,U,6,7,0.8571,
lpmc,U,6,18,0.8333,
inferior frontal cortex,U,6,10,0.6,
occipital,R,6,8,0.0,1.0
middle occipital gyrus ba 19,U,6,8,0.5,
fef,R,6,7,0.0,1.0
middle orbital gyrus,U,6,6,0.5,
occipital lobe,L,6,10,1.0,1.0
sii,U,6,15,0.3333,
racc,U,6,20,0.65,
ba 7,U,6,16,0.5625,
rectus,L,6,6,0.8333,0.8333
tpj,R,6,12,0.0,1.0
superior frontal g,U,6,11,0.7273,
anterior superior temporal gyrus,L,6,6,1.0,1.0
anterior sts,U,6,12,0.4167,
superior medial frontal gyrus,L,6,10,1.0,1.0
frontal sup medial,R,6,6,0.0,1.0
pre sma,R,6,12,0.0833,0.9167
middle cingulate,U,6,12,0.6667,
superior frontal gyrus ba 9,U,6,8,0.375,
posterior middle temporal gyrus,L,6,8,1.0,1.0
precentral cortex,U,6,8,0.875,
culmen,R,6,7,0.2857,0.7143
pmtg,U,6,10,0.7,
frontal orbital cortex,L,6,7,1.0,1.0
cingulum ant,R,6,7,0.0,1.0
middle frontal g,U,6,28,0.75,
cingulum mid,L,6,10,0.9,0.9
inferior temporal cortex,U,6,7,0.4286,
planum polare,U,6,9,0.5556,
lingual g,U,6,8,0.625,
caudate body,R,6,10,0.0,1.0
middle frontal gyrus ba 8,U,6,7,0.2857,
pars triangularis,U,6,19,1.0,
middle frontal gyrus ba 46,U,6,11,0.5455,
lingual gyrus ba 18,U,6,9,0.5556,
caudate head,R,6,9,0.0,1.0
lmtg,U,6,23,1.0,
supplemental motor area,U,6,16,0.75,
superior temporal,R,6,9,0.0,1.0
parietal sup,L,6,8,1.0,1.0
middle insula,U,6,9,0.4444,
parietal cortex,L,6,8,1.0,1.0
parietal inf,U,6,7,0.8571,
superior temporal cortex,U,6,9,0.2222,
inf parietal lobule,U,6,13,0.6923,
supp motor area,U,6,11,0.5455,
parahippocampal g,U,6,8,0.75,
apfc,U,6,10,0.5,
pre central gyrus,R,6,8,0.0,1.0
middle temporal gyrus 21,R,6,9,0.0,1.0
lateral orbitofrontal cortex,U,6,10,0.4,
precuneus,B,6,8,0.25,
precentral gyrus ba 6,R,6,10,0.1,0.9
precuneus 7,U,6,11,0.4545,
central opercular cortex,R,6,6,0.0,1.0
superior frontal gyrus ba 6,R,6,6,0.0,1.0
inferior frontal gyrus ba 45,U,6,8,0.5,
temporo parietal junction,U,6,8,0.625,
medial frontal gyrus ba 10,L,5,6,1.0,1.0
rectal gyrus,R,5,6,0.0,1.0
red nucleus,U,5,5,0.6,
rectal gyrus,L,5,5,1.0,1.0
orbitofrontal cortex,R,5,5,0.2,0.8
head of caudate,U,5,6,0.3333,
occipital lobe,R,5,6,0.0,1.0
occipital mid,L,5,10,1.0,1.0
middle orbital gyrus,R,5,5,0.0,1.0
ffa,U,5,6,0.1667,
fef,U,5,11,0.4545,
occipital fusiform gyrus,R,5,9,0.1111,0.8889
angular g,R,5,6,0.1667,0.8333
temporal inf,L,5,9,1.0,1.0
occipital,L,5,7,1.0,1.0
inferior,U,5,32,0.4688,
temporal mid,U,5,6,0.6667,
inferior frontal g,U,5,15,0.8667,
rostral middle frontal,U,5,9,0.6667,
