lit_name,lit_hemisphere,k_papers,k_coords,p_coord_L,hemi_agreement
precu,L,2,4,1.0,1.0
precu,R,2,2,0.0,1.0
precentralgyrus,L,2,2,1.0,1.0
precentralgyrus,U,2,4,0.5,
mfg 10,U,2,2,0.0,
mfg 46,U,2,2,1.0,
mfg 9,U,2,3,0.3333,
mfg ba 6,R,2,3,0.0,1.0
mediodorsal thalamus,U,2,2,0.5,
median cingulate,U,2,4,1.0,
fusiform gyrus ba 19,L,2,2,1.0,1.0
fusiform gyrus ba 19,R,2,3,0.0,1.0
mid cingulum,R,2,2,0.0,1.0
mid brain,U,2,2,0.5,
mid cingulate cortex,L,2,3,1.0,1.0
fusiform gy,U,2,2,0.5,
fusiform gyr,U,2,2,0.0,
fusiform gyrus 19,L,2,3,1.0,1.0
fusiform cortex,L,2,2,1.0,1.0
fusiform cortex,U,2,2,1.0,
cerebellum 4 5,U,2,6,0.5,
cerebellar tonsil,U,2,3,0.3333,
precentral gryus,U,2,2,1.0,
precentral gy,U,2,5,1.0,
precentral gyr,U,2,3,0.6667,
precentral gyrus,B,2,2,0.5,
mid cingulate gyrus,L,2,2,1.0,1.0
mid cingulate gyrus,U,2,3,0.0,
prefrontal cortex,L,2,2,1.0,1.0
precuneusb,U,2,4,0.5,
prefrontal,L,2,6,1.0,1.0
precuneus cortex,R,2,2,0.0,1.0
precuneus and,B,2,3,0.0,
precuneus ba 31,U,2,2,0.5,
precuneus 31,U,2,2,1.0,
calcarine fissure and surrounding cortex,L,2,3,0.6667,0.6667
medial orbitofrontal gyrus,R,2,2,0.5,0.5
medial parietal cortex,U,2,4,0.25,
caudate,B,2,3,0.6667,
premotor,R,2,2,0.0,1.0
premotor area,U,2,3,0.6667,
pregenual acc,U,2,6,0.5,
pregenual anterior cingulate cortex,L,2,3,1.0,1.0
pregenual anterior cingulate cortex,R,2,2,0.0,1.0
medial superior frontal cortex,U,2,2,0.5,
medial sfg,U,2,2,1.0,
medial superior frontal,U,2,2,0.5,
medial superior frontal cortex,L,2,4,1.0,1.0
medial prefrontal cortex ba 9,R,2,2,0.0,1.0
medial prefrontal lobe,U,2,2,0.0,
medial prefrontal,U,2,3,0.3333,
medial prefrontal,L,2,2,1.0,1.0
precentral gyrus ba 9,R,2,2,0.0,1.0
fusiform gyrus 19,U,2,3,1.0,
fusiform gyrus 20,U,2,4,0.75,
fusiform gyrus 37,L,2,7,1.0,1.0
medial temporal pole,R,2,4,0.0,1.0
medial thalamus,U,2,5,0.6,
medial temporal cortex,U,2,2,0.0,
medial temporal lobe,U,2,2,0.0,
rectal gyrus ba 11,L,2,3,1.0,1.0
rdlpfc,U,2,3,0.0,
racc,R,2,2,0.0,1.0
putaman,U,2,6,0.5,
put,R,2,2,0.0,1.0
psts,R,2,4,0.0,1.0
pstg,U,2,2,0.5,
sef,U,2,3,0.3333,
medial frontal gyrus 8,U,2,2,0.0,
medial frontal gyrus ba 11,U,2,2,1.0,
medial frontal gyrus 6,L,2,3,1.0,1.0
medial frontal gyrus 6,U,2,2,0.5,
ripl,U,2,2,0.0,
retrosplenial cortex ba 31,R,2,3,0.0,1.0
rectus gyrus,R,2,2,0.5,0.5
retrolenticular limb,L,2,2,1.0,1.0
medial orbito frontal cortex,L,2,2,1.0,1.0
medial occipital,U,2,2,0.5,
medial globus pallidus,R,2,3,0.0,1.0
medial frontal orbital lobe ba 11,R,2,2,0.0,1.0
medial frontal gyrus ba 9,R,2,2,0.0,1.0
medial frontal gyrus ba 9,U,2,2,0.5,
medial frontal lobe,U,2,2,0.5,
medial frontal gyrus ba 8,U,2,2,0.0,
calcarine fissure and surrounding cortex,R,2,2,0.0,1.0
calarine gyrus,U,2,2,0.5,
primary motor area,U,2,2,1.0,
medial orbitofrontal cortex,L,2,3,1.0,1.0
medial orbitofrontal gyrus,L,2,2,1.0,1.0
medial orbital frontal gyrus,R,2,3,0.0,1.0
medial orbital frontal gyrus,U,2,6,0.6667,
medial orbital gyrus,U,2,4,0.5,
ltpj,U,2,3,1.0,
lphg,U,2,2,1.0,
hipp,U,2,3,0.6667,
hippocampal formation,U,2,2,1.0,
hippocampal gyrus,R,2,2,0.0,1.0
hippocampal gyrus,U,2,7,0.4286,
heschl,U,2,2,1.0,
hip2,U,2,3,0.3333,
medial frontal g,U,2,10,0.9,
heschl,R,2,4,0.0,1.0
gyrus rectus,L,2,2,1.0,1.0
medial dorsal nucleus,R,2,2,0.0,1.0
medial frontal,R,2,2,0.0,1.0
medial cingulate,U,2,3,0.3333,
mdfg,U,2,2,0.5,
mammillary body,U,2,2,0.0,
rostral middle frontal gyrus,L,2,2,1.0,1.0
rostral anterior cingulate cortex,R,2,2,0.0,1.0
rostral anterior cingulate cortex,U,2,2,1.0,
rostral acc,U,2,2,1.0,
rolandic oper,R,2,3,0.0,1.0
rloc,U,2,2,0.0,
rofa,U,2,2,0.0,
medial frontal gyrus 10,R,2,2,0.0,1.0
secondary somatosensory cortex,L,2,2,1.0,1.0
ba 8,U,2,8,0.5,
ba 9,R,2,2,0.0,1.0
rsma,U,2,3,0.3333,
rstg,U,2,2,0.0,
rpsts,U,2,4,0.0,
rpcc,U,2,2,0.0,
rostral middle frontal,R,2,3,0.0,1.0
smc,R,2,2,0.0,1.0
sii,R,2,3,0.0,1.0
sfc,L,2,2,1.0,1.0
sensory cortex,U,2,2,0.5,
secondary visual cortex,U,2,6,0.6667,
sef,R,2,3,0.0,1.0
ba 30,U,2,5,0.2,
ba 21,U,2,2,0.5,
ba 7,L,2,2,0.5,0.5
ba 45,U,2,2,1.0,
ba 46,L,2,5,0.8,0.8
ba 43,U,2,2,1.0,
ba 39,U,2,2,1.0,
ba 4,R,2,2,0.0,1.0
ba 4,U,2,5,0.2,
somatosensory cortex,R,2,3,0.0,1.0
lingual gyrus ba 19,R,2,2,0.0,1.0
lingual gyrus 18,R,2,6,0.0,1.0
lingual gyrus 19,U,2,3,1.0,
lingual gyrus ba 17,L,2,3,1.0,1.0
ifg ba 9,R,2,2,0.0,1.0
ifg 45,U,2,4,0.75,
ba 47,U,2,4,0.5,
ba 5,U,2,6,0.1667,
hip3,U,2,2,0.5,
lobule vi,R,2,3,0.0,1.0
loc,L,2,4,1.0,1.0
loc,R,2,3,0.0,1.0
lips,U,2,2,1.0,
lloc,U,2,2,1.0,
linual gyrus,U,2,5,0.8,
lipl,U,2,2,1.0,
lateral prefrontal cortex,R,2,2,0.5,0.5
lateral orbitofrontal gyrus,U,2,4,0.75,
lateral parietal,L,2,2,1.0,1.0
lateral parietal,R,2,2,0.0,1.0
superior and middle temporal gyrus,U,2,6,1.0,
superior and medial frontal gyrus,R,2,2,0.0,1.0
superior and middle frontal gyrus,R,2,2,0.0,1.0
ba 10,L,2,3,1.0,1.0
ifg ba 44,U,2,3,0.6667,
ifg ba 45,U,2,2,0.0,
hypothalamus,R,2,2,0.0,1.0
lingual g,L,2,3,1.0,1.0
lingual g,R,2,2,0.0,1.0
lingual gy,U,2,4,0.5,
lgn,U,2,6,0.5,
lateral prefrontal cortex,L,2,2,0.5,0.5
striatum,L,2,3,1.0,1.0
stg ba 22,R,2,3,0.0,1.0
straight gyrus,U,2,2,0.5,
stg 38,U,2,10,0.9,
ba 46,U,2,2,0.0,
ifg 46,U,2,5,0.4,
ifg 47,U,2,4,0.5,
ifg 9,U,2,4,0.5,
subthalamic nucleus,L,2,2,1.0,1.0
subparietal sulcus,U,2,2,1.0,
subgenual cingulate,U,2,2,1.0,
subgenual cingulate cortex,U,2,2,0.5,
subcallosal gyrus,R,2,2,0.0,1.0
subcentral gyrus and sulcus,U,2,3,0.6667,
sub gyral,R,2,2,0.0,1.0
striate cortex,R,2,2,0.0,1.0
lag,U,2,2,1.0,
isthmus cingulate,U,2,2,0.0,
inf frontal gyrus,L,2,3,1.0,1.0
inf frontal,L,2,3,1.0,1.0
inf frontal,R,2,3,0.0,1.0
area 6,U,2,3,0.6667,
antr insula,U,2,5,0.2,
apfc,L,2,2,1.0,1.0
ifg pars orbitalis,U,2,4,0.5,
ifg pars triangularis,U,2,7,0.2857,
ifg pars triangularis ba 45,U,2,2,0.0,
ifg opercularis,U,2,2,1.0,
lateral globus pallidus,R,2,3,0.0,1.0
lateral frontal cortex,U,2,2,0.5,
itg 20,U,2,10,0.9,
juxtapositional lobule cortex,U,2,3,1.0,
sup occipital,R,2,2,0.0,1.0
sup parietal,L,2,2,1.0,1.0
sup medial frontal,U,2,2,0.0,
sup frontal,R,2,12,0.0,1.0
lateral occipitalcortex,U,2,2,0.0,
lateral occipito temporal sulcus,U,2,2,1.0,
ifg triang,R,2,2,0.0,1.0
ifg1,U,2,2,0.5,
asmg,U,2,2,0.5,
associative visual cortex,R,2,2,0.0,1.0
sup temporal gyrus,R,2,4,0.0,1.0
sup temporal gyrus,U,2,10,0.6,
sup temporal,R,2,4,0.0,1.0
sup parietal,U,2,2,0.0,
sup parietal lobule,L,2,3,1.0,1.0
sup parietal lobule,U,2,3,1.0,
insula ba 48,L,2,3,1.0,1.0
insula cortex,L,2,2,1.0,1.0
insula cortex,R,2,2,0.0,1.0
superior orbital gyrus,L,2,2,1.0,1.0
superior orbital gyrus,U,2,2,1.0,
superior occipital lobe,U,2,8,0.625,
superior ofc,U,2,2,0.0,
superior orbital,U,2,5,0.2,
superior frontal lobe,L,2,2,1.0,1.0
superior frontal gyrus medial,U,2,10,0.6,
ipl 40,U,2,4,0.75,
intraparietal sulcus ba 40,L,2,2,1.0,1.0
intraparietal sulcus ba 7,R,2,4,0.0,1.0
intraparietal sulcus,B,2,5,0.4,
insular,U,2,2,0.0,
insula ba 47,U,2,2,0.5,
superior medial,U,2,9,0.7778,
superior medial frontal,U,2,6,0.6667,
superior medial frontal cortex,U,2,3,0.3333,
superior lateral occipital cortex,R,2,2,0.0,1.0
superior lateral occipital cortex,U,2,3,0.6667,
superior longitudinal fasciculus,L,2,3,0.6667,0.6667
superior lateral occipital cortex,L,2,2,1.0,1.0
superior frontal gyrusa,U,2,2,1.0,
anterior vlpfc,U,2,2,0.5,
superior frontal gyrus 8,U,2,4,0.25,
superior frontal gyrus 10,U,2,6,0.1667,
superior frontal g,L,2,4,1.0,1.0
anterior temporal pole,L,2,3,1.0,1.0
anterior supramarginal gyrus,L,2,2,1.0,1.0
anterior superior temporal gyrus,R,2,2,0.0,1.0
anterior superior temporal sulcus,U,2,2,0.5,
inf frontal orb gyrus,U,2,2,1.0,
inferior temporal sulcus,L,2,3,1.0,1.0
inferior temporalgyrus,R,2,3,0.0,1.0
inferior temporal gyrus 20,U,2,2,0.5,
anterior insula ba 48,U,2,2,1.0,
anterior insular cortex,L,2,4,1.0,1.0
anterior hippocampus,R,2,3,0.0,1.0
anterior fusiform gyrus,L,2,2,1.0,1.0
superior parietal sulcus,U,2,3,0.3333,
superior pfc,U,2,2,0.5,
superior parietal lobule ba 40,R,2,2,0.0,1.0
superior parietal lobe ba 7,U,2,2,0.5,
superior parietal ba 7,L,2,5,0.8,0.8
inf occipital gyrus,U,2,3,1.0,
inf occipital gyrus,L,2,2,1.0,1.0
inf frontal op gyrus,U,2,2,1.0,
superior occipital,R,2,2,0.0,1.0
superior occipital cortex,R,2,2,0.0,1.0
anterior middle frontal gyrus,L,2,2,0.5,0.5
anterior middle temporal gyrus,U,2,2,1.0,
anterior medial prefrontal cortex,U,2,2,1.0,
anterior mid cingulate cortex,U,2,2,0.5,
anterior insular cortex,R,2,3,0.0,1.0
anterior ips,U,2,3,0.6667,
anterior stg,R,2,2,0.0,1.0
anterior pfc,R,2,2,0.0,1.0
anterior ofc,R,2,2,0.0,1.0
anterior parahippocampal gyrus,U,2,2,0.5,
anterior mtg,U,2,3,1.0,
anterior occipital sulcus,R,2,2,0.0,1.0
superior occipital gyrus 19,L,2,2,1.0,1.0
superior occipital gyrus ba 19,R,2,2,0.0,1.0
supramarginal g,U,2,7,0.8571,
supramarginal cortex,L,2,2,1.0,1.0
supramarginal cortex,R,2,2,0.0,1.0
supramarginal cortex,U,2,3,0.3333,
supramarginal g,R,2,2,0.5,0.5
supra marginal gyrus,R,2,2,0.0,1.0
supr frontal gyr,U,2,2,0.0,
supplementary motor cortex,L,2,2,1.0,1.0
inf temporal gyrus,L,2,5,1.0,1.0
inferior precentral sulcus,U,2,2,0.0,
inferior parietal lobule 40,R,2,2,0.0,1.0
inferior parietal lobe ba 40,U,2,6,0.6667,
temporal cortex,R,2,2,0.0,1.0
anterior cingulate cortex ba 24,L,2,2,0.5,0.5
anterior cingulate cortex ba 32,U,2,2,0.5,
anterior cingulate ba 32,L,2,2,1.0,1.0
supplementary motor area ba 6,R,2,2,0.0,1.0
superior temporalgyrus,L,2,2,1.0,1.0
superior temporalgyrus,R,2,3,0.0,1.0
superior temporal gyurs,U,2,3,0.6667,
inferior,L,2,3,1.0,1.0
inf temporal,L,2,2,1.0,1.0
inf temporal,R,2,2,0.0,1.0
inf temporal,U,2,4,0.75,
superior temporal gyrus 38,L,2,3,1.0,1.0
superior temporal gyrus 38,R,2,3,0.0,1.0
superior temporal gyrus 22,L,2,4,1.0,1.0
superior temporal g,R,2,5,0.0,1.0
superior temporal g,L,2,5,1.0,1.0
anterior cingulated cortex,L,2,2,1.0,1.0
anterior cingulate gyrus ba 24,L,2,3,1.0,1.0
anterior cingulate gyrus ba 32,L,2,2,1.0,1.0
inferior frontal gyrus,B,2,3,0.0,
inferior frontal gyrus 44,L,2,2,1.0,1.0
inferior middle frontal gyrus,R,2,2,0.0,1.0
inferior fronto occipital fasciculus,L,2,3,0.6667,0.6667
inferior frontal sulcus,L,2,3,1.0,1.0
vpmc,U,2,5,0.2,
ains,L,2,4,1.0,1.0
amfg,U,2,2,0.5,
angular gyrus ba 39,R,2,2,0.0,1.0
angular gyrus ba 39,U,2,2,0.0,
inferior frontal gyrus ba 44 45,R,2,2,0.0,1.0
inferior frontal gyrus 46,U,2,2,0.0,
inferior frontal gyrus 9,R,2,2,0.0,1.0
inferior frontal gyrus 44,R,2,2,0.0,1.0
inferior frontal gyrus 45,L,2,2,1.0,1.0
inferior frontal gyrus 45,R,2,3,0.0,1.0
ventral mpfc,U,2,2,1.0,
ventral lateral nucleus,U,2,2,0.5,
ventral medial pfc,U,2,2,0.5,
vent apfc,U,2,3,0.6667,
ventral acc,U,2,3,1.0,
ventral anterior cingulate,U,2,3,0.3333,
ventral anterior cingulate cortex 24,L,2,2,1.0,1.0
transverse temporal sulcus,U,2,3,0.6667,
temporal sup,U,2,2,1.0,
temporal pole sup,L,2,2,1.0,1.0
temporal pole sup,R,2,2,0.0,1.0
ang gyr,U,2,11,0.6364,
amygdaloid complex,U,2,2,0.5,
ventral posterior cingulate cortex,U,2,2,1.0,
ventral medial prefrontal cortex,L,2,5,1.0,1.0
ventral medial prefrontal cortex,R,2,3,0.0,1.0
middle temporalgyrus,L,2,2,1.0,1.0
midfg,U,2,3,0.3333,
midfrontal gyrus,L,2,4,1.0,1.0
middle temporal pole,L,2,2,1.0,1.0
middle temporal gyrusa,U,2,2,0.5,
middle temporal gyrus 37,R,2,2,0.0,1.0
middle temporal gyrus 22,L,2,2,1.0,1.0
dorsomedial frontal cortex,L,2,2,1.0,1.0
inferior frontal gyrus pars triangularis,R,2,3,0.0,1.0
acg,R,2,2,0.0,1.0
acc 24,U,2,3,1.0,
acc ba 32,R,2,2,0.0,1.0
vlpfc ba 44,U,2,2,0.5,
extrastriate cortex,U,2,2,0.5,
entorhinal cortex,U,2,4,0.0,
mifg,U,2,2,1.0,
inferior frontal gyrus pars orbitalis,R,2,4,0.0,1.0
inferior frontal gyrus pars orbitalis,U,2,2,0.5,
inferior frontal gyrus ba 9,R,2,2,0.0,1.0
inferior frontal gyrus ba 46,U,2,2,0.0,
inferior frontal lobe,U,2,3,0.3333,
inferior frontal operculum,U,2,2,0.0,
inferior frontal gyrus triangularis,U,2,2,0.5,
inferior frontal gyrusa,U,2,2,1.0,
ains,R,2,4,0.0,1.0
aipl,U,2,3,0.3333,
vermis vi,U,2,2,0.0,
ventromedial prefrontal cortex,R,2,2,0.0,1.0
ventro lateral prefrontal cortex,R,2,2,0.0,1.0
ventral putamen,L,2,2,1.0,1.0
inferior frontal triangularis,U,2,3,0.6667,
inferior frontal gyrus pars opercularis,R,2,3,0.0,1.0
a cerebellum anterior lobe,R,1,1,0.0,1.0
vermis viib,U,1,1,1.0,
vermis viii,U,1,1,0.0,
vfc,L,1,2,1.0,1.0
vfc,R,1,1,0.0,1.0
vfca,L,1,1,1.0,1.0
vfca,R,1,1,0.0,1.0
vifg1,L,1,1,1.0,1.0
vifg2,L,1,1,1.0,1.0
vii,U,1,5,0.2,
viiib,U,1,2,0.5,
vip,U,1,3,0.3333,
vipl,U,1,1,1.0,
vips,R,1,1,0.0,1.0
vips,U,1,2,0.0,
vipst,L,1,1,1.0,1.0
vis,U,1,2,0.5,
visual,L,1,2,1.0,1.0
visual,R,1,1,0.0,1.0
visual area,U,1,1,1.0,
visual area v5,R,1,1,0.0,1.0
visual areasdamh,U,1,2,1.0,
visual areasundamh,U,1,2,0.0,
ait,R,1,1,0.0,1.0
aloc,L,1,3,1.0,1.0
alpfc,U,1,1,1.0,
also included cuneus,U,1,1,1.0,
also included middle occipital gyrus,L,1,1,1.0,1.0
also included middle occipital lobe,R,1,1,0.0,1.0
also included ventromedial prefrontal cortex,U,1,1,1.0,
amcc,L,1,2,1.0,1.0
vermis vii,U,1,1,0.0,
ains d,U,1,1,1.0,
ains v,U,1,1,1.0,
aip,L,1,1,1.0,1.0
aip,R,1,1,0.0,1.0
aip 40,U,1,1,1.0,
aips,L,1,1,1.0,1.0
aips,R,1,1,0.0,1.0
ventromedial prefrontal cortex ba 10,U,1,3,0.0,
ventromedial thalamus,U,1,1,0.0,
ventrotemporal cortex andcerebellum,U,1,2,0.5,
vermis,L,1,1,1.0,1.0
vermis,R,1,1,0.0,1.0
vermis 4 5,U,1,1,0.0,
vermis 8,U,1,1,0.0,
vermis 9,U,1,2,0.5,
ventrolateral thalamus,L,1,1,1.0,1.0
ventrolateral thalamus,U,1,3,0.6667,
ventromdial pfc,U,1,2,1.0,
ventromedial frontal gyrus,L,1,1,1.0,1.0
ventromedial pfc ba 10,R,1,1,0.0,1.0
ventromedial prefrontal,U,1,1,1.0,
ventromedial prefrontal cortex,L,1,1,1.0,1.0
ventromedial prefrontal cortex ba 10,B,1,1,0.0,
inferior frontal gyrus ba 45 a,R,1,1,0.0,1.0
inferior frontal gyrus ba 46,L,1,3,1.0,1.0
inferior frontal gyrus ba 48,L,1,1,1.0,1.0
inferior frontal gyrus ba 6,R,1,1,1.0,0.0
inferior frontal gyrus ba 9 46,B,1,1,1.0,
inferior frontal gyrus extending in acc and others,L,1,1,1.0,1.0
inferior frontal gyrus in triangular and opercular part,U,1,1,1.0,
inferior frontal gyrus opercular part,L,1,1,1.0,1.0
inferior frontal junction,R,1,1,0.0,1.0
inferior frontal junction area ba 6 8 44,L,1,4,1.0,1.0
inferior frontal junction area ba 6 8 44,R,1,1,0.0,1.0
inferior frontal lobe,L,1,1,1.0,1.0
inferior frontal opercularis,U,1,1,0.0,
inferior frontal operculum ba 47,U,1,1,0.0,
inferior frontal gyrus ba 45 46,R,1,1,0.0,1.0
inferior frontal gyrus ba 45 47,U,1,1,1.0,
inferior frontal gyrus triangulas,U,1,1,0.0,
inferior frontal gyrus3,U,1,1,0.0,
inferior frontal gyrusb,U,1,2,0.0,
inferior frontal gyrusc,U,1,1,1.0,
inferior frontal gyrusd,U,1,1,1.0,
inferior frontal gyrusg,U,1,1,1.0,
inferior frontal gyurs,U,1,2,0.5,
inferior frontal gyus,L,1,1,1.0,1.0
inferior frontal gyrus pars triangularis and anterior insula,U,1,1,1.0,
inferior frontal gyrus pars triangularis ba 45,L,1,1,1.0,1.0
inferior frontal gyrus pars triangularis ba 45 10,U,1,1,0.0,
inferior frontal gyrus precentral,R,1,1,0.0,1.0
inferior frontal gyrus ptr,U,1,1,1.0,
inferior frontal gyrus triangular,R,1,1,0.0,1.0
inferior frontal gyrus triangular part,L,1,1,1.0,1.0
inferior frontal gyrus triangular part,R,1,1,0.0,1.0
inferior longitudinal fascicle,U,1,1,1.0,
inferior longitudinal fasciculus,L,1,2,1.0,1.0
inferior longitudinal fasciculus,R,1,1,0.0,1.0
inferior longitudinal fasciculus,U,1,2,1.0,
inferior middle frontal gyrus,L,1,1,1.0,1.0
inferior middle occipital gyrus,U,1,1,0.0,
inferior middle temporal ba 20 21,L,1,1,1.0,1.0
inferior occcipital gyrus,U,1,1,1.0,
inferior frontal tri ba 45 2,U,1,1,0.0,
inferior frontal triangular,R,1,1,0.0,1.0
inferior frontal triangular,U,1,1,0.0,
inferior frontalgyrus,R,1,1,0.0,1.0
inferior gryrus,U,1,1,0.0,
inferior insula,U,1,1,1.0,
inferior lingual gyrus,U,1,1,1.0,
inferior lobe,R,1,1,0.0,1.0
inferior frontal orbital gyrus,U,1,2,0.0,
inferior frontal pars opercularis,L,1,1,1.0,1.0
inferior frontal pars opercularis ba 48,U,1,1,0.0,
inferior frontal pars orbitalis,R,1,1,0.0,1.0
inferior frontal pars triangularis,L,1,2,1.0,1.0
inferior frontal pars triangularis,R,1,1,0.0,1.0
inferior frontal pars triangularis ba 47,U,1,1,0.0,
inferior frontal region,U,1,1,0.0,
inferior frontal gyrus p opercularis,R,1,1,0.0,1.0
inferior frontal gyrus p triangularis,R,1,1,0.0,1.0
inferior frontal gyrus par opercularis,L,1,1,1.0,1.0
inferior frontal gyrus pars opercularis,L,1,1,1.0,1.0
inferior frontal gyrus pars opercularis ba 44 precentral gyrus,L,1,1,1.0,1.0
inferior frontal gyrus pars orbitalis,L,1,1,1.0,1.0
inferior frontal gyrus pars orbitalis ba 47,L,1,1,1.0,1.0
inferior frontal orbital gyrus,L,1,1,1.0,1.0
inferior occipital gyrusa,U,1,1,1.0,
inferior occipital gyurs,U,1,1,1.0,
inferior occipital lobe,R,1,2,0.0,1.0
inferior occipital lobe,U,1,6,0.6667,
inferior occipital lobea,R,1,2,0.0,1.0
inferior occipitalgyrus,U,1,1,0.0,
inferior orbital frontal,L,1,1,1.0,1.0
inferior orbital frontal,R,1,1,0.0,1.0
inferior occipital gyrus 1,U,1,1,0.0,
inferior occipital gyrus 17,L,1,1,1.0,1.0
inferior occipital gyrus 17,U,1,1,1.0,
inferior occipital gyrus 19,U,1,1,1.0,
inferior occipital gyrus and,L,1,1,1.0,1.0
inferior occipital gyrus and fusiform gyrus,U,1,1,1.0,
inferior occipital gyrus ba 17,R,1,1,0.0,1.0
inferior occipital gyrus wm,R,1,1,0.0,1.0
inferior frontal gyrus and,L,1,1,1.0,1.0
inferior frontal gyrus ba 44 45,L,1,1,1.0,1.0
inferior frontal gyrus ba 44 50,U,1,1,0.0,
inferior occipital and fusiform gyrus,U,1,1,1.0,
inferior occipital cortex,L,1,2,1.0,1.0
inferior occipital cortex ba 19,U,1,1,1.0,
inferior occipital g,L,1,2,1.0,1.0
inferior occipital g ba 17,U,1,1,1.0,
inferior frontal gyrus 11,L,1,1,1.0,1.0
inferior frontal gyrus 11,R,1,1,0.0,1.0
inferior frontal gyrus 13,R,1,1,0.0,1.0
inferior frontal gyrus 44 46,R,1,1,0.0,1.0
inferior frontal gyrus 44 6,R,1,1,0.0,1.0
inferior frontal gyrus 45 47,L,1,1,1.0,1.0
inferior frontal gyrus 46,R,1,1,0.0,1.0
inferior frontal gyrus 9,U,1,1,0.0,
inferior and middle frontal gyrus 46 9 10 45,R,1,1,0.0,1.0
inferior and middle occipital cortex,U,1,1,1.0,
inferior and middle temporal gyrus,R,1,1,0.0,1.0
inferior and middle temporal gyrus,U,1,1,0.0,
inferior and superior,L,1,1,1.0,1.0
inferior and superior,R,1,1,0.0,1.0
inferior and superior parietal lobule 40 5 7,L,1,1,1.0,1.0
inferior central sulcus,R,1,1,0.0,1.0
inferior parietal ba 40,L,1,3,0.6667,0.6667
inferior,R,1,1,0.0,1.0
inferior and middle frontal gyrus,L,1,1,1.0,1.0
inferior and middle frontal gyrus,R,1,1,0.0,1.0
inferior and middle frontal gyrus,U,1,2,0.5,
inferior and middle frontal gyrus 44 6,L,1,1,1.0,1.0
inferior and middle frontal gyrus 44 6 9,L,1,1,1.0,1.0
inferior and middle frontal gyrus 45 46,R,1,1,0.0,1.0
inferior orbitofrontal gyrus,L,1,1,1.0,1.0
inferior orbitofrontal gyrus,U,1,2,0.5,
inferior orbitofrontal gyrus ba 2,U,1,1,1.0,
inferior orbitofrontal gyrus ba 47,U,1,2,0.0,
inferior orbitofrontal lobe,U,1,1,1.0,
inferior pariental gyrus,L,1,1,1.0,1.0
inferior parietal 33,U,1,1,1.0,
inferior parietal angular gyrus,U,1,3,1.0,
inferior orbital frontal,U,1,3,0.3333,
inferior orbital frontal cortex,U,1,1,1.0,
inferior orbital frontal gyrus,R,1,2,0.0,1.0
inferior orbital frontal gyrus ba 38,R,1,1,0.0,1.0
inferior orbital gyrus,L,1,1,1.0,1.0
inferior orbital gyrus,R,1,2,0.0,1.0
inferior orbito frontal gyrus,U,1,1,1.0,
inferior orbitofrontal,U,1,1,0.0,
inferior parietal lobule ba 39,U,1,1,0.0,
inferior parietal lobule ba 40 2,L,1,1,1.0,1.0
inferior parietal lobule ba 7,L,1,1,1.0,1.0
inferior parietal lobule ba 7,R,1,1,0.0,1.0
inferior parietal lobule1,L,1,1,1.0,1.0
inferior parietal lobule1,U,1,2,0.0,
inferior parietal lobulea,L,1,1,1.0,1.0
inferior parietal lobulea,R,1,1,0.0,1.0
inferior parietal lobe 40,U,1,4,1.0,
inferior parietal lobe angular gyrus,U,1,1,1.0,
inferior parietal lobule 1,U,1,1,1.0,
inferior parietal lobule 2,U,1,2,0.5,
inferior parietal lobule 7,R,1,1,0.0,1.0
inferior parietal lobule 7,U,1,2,0.0,
inferior parietal lobule and subgyral,R,1,1,0.0,1.0
inferior parietal lobule ba 39,L,1,1,1.0,1.0
inferior parietal c,L,1,2,1.0,1.0
inferior parietal cortex 40,U,1,3,1.0,
inferior parietal g,U,1,1,1.0,
inferior parietal gyrus ba 1,U,1,1,1.0,
inferior parietal gyrus ba 2,U,1,1,1.0,
inferior parietal gyrus ba 40,U,1,2,0.5,
inferior parietal gyrusa,U,1,3,0.6667,
inferior parietal lob,U,1,3,1.0,
inferior cluster,U,1,1,0.0,
inferior extrastriate cortex,U,1,1,1.0,
inferior frontal and,R,1,1,0.0,1.0
inferior frontal ba 44,R,1,1,0.0,1.0
inferior frontal cortex ba 44 45,L,1,1,1.0,1.0
inferior frontal g ba 44,U,1,1,1.0,
inferior frontal gyru,R,1,1,0.0,1.0
inferior parietal ba 40,U,1,1,1.0,
inf precuneus,L,1,1,1.0,1.0
inf pt,R,1,1,0.0,1.0
inf temp,L,1,1,1.0,1.0
inf temp,R,1,2,0.0,1.0
inf temp,U,1,1,1.0,
inf temp gy,U,1,1,0.0,
inf temp gyp,U,1,1,0.0,
inf temporal g,L,1,1,1.0,1.0
inf parietal lob,R,1,1,0.0,1.0
inf parietal lobe,U,1,1,1.0,
inf parietal lobule ba 40,L,1,6,1.0,1.0
inf parietal lobule ba 40,R,1,5,0.0,1.0
inf parietal lobuleq,U,1,1,1.0,
inf pcs,L,1,1,1.0,1.0
inf pcs,R,1,1,0.0,1.0
inf precentral g,U,1,1,0.0,
inferior precentral gyrus,R,1,1,0.0,1.0
inferior precentral sulcus,L,1,1,1.0,1.0
inferior precuneus,B,1,1,0.0,
inferior rostral gyrus,U,1,1,1.0,
inferior segment of the circular sulcus of the insula,U,1,2,1.0,
inferior superior parietal ba 7 39 40,L,1,1,1.0,1.0
inferior temoral gyrus,R,1,1,0.0,1.0
inf parietal gyrus,R,1,2,0.0,1.0
