lit_name,lit_surface_top,lit_n_surface,k_papers,n_observed,eff_n,n80,top1_p,rank,bna_L2_abbr,bna_L2_name,bna_lobe,n_papers,n_papers_raw,n_coords,p,p_raw,p_unobserved,lit_surface_forms
inferior frontal gyrus in triangular and opercular part,Inferior frontal gyrus in triangular and opercular part,1,1.0,1,22.91,19,0.1153,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Inferior frontal gyrus in triangular and opercular part
inferior frontal gyrus opercular part,Inferior Frontal Gyrus Opercular Part L,1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Inferior Frontal Gyrus Opercular Part L
inferior frontal gyrus opercularis,Inferior frontal gyrus opercularis,2,3.0,1,19.05,18,0.2335,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,3.0,3.0,3,0.2333,1.0,0.03333,Inferior frontal gyrus opercularis | Inferior Frontal Gyrus Opercularis
inferior frontal gyrus p opercularis,R inferior frontal gyrus p. opercularis,1,1.0,1,22.91,19,0.1153,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,R inferior frontal gyrus p. opercularis
inferior frontal gyrus p triangularis,R inferior frontal gyrus p. triangularis,1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,R inferior frontal gyrus p. triangularis
inferior frontal gyrus par opercularis,L Inferior Frontal Gyrus Par Opercularis,1,1.0,1,22.91,19,0.1153,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,L Inferior Frontal Gyrus Par Opercularis
inferior frontal gyrus pars opercularis,Inferior frontal gyrus pars opercularis,5,7.0,2,15.35,17,0.2896,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,5.0,5.0,7,0.2895,0.7143,0.02632,Inferior frontal gyrus pars opercularis | Inferior frontal gyrus - pars opercularis | L Inferior Frontal Gyrus Pars Opercularis | R Inferior Frontal Gyrus Pars Opercularis | Right inferior frontal gyrus pars opercularis
inferior frontal gyrus pars opercularis,Inferior frontal gyrus pars opercularis,5,7.0,2,15.35,17,0.2896,2,PrG,Precentral Gyrus,Frontal Lobe,2.0,2.0,2,0.1316,0.2857,0.02632,Inferior frontal gyrus pars opercularis | Inferior frontal gyrus - pars opercularis | L Inferior Frontal Gyrus Pars Opercularis | R Inferior Frontal Gyrus Pars Opercularis | Right inferior frontal gyrus pars opercularis
inferior frontal gyrus pars opercularis ba 44 precentral gyrus,L inferior frontal gyrus pars opercularis (BA 44)L precentral gyrus,1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,L inferior frontal gyrus pars opercularis (BA 44)L precentral gyrus
inferior frontal gyrus pars orbitalis,Inferior frontal gyrus - pars orbitalis,5,5.0,2,17.97,18,0.2059,1,OrG,Orbital Gyrus,Frontal Lobe,3.0,3.0,3,0.2059,0.6,0.02941,Inferior frontal gyrus - pars orbitalis | Inferior frontal gyrus pars orbitalis | L Inferior Frontal Gyrus Pars Orbitalis | R Inferior Frontal Gyrus Pars Orbitalis | Right inferior frontal gyrus pars orbitalis
inferior frontal gyrus pars orbitalis,Inferior frontal gyrus - pars orbitalis,5,5.0,2,17.97,18,0.2059,2,IFG,Inferior Frontal Gyrus,Frontal Lobe,2.0,2.0,4,0.1471,0.4,0.02941,Inferior frontal gyrus - pars orbitalis | Inferior frontal gyrus pars orbitalis | L Inferior Frontal Gyrus Pars Orbitalis | R Inferior Frontal Gyrus Pars Orbitalis | Right inferior frontal gyrus pars orbitalis
inferior frontal gyrus pars orbitalis ba 47,Left Inferior Frontal Gyrus pars orbitalis BA47,1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Left Inferior Frontal Gyrus pars orbitalis BA47
inferior frontal gyrus pars triangularis,Inferior frontal gyrus pars triangularis,7,10.0,3,13.5,16,0.3411,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,7.0,7.0,10,0.3409,0.7,0.02273,Inferior frontal gyrus pars triangularis | Inferior frontal gyrus Pars Triangularis L | Inferior frontal gyrus pars triangularis (25%) | L Inferior Frontal Gyrus Pars Triangularis | L Inferior frontal gyrus pars triangularis | R Inferior Frontal Gyrus Pars Triangularis | Right inferior frontal gyrus pars triangularis
inferior frontal gyrus pars triangularis,Inferior frontal gyrus pars triangularis,7,10.0,3,13.5,16,0.3411,2,MFG,Middle Frontal Gyrus,Frontal Lobe,2.0,2.0,4,0.1136,0.2,0.02273,Inferior frontal gyrus pars triangularis | Inferior frontal gyrus Pars Triangularis L | Inferior frontal gyrus pars triangularis (25%) | L Inferior Frontal Gyrus Pars Triangularis | L Inferior frontal gyrus pars triangularis | R Inferior Frontal Gyrus Pars Triangularis | Right inferior frontal gyrus pars triangularis
inferior frontal gyrus pars triangularis,Inferior frontal gyrus pars triangularis,7,10.0,3,13.5,16,0.3411,3,PrG,Precentral Gyrus,Frontal Lobe,1.0,1.0,1,0.0682,0.1,0.02273,Inferior frontal gyrus pars triangularis | Inferior frontal gyrus Pars Triangularis L | Inferior frontal gyrus pars triangularis (25%) | L Inferior Frontal Gyrus Pars Triangularis | L Inferior frontal gyrus pars triangularis | R Inferior Frontal Gyrus Pars Triangularis | Right inferior frontal gyrus pars triangularis
inferior frontal gyrus pars triangularis and anterior insula,Inferior frontal gyrus pars triangularis and anterior insula,1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Inferior frontal gyrus pars triangularis and anterior insula
inferior frontal gyrus pars triangularis ba 45,L inferior frontal gyrus pars triangularis (BA 45),1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,L inferior frontal gyrus pars triangularis (BA 45)
inferior frontal gyrus pars triangularis ba 45 10,Inferior frontal gyrus (pars triangularis BA 45 10%,1,1.0,1,22.91,19,0.1153,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Inferior frontal gyrus (pars triangularis BA 45 10%
inferior frontal gyrus precentral,R Inferior frontal gyrus (pars opercularis) Precentral,1,1.0,1,22.91,19,0.1153,1,PrG,Precentral Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,R Inferior frontal gyrus (pars opercularis) Precentral
inferior frontal gyrus ptr,Inferior frontal gyrus PTr,1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Inferior frontal gyrus PTr
inferior frontal gyrus triangular,Right inferior frontal gyrus triangular,1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Right inferior frontal gyrus triangular
inferior frontal gyrus triangular part,L Inferior frontal gyrus triangular part,2,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,2,0.1154,1.0,0.03846,L Inferior frontal gyrus triangular part | R Inferior frontal gyrus triangular part
inferior frontal gyrus triangularis,Inferior Frontal Gyrus Triangularis,2,2.0,2,22.13,19,0.1071,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1071,0.5,0.03571,Inferior Frontal Gyrus Triangularis | Inferior frontal gyrus triangularis
inferior frontal gyrus triangularis,Inferior Frontal Gyrus Triangularis,2,2.0,2,22.13,19,0.1071,2,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1071,0.5,0.03571,Inferior Frontal Gyrus Triangularis | Inferior frontal gyrus triangularis
inferior frontal gyrus triangulas,Inferior frontal gyrus triangulas,1,1.0,1,22.91,19,0.1153,1,INS,Insular Gyrus,Insular Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Inferior frontal gyrus triangulas
inferior frontal gyrus3,Inferior frontal gyrus3,1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Inferior frontal gyrus3
inferior frontal gyrusa,Inferior frontal gyrusa,1,2.0,2,22.13,19,0.1071,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1071,0.5,0.03571,Inferior frontal gyrusa
inferior frontal gyrusa,Inferior frontal gyrusa,1,2.0,2,22.13,19,0.1071,2,OrG,Orbital Gyrus,Frontal Lobe,1.0,1.0,1,0.1071,0.5,0.03571,Inferior frontal gyrusa
inferior frontal gyrusb,Inferior frontal gyrusb,1,2.0,2,22.13,19,0.1071,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1071,0.5,0.03571,Inferior frontal gyrusb
inferior frontal gyrusb,Inferior frontal gyrusb,1,2.0,2,22.13,19,0.1071,2,OrG,Orbital Gyrus,Frontal Lobe,1.0,1.0,1,0.1071,0.5,0.03571,Inferior frontal gyrusb
inferior frontal gyrusc,Inferior frontal gyrusc,1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Inferior frontal gyrusc
inferior frontal gyrusd,Inferior frontal gyrusd,1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Inferior frontal gyrusd
inferior frontal gyrusg,Inferior frontal gyrusg,1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Inferior frontal gyrusg
inferior frontal gyurs,Inferior Frontal Gyurs,1,1.0,1,22.91,19,0.1153,1,INS,Insular Gyrus,Insular Lobe,1.0,1.0,2,0.1154,1.0,0.03846,Inferior Frontal Gyurs
inferior frontal gyus,L. Inferior frontal gyus,1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,L. Inferior frontal gyus
inferior frontal junction,Inferior frontal junction (IFJ),8,8.0,3,15.58,16,0.275,1,PrG,Precentral Gyrus,Frontal Lobe,5.0,5.0,7,0.275,0.625,0.025,Inferior frontal junction (IFJ) | L inferior frontal junction | Left inferior frontal junction | Left inferior frontal junction (L.IFJ) | Right inferior frontal junction | inferior frontal junction | inferior frontal junction (IFJ) | left inferior frontal junction
inferior frontal junction,Inferior frontal junction (IFJ),8,8.0,3,15.58,16,0.275,2,MFG,Middle Frontal Gyrus,Frontal Lobe,2.0,2.0,3,0.125,0.25,0.025,Inferior frontal junction (IFJ) | L inferior frontal junction | Left inferior frontal junction | Left inferior frontal junction (L.IFJ) | Right inferior frontal junction | inferior frontal junction | inferior frontal junction (IFJ) | left inferior frontal junction
inferior frontal junction,Inferior frontal junction (IFJ),8,8.0,3,15.58,16,0.275,3,pSTS,posterior Superior Temporal Sulcus,Temporal Lobe,1.0,1.0,1,0.075,0.125,0.025,Inferior frontal junction (IFJ) | L inferior frontal junction | Left inferior frontal junction | Left inferior frontal junction (L.IFJ) | Right inferior frontal junction | inferior frontal junction | inferior frontal junction (IFJ) | left inferior frontal junction
inferior frontal junction area ba 6 8 44,Left inferior frontal junction area (BA6/8/44),2,2.0,2,22.13,19,0.1071,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,1.0,3,0.1071,0.5,0.03571,Left inferior frontal junction area (BA6/8/44) | Right inferior frontal junction area (BA6/8/44)
inferior frontal junction area ba 6 8 44,Left inferior frontal junction area (BA6/8/44),2,2.0,2,22.13,19,0.1071,2,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,2,0.1071,0.5,0.03571,Left inferior frontal junction area (BA6/8/44) | Right inferior frontal junction area (BA6/8/44)
inferior frontal lobe,Inferior frontal lobe,3,3.0,3,21.57,18,0.1001,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,2,0.1,0.3333,0.03333,Inferior frontal lobe | L inferior frontal lobe | inferior frontal lobe
inferior frontal lobe,Inferior frontal lobe,3,3.0,3,21.57,18,0.1001,2,INS,Insular Gyrus,Insular Lobe,1.0,1.0,1,0.1,0.3333,0.03333,Inferior frontal lobe | L inferior frontal lobe | inferior frontal lobe
inferior frontal lobe,Inferior frontal lobe,3,3.0,3,21.57,18,0.1001,3,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1,0.3333,0.03333,Inferior frontal lobe | L inferior frontal lobe | inferior frontal lobe
inferior frontal opercularis,Inferior frontal opercularis,1,1.0,1,22.91,19,0.1153,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Inferior frontal opercularis
inferior frontal operculum,R inferior frontal operculum,4,11.0,4,15.2,15,0.1958,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,4.0,4.0,5,0.1957,0.3636,0.02174,R inferior frontal operculum | L inferior frontal operculum | Inferior Frontal Operculum | Inferior frontal operculum right
inferior frontal operculum,R inferior frontal operculum,4,11.0,4,15.2,15,0.1958,2,PrG,Precentral Gyrus,Frontal Lobe,4.0,4.0,5,0.1957,0.3636,0.02174,R inferior frontal operculum | L inferior frontal operculum | Inferior Frontal Operculum | Inferior frontal operculum right
inferior frontal operculum,R inferior frontal operculum,4,11.0,4,15.2,15,0.1958,3,INS,Insular Gyrus,Insular Lobe,2.0,2.0,4,0.1087,0.1818,0.02174,R inferior frontal operculum | L inferior frontal operculum | Inferior Frontal Operculum | Inferior frontal operculum right
inferior frontal operculum,R inferior frontal operculum,4,11.0,4,15.2,15,0.1958,4,OrG,Orbital Gyrus,Frontal Lobe,1.0,1.0,2,0.0652,0.0909,0.02174,R inferior frontal operculum | L inferior frontal operculum | Inferior Frontal Operculum | Inferior frontal operculum right
