lit_name,lit_surface_top,lit_n_surface,k_papers,n_observed,eff_n,n80,top1_p,rank,bna_L2_abbr,bna_L2_name,bna_lobe,n_papers,n_papers_raw,n_coords,p,p_raw,p_unobserved,lit_surface_forms
intraparietal sulcus,Intraparietal sulcus,44,116.0,9,5.74,3,0.3946,8,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,1.0,1.0,1,0.0117,0.0086,0.00391,Intraparietal sulcus | IPS | L IPS | R IPS | Intraparietal Sulcus | L Intraparietal sulcus | L intraparietal sulcus | Left intraparietal sulcus | intraparietal sulcus | L Intraparietal Sulcus
intraparietal sulcus,Intraparietal sulcus,44,116.0,9,5.74,3,0.3946,9,STG,Superior Temporal Gyrus,Temporal Lobe,1.0,1.0,1,0.0117,0.0086,0.00391,Intraparietal sulcus | IPS | L IPS | R IPS | Intraparietal Sulcus | L Intraparietal sulcus | L intraparietal sulcus | Left intraparietal sulcus | intraparietal sulcus | L Intraparietal Sulcus
intraparietal sulcus 1,Intraparietal sulcus†1,1,1.0,1,22.91,19,0.1153,1,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Intraparietal sulcus†1
intraparietal sulcus and transverse parietal sulcus,intraparietal sulcus (IPS) and transverse parietal sulci,2,2.0,2,22.13,19,0.1071,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,1.0,2,0.1071,0.5,0.03571,intraparietal sulcus (IPS) and transverse parietal sulci | intraparietal sulcus and transverse parietal sulci
intraparietal sulcus and transverse parietal sulcus,intraparietal sulcus (IPS) and transverse parietal sulci,2,2.0,2,22.13,19,0.1071,2,SPL,Superior Parietal Lobule,Parietal Lobe,1.0,1.0,1,0.1071,0.5,0.03571,intraparietal sulcus (IPS) and transverse parietal sulci | intraparietal sulcus and transverse parietal sulci
intraparietal sulcus ba 39,Intraparietal sulcus (BA 39),1,1.0,1,22.91,19,0.1153,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Intraparietal sulcus (BA 39)
intraparietal sulcus ba 40,Left intraparietal sulcus (BA 40),2,3.0,2,20.55,18,0.1668,1,SPL,Superior Parietal Lobule,Parietal Lobe,2.0,2.0,2,0.1667,0.6667,0.03333,Left intraparietal sulcus (BA 40) | Right intraparietal sulcus (BA 40)
intraparietal sulcus ba 40,Left intraparietal sulcus (BA 40),2,3.0,2,20.55,18,0.1668,2,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,1.0,1,0.1,0.3333,0.03333,Left intraparietal sulcus (BA 40) | Right intraparietal sulcus (BA 40)
intraparietal sulcus ba 7,Intraparietal sulcus (BA 7),4,4.0,3,20.24,18,0.1564,1,SPL,Superior Parietal Lobule,Parietal Lobe,2.0,2.0,6,0.1562,0.5,0.03125,Intraparietal sulcus (BA 7) | Left intraparietal sulcus (BA 7) | RH intraparietal sulcus (BA 7) | Right intraparietal sulcus (BA 7)
intraparietal sulcus ba 7,Intraparietal sulcus (BA 7),4,4.0,3,20.24,18,0.1564,2,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.0938,0.25,0.03125,Intraparietal sulcus (BA 7) | Left intraparietal sulcus (BA 7) | RH intraparietal sulcus (BA 7) | Right intraparietal sulcus (BA 7)
intraparietal sulcus ba 7,Intraparietal sulcus (BA 7),4,4.0,3,20.24,18,0.1564,3,Pcun,Precuneus,Parietal Lobe,1.0,1.0,1,0.0938,0.25,0.03125,Intraparietal sulcus (BA 7) | Left intraparietal sulcus (BA 7) | RH intraparietal sulcus (BA 7) | Right intraparietal sulcus (BA 7)
intraparietal sulcusa,L intraparietal sulcusa,2,1.0,1,22.91,19,0.1153,1,SPL,Superior Parietal Lobule,Parietal Lobe,1.0,1.0,3,0.1154,1.0,0.03846,L intraparietal sulcusa | R intraparietal sulcusa
intraparietal transverseoccipital,-IntraParietal-TransverseOccipital (IPTO),1,1.0,1,22.91,19,0.1153,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,-IntraParietal-TransverseOccipital (IPTO)
intraprietal sulcus,L Intraprietal Sulcus,2,2.0,2,22.13,19,0.1071,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,1.0,1,0.1071,0.5,0.03571,L Intraprietal Sulcus | R Intraprietal Sulcus
intraprietal sulcus,L Intraprietal Sulcus,2,2.0,2,22.13,19,0.1071,2,SPL,Superior Parietal Lobule,Parietal Lobe,1.0,1.0,1,0.1071,0.5,0.03571,L Intraprietal Sulcus | R Intraprietal Sulcus
ioc,IOC,1,1.0,1,22.91,19,0.1153,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,1.0,4,0.1154,1.0,0.03846,IOC
ipc 1,Left IPC (PGP)1,1,1.0,1,22.91,19,0.1153,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Left IPC (PGP)1
ipcdamh,IPCdamh,1,1.0,1,22.91,19,0.1153,1,PoG,Postcentral Gyrus,Parietal Lobe,1.0,1.0,2,0.1154,1.0,0.03846,IPCdamh
ipcs,IPCS,1,1.0,1,22.91,19,0.1153,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,IPCS
ipcundamh,IPCundamh,1,1.0,1,22.91,19,0.1153,1,SPL,Superior Parietal Lobule,Parietal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,IPCundamh
ipl 40,IPL (40),2,4.0,3,20.24,18,0.1564,1,IPL,Inferior Parietal Lobule,Parietal Lobe,2.0,2.0,3,0.1562,0.5,0.03125,IPL (40) | lt IPL (40)
ipl 40,IPL (40),2,4.0,3,20.24,18,0.1564,2,STG,Superior Temporal Gyrus,Temporal Lobe,1.0,1.0,1,0.0938,0.25,0.03125,IPL (40) | lt IPL (40)
ipl 40,IPL (40),2,4.0,3,20.24,18,0.1564,3,pSTS,posterior Superior Temporal Sulcus,Temporal Lobe,1.0,1.0,1,0.0938,0.25,0.03125,IPL (40) | lt IPL (40)
ipl and,Left IPL and extend to MOG,1,1.0,1,22.91,19,0.1153,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Left IPL and extend to MOG
ipl ba 39,R IPL (BA 39),1,1.0,1,22.91,19,0.1153,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,R IPL (BA 39)
ipl ba 40,R. IPL (BA 40),1,1.0,1,22.91,19,0.1153,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,R. IPL (BA 40)
ips anterior,IPS anterior,1,2.0,2,22.13,19,0.1071,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,1.0,4,0.1071,0.5,0.03571,IPS anterior
ips anterior,IPS anterior,1,2.0,2,22.13,19,0.1071,2,SPL,Superior Parietal Lobule,Parietal Lobe,1.0,1.0,2,0.1071,0.5,0.03571,IPS anterior
ips ba 7,LH IPS (BA 7),2,1.0,1,22.91,19,0.1153,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,1.0,2,0.1154,1.0,0.03846,LH IPS (BA 7) | RH IPS (BA 7)
ips cluster 1,IPS(L)-cluster 1,1,1.0,1,22.91,19,0.1153,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,1.0,2,0.1154,1.0,0.03846,IPS(L)-cluster 1
ips cluster 2,IPS(L)-cluster 2,1,2.0,2,22.13,19,0.1071,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,1.0,1,0.1071,0.5,0.03571,IPS(L)-cluster 2
ips cluster 2,IPS(L)-cluster 2,1,2.0,2,22.13,19,0.1071,2,SPL,Superior Parietal Lobule,Parietal Lobe,1.0,1.0,1,0.1071,0.5,0.03571,IPS(L)-cluster 2
ips d,Left IPS d,1,1.0,1,22.91,19,0.1153,1,SPL,Superior Parietal Lobule,Parietal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Left IPS d
ips posterior,IPS posterior,1,3.0,3,21.57,18,0.1001,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,1.0,2,0.1,0.3333,0.03333,IPS posterior
ips posterior,IPS posterior,1,3.0,3,21.57,18,0.1001,2,SPL,Superior Parietal Lobule,Parietal Lobe,1.0,1.0,2,0.1,0.3333,0.03333,IPS posterior
ips posterior,IPS posterior,1,3.0,3,21.57,18,0.1001,3,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,1.0,1,0.1,0.3333,0.03333,IPS posterior
ips v,Left IPS v,1,1.0,1,22.91,19,0.1153,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Left IPS v
ipsa,Left IPSa,2,1.0,1,22.91,19,0.1153,1,SPL,Superior Parietal Lobule,Parietal Lobe,1.0,1.0,2,0.1154,1.0,0.03846,Left IPSa | Right IPSa
ipsilesional,Ipsilesional,1,4.0,4,21.18,18,0.0939,1,Tha,Thalamus,Subcortical Nuclei,1.0,1.0,5,0.0938,0.25,0.03125,Ipsilesional
ipsilesional,Ipsilesional,1,4.0,4,21.18,18,0.0939,2,BG,Basal Ganglia,Subcortical Nuclei,1.0,1.0,1,0.0938,0.25,0.03125,Ipsilesional
ipsilesional,Ipsilesional,1,4.0,4,21.18,18,0.0939,3,CG,Cingulate Gyrus,Limbic Lobe,1.0,1.0,1,0.0938,0.25,0.03125,Ipsilesional
ipsilesional,Ipsilesional,1,4.0,4,21.18,18,0.0939,4,STG,Superior Temporal Gyrus,Temporal Lobe,1.0,1.0,1,0.0938,0.25,0.03125,Ipsilesional
ipsilesional psmc,Ipsilesional PSMC,1,1.0,1,22.91,19,0.1153,1,PrG,Precentral Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Ipsilesional PSMC
ipto,-IPTO,1,1.0,1,22.91,19,0.1153,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,1.0,2,0.1154,1.0,0.03846,-IPTO
irlpfc,iRLPFC left,1,3.0,3,21.57,18,0.1001,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,1.0,3,0.1,0.3333,0.03333,iRLPFC left
irlpfc,iRLPFC left,1,3.0,3,21.57,18,0.1001,2,OrG,Orbital Gyrus,Frontal Lobe,1.0,1.0,2,0.1,0.3333,0.03333,iRLPFC left
irlpfc,iRLPFC left,1,3.0,3,21.57,18,0.1001,3,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1,0.3333,0.03333,iRLPFC left
isthmus cingulate,Isthmus cingulate,1,2.0,2,22.13,19,0.1071,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,1.0,1,0.1071,0.5,0.03571,Isthmus cingulate
isthmus cingulate,Isthmus cingulate,1,2.0,2,22.13,19,0.1071,2,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,1.0,1.0,1,0.1071,0.5,0.03571,Isthmus cingulate
isthmus cingulate cortex,Isthmus Cingulate Cortex,1,1.0,1,22.91,19,0.1153,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,1.0,2,0.1154,1.0,0.03846,Isthmus Cingulate Cortex
itg 20,ITG (20),2,5.0,4,20.06,18,0.1471,1,ITG,Inferior Temporal Gyrus,Temporal Lobe,2.0,2.0,7,0.1471,0.4,0.02941,ITG (20) | iTG (20)
itg 20,ITG (20),2,5.0,4,20.06,18,0.1471,2,FuG,Fusiform Gyrus,Temporal Lobe,1.0,1.0,1,0.0882,0.2,0.02941,ITG (20) | iTG (20)
itg 20,ITG (20),2,5.0,4,20.06,18,0.1471,3,MTG,Middle Temporal Gyrus,Temporal Lobe,1.0,1.0,1,0.0882,0.2,0.02941,ITG (20) | iTG (20)
itg 20,ITG (20),2,5.0,4,20.06,18,0.1471,4,STG,Superior Temporal Gyrus,Temporal Lobe,1.0,1.0,1,0.0882,0.2,0.02941,ITG (20) | iTG (20)
itg 37,ITG (37),1,1.0,1,22.91,19,0.1153,1,ITG,Inferior Temporal Gyrus,Temporal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,ITG (37)
its,ITS,2,2.0,2,22.13,19,0.1071,1,ITG,Inferior Temporal Gyrus,Temporal Lobe,1.0,1.0,1,0.1071,0.5,0.03571,ITS | L ITS
its,ITS,2,2.0,2,22.13,19,0.1071,2,MTG,Middle Temporal Gyrus,Temporal Lobe,1.0,1.0,1,0.1071,0.5,0.03571,ITS | L ITS
juxtapositional lobule c,Juxtapositional lobule c.,1,1.0,1,22.91,19,0.1153,1,Tha,Thalamus,Subcortical Nuclei,1.0,1.0,1,0.1154,1.0,0.03846,Juxtapositional lobule c.
juxtapositional lobule cortex,Juxtapositional Lobule Cortex,2,2.0,1,21.0,19,0.1787,1,SFG,Superior Frontal Gyrus,Frontal Lobe,2.0,2.0,3,0.1786,1.0,0.03571,Juxtapositional Lobule Cortex | Juxtapositional lobule cortex
lag,lAG,2,2.0,1,21.0,19,0.1787,1,IPL,Inferior Parietal Lobule,Parietal Lobe,2.0,2.0,2,0.1786,1.0,0.03571,lAG | lAg
laic,LaIC,1,1.0,1,22.91,19,0.1153,1,PrG,Precentral Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,LaIC
lamy,lAMY,1,1.0,1,22.91,19,0.1153,1,Hipp,Hippocampus,Subcortical Nuclei,1.0,1.0,1,0.1154,1.0,0.03846,lAMY
lat dpmc,lat dPMC,1,1.0,1,22.91,19,0.1153,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,lat dPMC
lat glob pallidus,Left lat glob pallidus (lentiform nucleus),2,1.0,1,22.91,19,0.1153,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,1.0,2,0.1154,1.0,0.03846,Left lat glob pallidus (lentiform nucleus) | Right lat glob pallidus (lentiform nucleus)
lat inf occipital,Lat inf occipital,1,1.0,1,22.91,19,0.1153,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Lat inf occipital
lateral 2nd hg,Lateral 2nd HG,1,1.0,1,22.91,19,0.1153,1,STG,Superior Temporal Gyrus,Temporal Lobe,1.0,1.0,2,0.1154,1.0,0.03846,Lateral 2nd HG
lateral anterior prefrontal cortex,Left lateral anterior prefrontal cortex,2,1.0,1,22.91,19,0.1153,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,1.0,2,0.1154,1.0,0.03846,Left lateral anterior prefrontal cortex | Right lateral anterior prefrontal cortex
lateral bank of ips ips,Right lateral bank of IPS—IPS,1,1.0,1,22.91,19,0.1153,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Right lateral bank of IPS—IPS
lateral calcarine cortex,Left lateral calcarine cortices,1,1.0,1,22.91,19,0.1153,1,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Left lateral calcarine cortices
lateral cerebellum,Left lateral cerebellum,2,1.0,1,22.91,19,0.1153,1,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,1.0,1.0,2,0.1154,1.0,0.03846,Left lateral cerebellum | Right lateral cerebellum
lateral cuneus,Lateral cuneus,1,1.0,1,22.91,19,0.1153,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Lateral cuneus
lateral dlpfc,Lateral DLPFC,1,1.0,1,22.91,19,0.1153,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Lateral DLPFC
lateral extrastriate cortex,Lateral extrastriate cortex,1,1.0,1,22.91,19,0.1153,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Lateral extrastriate cortex
lateral fef,Lateral FEF,2,2.0,1,21.0,19,0.1787,1,PrG,Precentral Gyrus,Frontal Lobe,2.0,2.0,2,0.1786,1.0,0.03571,Lateral FEF | Left ‘lateral FEF’
lateral fog,Lateral FOG,1,1.0,1,22.91,19,0.1153,1,OrG,Orbital Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Lateral FOG
lateral frontal cortex,Lateral frontal cortex,2,3.0,2,20.55,18,0.1668,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,2.0,2.0,2,0.1667,0.6667,0.03333,Lateral frontal cortex | L lateral frontal cortex
lateral frontal cortex,Lateral frontal cortex,2,3.0,2,20.55,18,0.1668,2,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1,0.3333,0.03333,Lateral frontal cortex | L lateral frontal cortex
lateral frontal gyrus,Lateral frontal gyrus,1,1.0,1,22.91,19,0.1153,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Lateral frontal gyrus
lateral frontal pole,Lateral frontal pole,1,1.0,1,22.91,19,0.1153,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Lateral frontal pole
lateral geniculum body,Lateral Geniculum Body,1,1.0,1,22.91,19,0.1153,1,Tha,Thalamus,Subcortical Nuclei,1.0,1.0,1,0.1154,1.0,0.03846,Lateral Geniculum Body
lateral globus pallidus,Lateral globus pallidus,4,6.0,1,14.26,17,0.3609,1,BG,Basal Ganglia,Subcortical Nuclei,6.0,6.0,9,0.3611,1.0,0.02778,Lateral globus pallidus | L Lateral Globus Pallidus | R Lateral Globus Pallidus | Right Lateral Globus Pallidus
lateral gp,Lateral GP,1,1.0,1,22.91,19,0.1153,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,1.0,1,0.1154,1.0,0.03846,Lateral GP
lateral inferior parietal cortex ba 40,Left lateral inferior parietal cortex (BA 40),2,2.0,2,22.13,19,0.1071,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,1.0,4,0.1071,0.5,0.03571,Left lateral inferior parietal cortex (BA 40) | Right lateral inferior parietal cortex (BA 40)
lateral inferior parietal cortex ba 40,Left lateral inferior parietal cortex (BA 40),2,2.0,2,22.13,19,0.1071,2,PoG,Postcentral Gyrus,Parietal Lobe,1.0,1.0,1,0.1071,0.5,0.03571,Left lateral inferior parietal cortex (BA 40) | Right lateral inferior parietal cortex (BA 40)
lateral middle frontal,lateral middle frontal,1,1.0,1,22.91,19,0.1153,1,MFG,Middle Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,lateral middle frontal
lateral middle occipital gyrus,Left lateral middle occipital gyri,2,2.0,1,21.0,19,0.1787,1,LOcC,lateral Occipital Cortex,Occipital Lobe,2.0,2.0,2,0.1786,1.0,0.03571,Left lateral middle occipital gyri | R. lateral middle occipital gyrus
lateral occ cortex,Lateral Occ. Cortex,1,2.0,2,22.13,19,0.1071,1,MTG,Middle Temporal Gyrus,Temporal Lobe,1.0,1.0,3,0.1071,0.5,0.03571,Lateral Occ. Cortex
lateral occ cortex,Lateral Occ. Cortex,1,2.0,2,22.13,19,0.1071,2,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,1.0,2,0.1071,0.5,0.03571,Lateral Occ. Cortex
lateral occipital,Right lateral occipital,9,12.0,3,12.36,15,0.3544,1,LOcC,lateral Occipital Cortex,Occipital Lobe,8.0,8.0,10,0.3542,0.6667,0.02083,Right lateral occipital | Lateral occipital | L lateral occipital | Lateral Occipital | Left lateral occipital | Left lateral occipital (LO/ITG) | R Lateral Occipital | R Lateral occipital | Right lateral occipital (LO/ITG)
lateral occipital,Right lateral occipital,9,12.0,3,12.36,15,0.3544,2,IPL,Inferior Parietal Lobule,Parietal Lobe,3.0,3.0,3,0.1458,0.25,0.02083,Right lateral occipital | Lateral occipital | L lateral occipital | Lateral Occipital | Left lateral occipital | Left lateral occipital (LO/ITG) | R Lateral Occipital | R Lateral occipital | Right lateral occipital (LO/ITG)
lateral occipital,Right lateral occipital,9,12.0,3,12.36,15,0.3544,3,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.0625,0.0833,0.02083,Right lateral occipital | Lateral occipital | L lateral occipital | Lateral Occipital | Left lateral occipital | Left lateral occipital (LO/ITG) | R Lateral Occipital | R Lateral occipital | Right lateral occipital (LO/ITG)
lateral occipital and lingual gyrus,L lateral occipital and lingual gyrus,1,1.0,1,22.91,19,0.1153,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,1.0,1,0.1154,1.0,0.03846,L lateral occipital and lingual gyrus
lateral occipital complex,Lateral occipital complex,1,1.0,1,22.91,19,0.1153,1,FuG,Fusiform Gyrus,Temporal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Lateral occipital complex
lateral occipital cortex,Lateral occipital cortex,24,79.0,8,7.2,5,0.423,1,LOcC,lateral Occipital Cortex,Occipital Lobe,38.0,38.0,72,0.4231,0.481,0.00549,Lateral occipital cortex | Lateral Occipital Cortex | Left lateral occipital cortex | L lateral occipital cortex | R lateral occipital cortex | Right lateral occipital cortex | lateral occipital cortex | L Lateral occipital cortex | Lateral occipital cortex (L) | Lateral occipital cortex (superior division)
lateral occipital cortex,Lateral occipital cortex,24,79.0,8,7.2,5,0.423,2,IPL,Inferior Parietal Lobule,Parietal Lobe,19.0,19.0,36,0.2143,0.2405,0.00549,Lateral occipital cortex | Lateral Occipital Cortex | Left lateral occipital cortex | L lateral occipital cortex | R lateral occipital cortex | Right lateral occipital cortex | lateral occipital cortex | L Lateral occipital cortex | Lateral occipital cortex (L) | Lateral occipital cortex (superior division)
lateral occipital cortex,Lateral occipital cortex,24,79.0,8,7.2,5,0.423,3,SPL,Superior Parietal Lobule,Parietal Lobe,6.0,6.0,6,0.0714,0.0759,0.00549,Lateral occipital cortex | Lateral Occipital Cortex | Left lateral occipital cortex | L lateral occipital cortex | R lateral occipital cortex | Right lateral occipital cortex | lateral occipital cortex | L Lateral occipital cortex | Lateral occipital cortex (L) | Lateral occipital cortex (superior division)
lateral occipital cortex,Lateral occipital cortex,24,79.0,8,7.2,5,0.423,4,MTG,Middle Temporal Gyrus,Temporal Lobe,5.0,5.0,5,0.0604,0.0633,0.00549,Lateral occipital cortex | Lateral Occipital Cortex | Left lateral occipital cortex | L lateral occipital cortex | R lateral occipital cortex | Right lateral occipital cortex | lateral occipital cortex | L Lateral occipital cortex | Lateral occipital cortex (L) | Lateral occipital cortex (superior division)
lateral occipital cortex,Lateral occipital cortex,24,79.0,8,7.2,5,0.423,5,FuG,Fusiform Gyrus,Temporal Lobe,4.0,4.0,5,0.0495,0.0506,0.00549,Lateral occipital cortex | Lateral Occipital Cortex | Left lateral occipital cortex | L lateral occipital cortex | R lateral occipital cortex | Right lateral occipital cortex | lateral occipital cortex | L Lateral occipital cortex | Lateral occipital cortex (L) | Lateral occipital cortex (superior division)
lateral occipital cortex,Lateral occipital cortex,24,79.0,8,7.2,5,0.423,6,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,4.0,4.0,4,0.0495,0.0506,0.00549,Lateral occipital cortex | Lateral Occipital Cortex | Left lateral occipital cortex | L lateral occipital cortex | R lateral occipital cortex | Right lateral occipital cortex | lateral occipital cortex | L Lateral occipital cortex | Lateral occipital cortex (L) | Lateral occipital cortex (superior division)
lateral occipital cortex,Lateral occipital cortex,24,79.0,8,7.2,5,0.423,7,ITG,Inferior Temporal Gyrus,Temporal Lobe,2.0,2.0,3,0.0275,0.0253,0.00549,Lateral occipital cortex | Lateral Occipital Cortex | Left lateral occipital cortex | L lateral occipital cortex | R lateral occipital cortex | Right lateral occipital cortex | lateral occipital cortex | L Lateral occipital cortex | Lateral occipital cortex (L) | Lateral occipital cortex (superior division)
lateral occipital cortex,Lateral occipital cortex,24,79.0,8,7.2,5,0.423,8,PhG,Parahippocampal Gyrus,Temporal Lobe,1.0,1.0,1,0.0165,0.0127,0.00549,Lateral occipital cortex | Lateral Occipital Cortex | Left lateral occipital cortex | L lateral occipital cortex | R lateral occipital cortex | Right lateral occipital cortex | lateral occipital cortex | L Lateral occipital cortex | Lateral occipital cortex (L) | Lateral occipital cortex (superior division)
lateral occipital cortex 19,Lateral occipital cortex (19),1,1.0,1,22.91,19,0.1153,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Lateral occipital cortex (19)
lateral occipital cortex ba 19,Right lateral occipital cortex (BA 19),1,1.0,1,22.91,19,0.1153,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Right lateral occipital cortex (BA 19)
lateral occipital cortex tactile visual,Left Lateral Occipital Cortex tactile-visual (LOtv),1,1.0,1,22.91,19,0.1153,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Left Lateral Occipital Cortex tactile-visual (LOtv)
lateral occipital cx,Lateral occipital cx.,1,1.0,1,22.91,19,0.1153,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Lateral occipital cx.
lateral occipital g,Lateral occipital g.,1,1.0,1,22.91,19,0.1153,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Lateral occipital g.
lateral occipital gyrus,Lateral occipital gyrus,2,5.0,3,19.22,18,0.1471,1,LOcC,lateral Occipital Cortex,Occipital Lobe,2.0,2.0,5,0.1471,0.4,0.02941,Lateral occipital gyrus | lateral occipital gyrus
lateral occipital gyrus,Lateral occipital gyrus,2,5.0,3,19.22,18,0.1471,2,IPL,Inferior Parietal Lobule,Parietal Lobe,2.0,2.0,3,0.1471,0.4,0.02941,Lateral occipital gyrus | lateral occipital gyrus
lateral occipital gyrus,Lateral occipital gyrus,2,5.0,3,19.22,18,0.1471,3,FuG,Fusiform Gyrus,Temporal Lobe,1.0,1.0,1,0.0882,0.2,0.02941,Lateral occipital gyrus | lateral occipital gyrus
lateral occipital lobe,Lateral occipital lobe,1,1.0,1,22.91,19,0.1153,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Lateral occipital lobe
lateral occipital sulcus,L. Lateral occipital sulcus,2,1.0,1,22.91,19,0.1153,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,1.0,2,0.1154,1.0,0.03846,L. Lateral occipital sulcus | R. Lateral Occipital Sulcus
lateral occipital visual area,Lateral occipital visual areas,1,1.0,1,22.91,19,0.1153,1,LOcC,lateral Occipital Cortex,Occipital Lobe,1.0,1.0,1,0.1154,1.0,0.03846,Lateral occipital visual areas
lateral occipitalcortex,Lateral OccipitalCortex L,4,4.0,2,18.85,18,0.219,1,LOcC,lateral Occipital Cortex,Occipital Lobe,3.0,3.0,3,0.2188,0.75,0.03125,Lateral OccipitalCortex L | Lateral OccipitalCortex R | Lateral occipitalcortex (LO) | Lateral occipitalcortex (LOC)
lateral occipitalcortex,Lateral OccipitalCortex L,4,4.0,2,18.85,18,0.219,2,FuG,Fusiform Gyrus,Temporal Lobe,1.0,1.0,1,0.0938,0.25,0.03125,Lateral OccipitalCortex L | Lateral OccipitalCortex R | Lateral occipitalcortex (LO) | Lateral occipitalcortex (LOC)
lateral occipito temporal sulcus,Lateral occipito-temporal sulcus,2,2.0,2,22.13,19,0.1071,1,FuG,Fusiform Gyrus,Temporal Lobe,1.0,1.0,1,0.1071,0.5,0.03571,Lateral occipito-temporal sulcus | Lateral-occipito-temporal sulcus
