lit_name,lit_surface_top,lit_n_surface,bna_L2_abbr,bna_L2_name,k_papers,n_observed,n_support,eff_n,n80,top1_p,rank,bna_L3_code,bna_area_abbr,bna_area_name,bna_label_id_L,bna_label_id_R,n_papers,n_papers_raw,n_coords,p,p_raw,p_unobserved
dpmc,dPMC,1,SFG,Superior Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,SFG_L(R)_7_4,A6dl,dorsolateral area 6,7,8,1.0,1.0,1,0.3333,1.0,0.11111
dpmc 6,dPMC (6),1,INS,Insular Gyrus,1.0,1,6,5.3,5,0.375,1,INS_L(R)_6_1,G,hypergranular insula,163,164,1.0,1.0,1,0.375,1.0,0.125
e hippocampus,E L Hippocampus,1,Hipp,Hippocampus,1.0,1,2,1.75,2,0.75,1,Hipp_L(R)_2_2,cHipp,caudal hippocampus,217,218,1.0,1.0,1,0.75,1.0,0.25
early visual area,Early Visual Areas,1,MVOcC,MedioVentral Occipital Cortex,1.0,1,5,4.37,4,0.4285,1,MVOcC_L(R)_5_3,cCunG,caudal cuneus gyrus,193,194,1.0,1.0,1,0.4286,1.0,0.14286
eba,EBA,1,ITG,Inferior Temporal Gyrus,1.0,1,7,6.24,6,0.3333,1,ITG_L(R)_7_5,A37vl,ventrolateral area 37,97,98,1.0,1.0,1,0.3333,1.0,0.11111
eba,EBA,1,LOcC,lateral Occipital Cortex,1.0,1,6,5.3,5,0.375,1,LOcC_L(R)_4_2,V5/MT+,area V5/MT+,201,202,1.0,1.0,1,0.375,1.0,0.125
eba,EBA,1,MTG,Middle Temporal Gyrus,1.0,1,4,3.46,3,0.5,1,MTG_L(R)_4_3,A37dl,dorsolateral area 37,85,86,1.0,1.0,1,0.5,1.0,0.16667
enthorinal cortex,Enthorinal Cortex,1,PhG,Parahippocampal Gyrus,1.0,1,6,5.3,5,0.375,1,PhG_L(R)_6_2,A35/36c,caudal area 35/36,111,112,1.0,1.0,1,0.375,1.0,0.125
entorhinal,Right Entorhinal,1,PhG,Parahippocampal Gyrus,1.0,1,6,5.3,5,0.375,1,PhG_L(R)_6_4,A28/34,area 28/34 (EC),115,116,1.0,1.0,1,0.375,1.0,0.125
entorhinal cortex,Entorhinal cortex ???,2,FuG,Fusiform Gyrus,1.0,1,3,2.59,2,0.6,1,FuG_L(R)_3_1,A20rv,rostroventral area 20,103,104,1.0,1.0,2,0.6,1.0,0.2
entorhinal cortex,Entorhinal cortex ???,2,PhG,Parahippocampal Gyrus,1.0,1,6,5.3,5,0.375,1,PhG_L(R)_6_5,TI,area TI (temporal agranular insular cortex),117,118,1.0,1.0,1,0.375,1.0,0.125
entorhinal cortex,Entorhinal cortex ???,2,STG,Superior Temporal Gyrus,1.0,1,6,5.3,5,0.375,1,STG_L(R)_6_1,A38m,medial area 38,69,70,1.0,1.0,1,0.375,1.0,0.125
entorhinal cortex 30,Entorhinal cortex [30],1,STG,Superior Temporal Gyrus,1.0,1,6,5.3,5,0.375,1,STG_L(R)_6_1,A38m,medial area 38,69,70,1.0,1.0,1,0.375,1.0,0.125
esc,ESC,1,LOcC,lateral Occipital Cortex,1.0,1,6,5.3,5,0.375,1,LOcC_L(R)_4_1,mOccG,middle occipital gyrus,199,200,1.0,1.0,1,0.375,1.0,0.125
esc,ESC,1,MVOcC,MedioVentral Occipital Cortex,1.0,1,5,4.37,4,0.4285,1,MVOcC_L(R)_5_1,cLinG,caudal lingual gyrus,189,190,1.0,1.0,1,0.4286,1.0,0.14286
evc,EVC,1,LOcC,lateral Occipital Cortex,1.0,1,6,5.3,5,0.375,1,LOcC_L(R)_4_3,OPC,occipital polar cortex,203,204,1.0,1.0,2,0.375,1.0,0.125
executive network,Executive network (central executive),1,IFG,Inferior Frontal Gyrus,1.0,1,6,5.3,5,0.375,1,IFG_L(R)_6_2,IFS,inferior frontal sulcus,31,32,1.0,1.0,1,0.375,1.0,0.125
ext insula,Ext. insula,1,IFG,Inferior Frontal Gyrus,1.0,1,6,5.3,5,0.375,1,IFG_L(R)_6_5,A44op,opercular area 44,37,38,1.0,1.0,1,0.375,1.0,0.125
external capsule,External capsule right,2,INS,Insular Gyrus,1.0,1,6,5.3,5,0.375,1,INS_L(R)_6_4,vId/vIg,ventral dysgranular and granular insula,169,170,1.0,1.0,1,0.375,1.0,0.125
external capsule,External capsule right,2,Tha,Thalamus,1.0,1,8,7.19,7,0.3,1,Tha_L(R)_8_3,Stha,sensory thalamus,235,236,1.0,1.0,1,0.3,1.0,0.1
extra nuclear,Extra nuclear,6,BG,Basal Ganglia,3.0,2,6,4.66,4,0.4167,1,BG_L(R)_6_5,dCa,dorsal caudate,227,228,2.0,2.0,2,0.4167,0.6667,0.08333
extra nuclear,Extra nuclear,6,BG,Basal Ganglia,3.0,2,6,4.66,4,0.4167,2,BG_L(R)_6_1,vCa,ventral caudate,219,220,1.0,1.0,1,0.25,0.3333,0.08333
extra nuclear,Extra nuclear,6,INS,Insular Gyrus,3.0,3,6,5.26,4,0.25,1,INS_L(R)_6_2,vIa,ventral agranular insula,165,166,1.0,1.0,1,0.25,0.3333,0.08333
extra nuclear,Extra nuclear,6,INS,Insular Gyrus,3.0,3,6,5.26,4,0.25,2,INS_L(R)_6_4,vId/vIg,ventral dysgranular and granular insula,169,170,1.0,1.0,1,0.25,0.3333,0.08333
extra nuclear,Extra nuclear,6,INS,Insular Gyrus,3.0,3,6,5.26,4,0.25,3,INS_L(R)_6_5,dIg,dorsal granular insula,171,172,1.0,1.0,1,0.25,0.3333,0.08333
extra nuclear,Extra nuclear,6,Tha,Thalamus,3.0,3,8,6.91,6,0.2143,1,Tha_L(R)_8_3,Stha,sensory thalamus,235,236,1.0,1.0,1,0.2143,0.3333,0.07143
