lit_name,lit_surface_top,lit_n_surface,bna_L2_abbr,bna_L2_name,k_papers,n_observed,n_support,eff_n,n80,top1_p,rank,bna_L3_code,bna_area_abbr,bna_area_name,bna_label_id_L,bna_label_id_R,n_papers,n_papers_raw,n_coords,p,p_raw,p_unobserved
a cerebellum anterior lobe,A R Cerebellum Anterior Lobe,1,FuG,Fusiform Gyrus,1.0,1,3,2.59,2,0.6,1,FuG_L(R)_3_3,A37lv,lateroventral area 37,107,108,1.0,1.0,1,0.6,1.0,0.2
a47,B A47,1,STG,Superior Temporal Gyrus,1.0,1,6,5.3,5,0.375,1,STG_L(R)_6_5,A38l,lateral area 38,77,78,1.0,1.0,1,0.375,1.0,0.125
acc 24,ACC (24),2,CG,Cingulate Gyrus,3.0,3,7,6.08,5,0.2308,1,CG_L(R)_7_2,A24rv,rostroventral area 24,177,178,1.0,1.0,1,0.2308,0.3333,0.07692
acc 24,ACC (24),2,CG,Cingulate Gyrus,3.0,3,7,6.08,5,0.2308,2,CG_L(R)_7_3,A32p,pregenual area 32,179,180,1.0,1.0,1,0.2308,0.3333,0.07692
acc 24,ACC (24),2,CG,Cingulate Gyrus,3.0,3,7,6.08,5,0.2308,3,CG_L(R)_7_5,A24cd,caudodorsal area 24,183,184,1.0,1.0,1,0.2308,0.3333,0.07692
acc 32,ACC (32),2,BG,Basal Ganglia,1.0,1,6,5.3,5,0.375,1,BG_L(R)_6_1,vCa,ventral caudate,219,220,1.0,1.0,1,0.375,1.0,0.125
acc 32,ACC (32),2,SFG,Superior Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,SFG_L(R)_7_6,A9m,medial area 9,11,12,1.0,1.0,1,0.3333,1.0,0.11111
acc and medial frontal gyrus,ACC and medial frontal gyrus,1,SFG,Superior Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,SFG_L(R)_7_7,A10m,medial area 10,13,14,1.0,1.0,1,0.3333,1.0,0.11111
acc ba 32,L. ACC BA32,3,CG,Cingulate Gyrus,1.0,1,7,6.24,6,0.3333,1,CG_L(R)_7_3,A32p,pregenual area 32,179,180,1.0,1.0,2,0.3333,1.0,0.11111
acc ba 32,L. ACC BA32,3,SFG,Superior Frontal Gyrus,2.0,1,7,5.29,5,0.4545,1,SFG_L(R)_7_6,A9m,medial area 9,11,12,2.0,2.0,2,0.4545,1.0,0.09091
acc d,ACC D,1,SFG,Superior Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,SFG_L(R)_7_1,A8m,medial area 8,1,2,1.0,1.0,1,0.3333,1.0,0.11111
acc roi,ACC ROI,1,CG,Cingulate Gyrus,1.0,1,7,6.24,6,0.3333,1,CG_L(R)_7_2,A24rv,rostroventral area 24,177,178,1.0,1.0,1,0.3333,1.0,0.11111
accb,ACCb,1,CG,Cingulate Gyrus,1.0,1,7,6.24,6,0.3333,1,CG_L(R)_7_3,A32p,pregenual area 32,179,180,1.0,1.0,1,0.3333,1.0,0.11111
acce,ACCE,1,SFG,Superior Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,SFG_L(R)_7_6,A9m,medial area 9,11,12,1.0,1.0,1,0.3333,1.0,0.11111
accg,ACCG,1,SFG,Superior Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,SFG_L(R)_7_6,A9m,medial area 9,11,12,1.0,1.0,1,0.3333,1.0,0.11111
acch,ACCH,1,CG,Cingulate Gyrus,1.0,1,7,6.24,6,0.3333,1,CG_L(R)_7_3,A32p,pregenual area 32,179,180,1.0,1.0,2,0.3333,1.0,0.11111
acch,ACCH,1,SFG,Superior Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,SFG_L(R)_7_6,A9m,medial area 9,11,12,1.0,1.0,1,0.3333,1.0,0.11111
accl,ACCL,1,CG,Cingulate Gyrus,1.0,1,7,6.24,6,0.3333,1,CG_L(R)_7_3,A32p,pregenual area 32,179,180,1.0,1.0,1,0.3333,1.0,0.11111
accm,ACCM,1,SFG,Superior Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,SFG_L(R)_7_6,A9m,medial area 9,11,12,1.0,1.0,1,0.3333,1.0,0.11111
acco,ACCO,1,SFG,Superior Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,SFG_L(R)_7_6,A9m,medial area 9,11,12,1.0,1.0,1,0.3333,1.0,0.11111
accs,ACCs,1,CG,Cingulate Gyrus,1.0,1,7,6.24,6,0.3333,1,CG_L(R)_7_5,A24cd,caudodorsal area 24,183,184,1.0,1.0,1,0.3333,1.0,0.11111
accumb ncl,accumb.ncl.,1,BG,Basal Ganglia,1.0,1,6,5.3,5,0.375,1,BG_L(R)_6_3,NAC,nucleus accumbens,223,224,1.0,1.0,1,0.375,1.0,0.125
acg,ACG,3,CG,Cingulate Gyrus,1.0,1,7,6.24,6,0.3333,1,CG_L(R)_7_5,A24cd,caudodorsal area 24,183,184,1.0,1.0,1,0.3333,1.0,0.11111
acg,ACG,3,IPL,Inferior Parietal Lobule,1.0,1,6,5.3,5,0.375,1,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),143,144,1.0,1.0,1,0.375,1.0,0.125
acg,ACG,3,OrG,Orbital Gyrus,1.0,1,6,5.3,5,0.375,1,OrG_L(R)_6_1,A14m,medial area 14,41,42,1.0,1.0,1,0.375,1.0,0.125
acg,ACG,3,SFG,Superior Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,SFG_L(R)_7_1,A8m,medial area 8,1,2,1.0,1.0,1,0.3333,1.0,0.11111
acs,ACS,1,CG,Cingulate Gyrus,1.0,1,7,6.24,6,0.3333,1,CG_L(R)_7_2,A24rv,rostroventral area 24,177,178,1.0,1.0,1,0.3333,1.0,0.11111
adacc,adACC,1,CG,Cingulate Gyrus,1.0,1,7,6.24,6,0.3333,1,CG_L(R)_7_7,A32sg,subgenual area 32,187,188,1.0,1.0,1,0.3333,1.0,0.11111
ag ba 39,AG (BA 39),2,IPL,Inferior Parietal Lobule,2.0,1,6,4.47,4,0.5,1,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),143,144,2.0,2.0,3,0.5,1.0,0.1
ahc,aHC,1,PhG,Parahippocampal Gyrus,1.0,1,6,5.3,5,0.375,1,PhG_L(R)_6_1,A35/36r,rostral area 35/36,109,110,1.0,1.0,1,0.375,1.0,0.125
aib,Right AIb,1,INS,Insular Gyrus,1.0,1,6,5.3,5,0.375,1,INS_L(R)_6_6,dId,dorsal dysgranular insula,173,174,1.0,1.0,1,0.375,1.0,0.125
aic,L AIC,4,IFG,Inferior Frontal Gyrus,2.0,2,6,5.17,4,0.3,1,IFG_L(R)_6_2,IFS,inferior frontal sulcus,31,32,1.0,1.0,1,0.3,0.5,0.1
aic,L AIC,4,IFG,Inferior Frontal Gyrus,2.0,2,6,5.17,4,0.3,2,IFG_L(R)_6_5,A44op,opercular area 44,37,38,1.0,1.0,1,0.3,0.5,0.1
aic,L AIC,4,INS,Insular Gyrus,3.0,2,6,4.66,4,0.4167,1,INS_L(R)_6_3,dIa,dorsal agranular insula,167,168,2.0,2.0,2,0.4167,0.6667,0.08333
aic,L AIC,4,INS,Insular Gyrus,3.0,2,6,4.66,4,0.4167,2,INS_L(R)_6_2,vIa,ventral agranular insula,165,166,1.0,1.0,1,0.25,0.3333,0.08333
aic,L AIC,4,OrG,Orbital Gyrus,1.0,1,6,5.3,5,0.375,1,OrG_L(R)_6_6,A12/47l,lateral area 12/47,51,52,1.0,1.0,1,0.375,1.0,0.125
aifg,aIFG,1,IFG,Inferior Frontal Gyrus,2.0,2,6,5.17,4,0.3,1,IFG_L(R)_6_2,IFS,inferior frontal sulcus,31,32,1.0,1.0,1,0.3,0.5,0.1
aifg,aIFG,1,IFG,Inferior Frontal Gyrus,2.0,2,6,5.17,4,0.3,2,IFG_L(R)_6_4,A45r,rostral area 45,35,36,1.0,1.0,1,0.3,0.5,0.1
aifs,aIFS,1,IFG,Inferior Frontal Gyrus,1.0,1,6,5.3,5,0.375,1,IFG_L(R)_6_2,IFS,inferior frontal sulcus,31,32,1.0,1.0,1,0.375,1.0,0.125
ains,aINS,5,IFG,Inferior Frontal Gyrus,3.0,1,6,3.86,4,0.5834,1,IFG_L(R)_6_5,A44op,opercular area 44,37,38,3.0,3.0,6,0.5833,1.0,0.08333
ains,aINS,5,INS,Insular Gyrus,7.0,3,6,4.22,3,0.45,1,INS_L(R)_6_3,dIa,dorsal agranular insula,167,168,4.0,4.0,4,0.45,0.5714,0.05
ains,aINS,5,INS,Insular Gyrus,7.0,3,6,4.22,3,0.45,2,INS_L(R)_6_6,dId,dorsal dysgranular insula,173,174,2.0,2.0,3,0.25,0.2857,0.05
ains,aINS,5,INS,Insular Gyrus,7.0,3,6,4.22,3,0.45,3,INS_L(R)_6_2,vIa,ventral agranular insula,165,166,1.0,1.0,1,0.15,0.1429,0.05
ains d,aINS-d,1,INS,Insular Gyrus,1.0,1,6,5.3,5,0.375,1,INS_L(R)_6_6,dId,dorsal dysgranular insula,173,174,1.0,1.0,1,0.375,1.0,0.125
ains v,aINS-v,1,BG,Basal Ganglia,1.0,1,6,5.3,5,0.375,1,BG_L(R)_6_4,vmPu,ventromedial putamen,225,226,1.0,1.0,1,0.375,1.0,0.125
aip,Left AIP,2,IPL,Inferior Parietal Lobule,1.0,1,6,5.3,5,0.375,1,IPL_L(R)_6_3,A40rd,rostrodorsal area 40(PFt),139,140,1.0,1.0,2,0.375,1.0,0.125
aip 40,AIP (40),1,pSTS,posterior Superior Temporal Sulcus,1.0,1,2,1.75,2,0.75,1,pSTS_L(R)_2_1,rpSTS,rostroposterior superior temporal sulcus,121,122,1.0,1.0,1,0.75,1.0,0.25
aipl,aIPL,2,IPL,Inferior Parietal Lobule,2.0,2,6,5.17,4,0.3,1,IPL_L(R)_6_3,A40rd,rostrodorsal area 40(PFt),139,140,1.0,1.0,1,0.3,0.5,0.1
aipl,aIPL,2,IPL,Inferior Parietal Lobule,2.0,2,6,5.17,4,0.3,2,IPL_L(R)_6_4,A40c,caudal area 40(PFm),141,142,1.0,1.0,1,0.3,0.5,0.1
aipl,aIPL,2,PoG,Postcentral Gyrus,1.0,1,4,3.46,3,0.5,1,PoG_L(R)_4_3,A2,area 2,159,160,1.0,1.0,1,0.5,1.0,0.16667
aips,aIPS,3,IPL,Inferior Parietal Lobule,4.0,2,6,4.18,4,0.5001,1,IPL_L(R)_6_3,A40rd,rostrodorsal area 40(PFt),139,140,3.0,3.0,6,0.5,0.75,0.07143
aips,aIPS,3,IPL,Inferior Parietal Lobule,4.0,2,6,4.18,4,0.5001,2,IPL_L(R)_6_4,A40c,caudal area 40(PFm),141,142,1.0,1.0,2,0.2143,0.25,0.07143
aips,aIPS,3,PoG,Postcentral Gyrus,1.0,1,4,3.46,3,0.5,1,PoG_L(R)_4_3,A2,area 2,159,160,1.0,1.0,1,0.5,1.0,0.16667
aips,aIPS,3,SPL,Superior Parietal Lobule,3.0,1,5,3.19,3,0.6364,1,SPL_L(R)_5_3,A5l,lateral area 5,129,130,3.0,3.0,3,0.6364,1.0,0.09091
ait,R.aIT,1,ITG,Inferior Temporal Gyrus,1.0,1,7,6.24,6,0.3333,1,ITG_L(R)_7_4,A20il,intermediate lateral area 20,95,96,1.0,1.0,1,0.3333,1.0,0.11111
aloc,aLOC left,1,FuG,Fusiform Gyrus,2.0,2,3,2.73,2,0.4286,1,FuG_L(R)_3_2,A37mv,medioventral area 37,105,106,1.0,1.0,1,0.4286,0.5,0.14286
aloc,aLOC left,1,FuG,Fusiform Gyrus,2.0,2,3,2.73,2,0.4286,2,FuG_L(R)_3_3,A37lv,lateroventral area 37,107,108,1.0,1.0,1,0.4286,0.5,0.14286
aloc,aLOC left,1,ITG,Inferior Temporal Gyrus,1.0,1,7,6.24,6,0.3333,1,ITG_L(R)_7_5,A37vl,ventrolateral area 37,97,98,1.0,1.0,1,0.3333,1.0,0.11111
alpfc,aLPFC,1,IFG,Inferior Frontal Gyrus,1.0,1,6,5.3,5,0.375,1,IFG_L(R)_6_2,IFS,inferior frontal sulcus,31,32,1.0,1.0,1,0.375,1.0,0.125
also included cuneus,Also included: Cuneus,1,LOcC,lateral Occipital Cortex,1.0,1,6,5.3,5,0.375,1,LOcC_L(R)_4_3,OPC,occipital polar cortex,203,204,1.0,1.0,1,0.375,1.0,0.125
also included middle occipital gyrus,Also Included: Left Middle Occipital Gyrus,1,LOcC,lateral Occipital Cortex,1.0,1,6,5.3,5,0.375,1,LOcC_L(R)_4_1,mOccG,middle occipital gyrus,199,200,1.0,1.0,1,0.375,1.0,0.125
also included middle occipital lobe,Also Included: Right Middle Occipital Lobe,1,LOcC,lateral Occipital Cortex,1.0,1,6,5.3,5,0.375,1,LOcC_L(R)_2_2,lsOccG,lateral superior occipital gyrus,209,210,1.0,1.0,1,0.375,1.0,0.125
also included ventromedial prefrontal cortex,Also included: Ventromedial Prefrontal Cortex,1,CG,Cingulate Gyrus,1.0,1,7,6.24,6,0.3333,1,CG_L(R)_7_7,A32sg,subgenual area 32,187,188,1.0,1.0,1,0.3333,1.0,0.11111
amcc,aMCC,3,CG,Cingulate Gyrus,3.0,3,7,6.08,5,0.2308,1,CG_L(R)_7_2,A24rv,rostroventral area 24,177,178,1.0,1.0,1,0.2308,0.3333,0.07692
amcc,aMCC,3,CG,Cingulate Gyrus,3.0,3,7,6.08,5,0.2308,2,CG_L(R)_7_3,A32p,pregenual area 32,179,180,1.0,1.0,1,0.2308,0.3333,0.07692
amcc,aMCC,3,CG,Cingulate Gyrus,3.0,3,7,6.08,5,0.2308,3,CG_L(R)_7_5,A24cd,caudodorsal area 24,183,184,1.0,1.0,1,0.2308,0.3333,0.07692
amcc,aMCC,3,SFG,Superior Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,SFG_L(R)_7_6,A9m,medial area 9,11,12,1.0,1.0,3,0.3333,1.0,0.11111
amfg,aMFG,3,MFG,Middle Frontal Gyrus,4.0,3,7,5.65,5,0.3333,1,MFG_L(R)_7_4,A9/46v,ventral area 9/46,21,22,2.0,2.0,2,0.3333,0.5,0.06667
amfg,aMFG,3,MFG,Middle Frontal Gyrus,4.0,3,7,5.65,5,0.3333,2,MFG_L(R)_7_2,IFJ,inferior frontal junction,17,18,1.0,1.0,1,0.2,0.25,0.06667
amfg,aMFG,3,MFG,Middle Frontal Gyrus,4.0,3,7,5.65,5,0.3333,3,MFG_L(R)_7_3,A46,area 46,19,20,1.0,1.0,1,0.2,0.25,0.06667
amg,AMG,1,Amyg,Amygdala,1.0,1,2,1.75,2,0.75,1,Amyg_L(R)_2_1,mAmyg,medial amygdala,211,212,1.0,1.0,1,0.75,1.0,0.25
ampfc,amPFC,1,CG,Cingulate Gyrus,1.0,1,7,6.24,6,0.3333,1,CG_L(R)_7_7,A32sg,subgenual area 32,187,188,1.0,1.0,1,0.3333,1.0,0.11111
ampfc,amPFC,1,OrG,Orbital Gyrus,1.0,1,6,5.3,5,0.375,1,OrG_L(R)_6_1,A14m,medial area 14,41,42,1.0,1.0,3,0.375,1.0,0.125
amydala,amydala,1,Hipp,Hippocampus,1.0,1,2,1.75,2,0.75,1,Hipp_L(R)_2_1,rHipp,rostral hippocampus,215,216,1.0,1.0,1,0.75,1.0,0.25
amyg,L AMYG,3,Amyg,Amygdala,1.0,1,2,1.75,2,0.75,1,Amyg_L(R)_2_2,lAmyg,lateral amygdala,213,214,1.0,1.0,1,0.75,1.0,0.25
amyg,L AMYG,3,Hipp,Hippocampus,1.0,1,2,1.75,2,0.75,1,Hipp_L(R)_2_1,rHipp,rostral hippocampus,215,216,1.0,1.0,1,0.75,1.0,0.25
amyg,L AMYG,3,PhG,Parahippocampal Gyrus,1.0,1,6,5.3,5,0.375,1,PhG_L(R)_6_5,TI,area TI (temporal agranular insular cortex),117,118,1.0,1.0,1,0.375,1.0,0.125
amygdala,Amygdala,46,Amyg,Amygdala,142.0,2,2,1.99,2,0.549,1,Amyg_L(R)_2_1,mAmyg,medial amygdala,211,212,78.0,78.0,112,0.549,0.5493,0.0035
amygdala,Amygdala,46,Amyg,Amygdala,142.0,2,2,1.99,2,0.549,2,Amyg_L(R)_2_2,lAmyg,lateral amygdala,213,214,64.0,64.0,74,0.451,0.4507,0.0035
amygdala,Amygdala,46,BG,Basal Ganglia,50.0,6,6,4.16,3,0.3302,1,BG_L(R)_6_6,dlPu,dorsolateral putamen,229,230,17.0,17.0,22,0.3302,0.34,0.00943
amygdala,Amygdala,46,BG,Basal Ganglia,50.0,6,6,4.16,3,0.3302,2,BG_L(R)_6_3,NAC,nucleus accumbens,223,224,15.0,15.0,17,0.2925,0.3,0.00943
amygdala,Amygdala,46,BG,Basal Ganglia,50.0,6,6,4.16,3,0.3302,3,BG_L(R)_6_2,GP,globus pallidus,221,222,14.0,14.0,18,0.2736,0.28,0.00943
amygdala,Amygdala,46,BG,Basal Ganglia,50.0,6,6,4.16,3,0.3302,4,BG_L(R)_6_4,vmPu,ventromedial putamen,225,226,2.0,2.0,2,0.0472,0.04,0.00943
amygdala,Amygdala,46,BG,Basal Ganglia,50.0,6,6,4.16,3,0.3302,5,BG_L(R)_6_1,vCa,ventral caudate,219,220,1.0,1.0,1,0.0283,0.02,0.00943
amygdala,Amygdala,46,BG,Basal Ganglia,50.0,6,6,4.16,3,0.3302,6,BG_L(R)_6_5,dCa,dorsal caudate,227,228,1.0,1.0,1,0.0283,0.02,0.00943
amygdala,Amygdala,46,CG,Cingulate Gyrus,2.0,2,7,6.04,5,0.2727,1,CG_L(R)_7_3,A32p,pregenual area 32,179,180,1.0,1.0,1,0.2727,0.5,0.09091
amygdala,Amygdala,46,CG,Cingulate Gyrus,2.0,2,7,6.04,5,0.2727,2,CG_L(R)_7_7,A32sg,subgenual area 32,187,188,1.0,1.0,1,0.2727,0.5,0.09091
amygdala,Amygdala,46,FuG,Fusiform Gyrus,2.0,1,3,2.22,2,0.7142,1,FuG_L(R)_3_1,A20rv,rostroventral area 20,103,104,2.0,2.0,2,0.7143,1.0,0.14286
amygdala,Amygdala,46,Hipp,Hippocampus,51.0,1,2,1.06,1,0.9904,1,Hipp_L(R)_2_1,rHipp,rostral hippocampus,215,216,51.0,51.0,59,0.9904,1.0,0.00962
amygdala,Amygdala,46,IFG,Inferior Frontal Gyrus,1.0,1,6,5.3,5,0.375,1,IFG_L(R)_6_4,A45r,rostral area 45,35,36,1.0,1.0,1,0.375,1.0,0.125
amygdala,Amygdala,46,INS,Insular Gyrus,2.0,1,6,4.47,4,0.5,1,INS_L(R)_6_5,dIg,dorsal granular insula,171,172,2.0,2.0,2,0.5,1.0,0.1
amygdala,Amygdala,46,MFG,Middle Frontal Gyrus,5.0,2,7,4.38,4,0.5295,1,MFG_L(R)_7_1,A9/46d,dorsal area 9/46,15,16,4.0,4.0,5,0.5294,0.8,0.05882
amygdala,Amygdala,46,MFG,Middle Frontal Gyrus,5.0,2,7,4.38,4,0.5295,2,MFG_L(R)_7_3,A46,area 46,19,20,1.0,1.0,1,0.1765,0.2,0.05882
amygdala,Amygdala,46,MVOcC,MedioVentral Occipital Cortex,2.0,2,5,4.33,4,0.3333,1,MVOcC_L(R)_5_4,rLinG,rostral lingual gyrus,195,196,1.0,1.0,1,0.3333,0.5,0.11111
amygdala,Amygdala,46,MVOcC,MedioVentral Occipital Cortex,2.0,2,5,4.33,4,0.3333,2,MVOcC_L(R)_5_5,vmPOS,ventromedial parietooccipital sulcus,197,198,1.0,1.0,1,0.3333,0.5,0.11111
amygdala,Amygdala,46,OrG,Orbital Gyrus,11.0,1,6,2.13,1,0.8215,1,OrG_L(R)_6_5,A13,area 13,49,50,11.0,11.0,12,0.8214,1.0,0.03571
amygdala,Amygdala,46,PhG,Parahippocampal Gyrus,7.0,2,6,3.2,3,0.65,1,PhG_L(R)_6_5,TI,area TI (temporal agranular insular cortex),117,118,6.0,6.0,7,0.65,0.8571,0.05
amygdala,Amygdala,46,PhG,Parahippocampal Gyrus,7.0,2,6,3.2,3,0.65,2,PhG_L(R)_6_2,A35/36c,caudal area 35/36,111,112,1.0,1.0,1,0.15,0.1429,0.05
amygdala,Amygdala,46,SFG,Superior Frontal Gyrus,2.0,2,7,6.04,5,0.2727,1,SFG_L(R)_7_3,A9l,lateral area 9,5,6,1.0,1.0,1,0.2727,0.5,0.09091
amygdala,Amygdala,46,SFG,Superior Frontal Gyrus,2.0,2,7,6.04,5,0.2727,2,SFG_L(R)_7_7,A10m,medial area 10,13,14,1.0,1.0,1,0.2727,0.5,0.09091
amygdala,Amygdala,46,STG,Superior Temporal Gyrus,2.0,1,6,4.47,4,0.5,1,STG_L(R)_6_1,A38m,medial area 38,69,70,2.0,2.0,2,0.5,1.0,0.1
amygdala,Amygdala,46,Tha,Thalamus,5.0,3,8,6.13,5,0.2777,1,Tha_L(R)_8_2,mPMtha,pre-motor thalamus,233,234,2.0,2.0,3,0.2778,0.4,0.05556
amygdala,Amygdala,46,Tha,Thalamus,5.0,3,8,6.13,5,0.2777,2,Tha_L(R)_8_1,mPFtha,medial pre-frontal thalamus,231,232,2.0,2.0,2,0.2778,0.4,0.05556
amygdala,Amygdala,46,Tha,Thalamus,5.0,3,8,6.13,5,0.2777,3,Tha_L(R)_8_6,Otha,occipital thalamus,241,242,1.0,1.0,1,0.1667,0.2,0.05556
amygdala parahippocampal gyrus,R amygdala–parahippocampal gyrus,1,BG,Basal Ganglia,1.0,1,6,5.3,5,0.375,1,BG_L(R)_6_2,GP,globus pallidus,221,222,1.0,1.0,1,0.375,1.0,0.125
amygdala parahippocampal gyrus,R amygdala–parahippocampal gyrus,1,INS,Insular Gyrus,1.0,1,6,5.3,5,0.375,1,INS_L(R)_6_6,dId,dorsal dysgranular insula,173,174,1.0,1.0,1,0.375,1.0,0.125
amygdala roi,Amygdala ROI,1,Amyg,Amygdala,1.0,1,2,1.75,2,0.75,1,Amyg_L(R)_2_1,mAmyg,medial amygdala,211,212,1.0,1.0,1,0.75,1.0,0.25
amygdalaa,Amygdalaa,3,Amyg,Amygdala,2.0,2,2,2.0,2,0.5,1,Amyg_L(R)_2_1,mAmyg,medial amygdala,211,212,1.0,1.0,1,0.5,0.5,0.16667
amygdalaa,Amygdalaa,3,Amyg,Amygdala,2.0,2,2,2.0,2,0.5,2,Amyg_L(R)_2_2,lAmyg,lateral amygdala,213,214,1.0,1.0,1,0.5,0.5,0.16667
amygdalaa,Amygdalaa,3,BG,Basal Ganglia,1.0,1,6,5.3,5,0.375,1,BG_L(R)_6_6,dlPu,dorsolateral putamen,229,230,1.0,1.0,1,0.375,1.0,0.125
amygdalaa,Amygdalaa,3,Hipp,Hippocampus,1.0,1,2,1.75,2,0.75,1,Hipp_L(R)_2_1,rHipp,rostral hippocampus,215,216,1.0,1.0,1,0.75,1.0,0.25
amygdalaa,Amygdalaa,3,Tha,Thalamus,1.0,1,8,7.19,7,0.3,1,Tha_L(R)_8_2,mPMtha,pre-motor thalamus,233,234,1.0,1.0,1,0.3,1.0,0.1
amygdalab,Amygdalab,1,Amyg,Amygdala,1.0,1,2,1.75,2,0.75,1,Amyg_L(R)_2_2,lAmyg,lateral amygdala,213,214,1.0,1.0,2,0.75,1.0,0.25
amygdale,Left amygdale,1,Amyg,Amygdala,1.0,1,2,1.75,2,0.75,1,Amyg_L(R)_2_1,mAmyg,medial amygdala,211,212,1.0,1.0,2,0.75,1.0,0.25
amygdaloid body,Amygdaloid body(L),1,Amyg,Amygdala,1.0,1,2,1.75,2,0.75,1,Amyg_L(R)_2_2,lAmyg,lateral amygdala,213,214,1.0,1.0,1,0.75,1.0,0.25
amygdaloid complex,AMY,11,Amyg,Amygdala,5.0,2,2,1.75,2,0.75,1,Amyg_L(R)_2_1,mAmyg,medial amygdala,211,212,4.0,4.0,12,0.75,0.8,0.08333
amygdaloid complex,AMY,11,Amyg,Amygdala,5.0,2,2,1.75,2,0.75,2,Amyg_L(R)_2_2,lAmyg,lateral amygdala,213,214,1.0,1.0,4,0.25,0.2,0.08333
amygdaloid complex,AMY,11,BG,Basal Ganglia,2.0,2,6,5.17,4,0.3,1,BG_L(R)_6_3,NAC,nucleus accumbens,223,224,1.0,1.0,1,0.3,0.5,0.1
amygdaloid complex,AMY,11,BG,Basal Ganglia,2.0,2,6,5.17,4,0.3,2,BG_L(R)_6_4,vmPu,ventromedial putamen,225,226,1.0,1.0,1,0.3,0.5,0.1
amygdaloid complex,AMY,11,Hipp,Hippocampus,2.0,1,2,1.57,1,0.8333,1,Hipp_L(R)_2_1,rHipp,rostral hippocampus,215,216,2.0,2.0,2,0.8333,1.0,0.16667
amygdaloid complex,AMY,11,OrG,Orbital Gyrus,1.0,1,6,5.3,5,0.375,1,OrG_L(R)_6_5,A13,area 13,49,50,1.0,1.0,1,0.375,1.0,0.125
amygdaloid complex,AMY,11,PhG,Parahippocampal Gyrus,1.0,1,6,5.3,5,0.375,1,PhG_L(R)_6_5,TI,area TI (temporal agranular insular cortex),117,118,1.0,1.0,1,0.375,1.0,0.125
and 10,9 and 10,1,SFG,Superior Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,SFG_L(R)_7_3,A9l,lateral area 9,5,6,1.0,1.0,1,0.3333,1.0,0.11111
and inferior occipital gyrus,L & R inferior occipital gyrus,1,LOcC,lateral Occipital Cortex,1.0,1,6,5.3,5,0.375,1,LOcC_L(R)_2_1,msOccG,medial superior occipital gyrus,207,208,1.0,1.0,1,0.375,1.0,0.125
and middle temporal gyrus ba 21,and right middle temporal gyrus (BA21),1,MTG,Middle Temporal Gyrus,1.0,1,4,3.46,3,0.5,1,MTG_L(R)_4_4,aSTS,anterior superior temporal sulcus,87,88,1.0,1.0,1,0.5,1.0,0.16667
and precuneus,and R precuneus,2,Pcun,Precuneus,1.0,1,4,3.46,3,0.5,1,PCun_L(R)_4_1,A7m,medial area 7(PEp),147,148,1.0,1.0,1,0.5,1.0,0.16667
and precuneus,and R precuneus,2,SPL,Superior Parietal Lobule,1.0,1,5,4.37,4,0.4285,1,SPL_L(R)_5_2,A7c,caudal area 7,127,128,1.0,1.0,1,0.4286,1.0,0.14286
and supplementary motor area,L & R supplementary motor area,1,SFG,Superior Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,SFG_L(R)_7_1,A8m,medial area 8,1,2,1.0,1.0,1,0.3333,1.0,0.11111
and supramarginal gyrus,and left supramarginal gyrus,1,IPL,Inferior Parietal Lobule,1.0,1,6,5.3,5,0.375,1,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),143,144,1.0,1.0,1,0.375,1.0,0.125
and thalamus,L & R thalamus (anterior nucleus),1,Tha,Thalamus,1.0,1,8,7.19,7,0.3,1,Tha_L(R)_8_7,cTtha,caudal temporal thalamus,243,244,1.0,1.0,1,0.3,1.0,0.1
and v1,L & R V1,1,MVOcC,MedioVentral Occipital Cortex,1.0,1,5,4.37,4,0.4285,1,MVOcC_L(R)_5_2,rCunG,rostral cuneus gyrus,191,192,1.0,1.0,1,0.4286,1.0,0.14286
and wm within stg,and WM within left STG,1,Tha,Thalamus,1.0,1,8,7.19,7,0.3,1,Tha_L(R)_8_5,PPtha,posterior parietal thalamus,239,240,1.0,1.0,1,0.3,1.0,0.1
ang gyr,Ang. Gyr,3,IPL,Inferior Parietal Lobule,3.0,2,6,4.66,4,0.4167,1,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),143,144,2.0,2.0,8,0.4167,0.6667,0.08333
ang gyr,Ang. Gyr,3,IPL,Inferior Parietal Lobule,3.0,2,6,4.66,4,0.4167,2,IPL_L(R)_6_2,A39rd,rostrodorsal area 39(Hip3),137,138,1.0,1.0,3,0.25,0.3333,0.08333
