structure_name,species,source_atlas
"Anterior commissure, intrabulbar part",Rat,WaxholmSpace_v4
"Anterior commissure, posterior limb",Rat,WaxholmSpace_v4
Anterior olfactory area,Rat,Swanson2018_BrainMaps4
Anterodorsal thalamic nucleus,Rat,WaxholmSpace_v4
Anteromedial thalamic nucleus,Rat,WaxholmSpace_v4
"Anteroventral thalamic nucleus, dorsomedial part",Rat,WaxholmSpace_v4
"Anteroventral thalamic nucleus, ventrolateral part",Rat,WaxholmSpace_v4
Ascending fibers of the facial nerve,Rat,WaxholmSpace_v4
"Basal forebrain region, unspecified",Rat,WaxholmSpace_v4
Bed nucleus of the stria terminalis,Rat,WaxholmSpace_v4
Brachium of the superior colliculus,Rat,WaxholmSpace_v4
"Brainstem, unspecified",Rat,WaxholmSpace_v4
CA1 (hippocampus),Rat,Swanson2018_BrainMaps4
Caudate putamen,Rat,Leergaard2023_WHS | WaxholmSpace_v4
Central canal,Rat,WaxholmSpace_v4
Central lateral thalamic nucleus,Rat,WaxholmSpace_v4
Central medial thalamic nucleus,Rat,WaxholmSpace_v4
"Cerebellum, unspecified",Rat,WaxholmSpace_v4
Cingulate area 1,Rat,WaxholmSpace_v4
Cingulate area 2,Rat,WaxholmSpace_v4
Claustrum,Rat,Leergaard2023_WHS | WaxholmSpace_v4
Cochlea,Rat,WaxholmSpace_v4
Cochlear nerve,Rat,WaxholmSpace_v4
Commissural stria terminalis,Rat,WaxholmSpace_v4
Commissure of the superior colliculus,Rat,WaxholmSpace_v4
Cornu ammonis 1,Rat,WaxholmSpace_v4
Cornu ammonis 2,Rat,WaxholmSpace_v4
Cornu ammonis 3,Rat,WaxholmSpace_v4
Corpus callosum and associated subcortical white matter,Rat,WaxholmSpace_v4
Corticofugal tract and corona radiata,Rat,WaxholmSpace_v4
Deeper layers of the superior colliculus,Rat,WaxholmSpace_v4
Dentate gyrus,Rat,WaxholmSpace_v4
"Dorsal cochlear nucleus, deep core",Rat,WaxholmSpace_v4
"Dorsal cochlear nucleus, fusiform and granule layer",Rat,WaxholmSpace_v4
"Dorsal cochlear nucleus, molecular layer",Rat,WaxholmSpace_v4
Dorsal lateral geniculate nucleus,Rat,WaxholmSpace_v4
Dorsolateral orbital area,Rat,WaxholmSpace_v4
Dysgranular insular cortex,Rat,WaxholmSpace_v4
Endopiriform nucleus,Rat,Leergaard2023_WHS | WaxholmSpace_v4
Entopeduncular nucleus,Rat,Leergaard2023_WHS | WaxholmSpace_v4
Entorhinal area (medial part),Rat,Swanson2018_BrainMaps4
Ethmoid-Limitans nucleus,Rat,WaxholmSpace_v4
External globus pallidus (lateral part),Rat,Leergaard2023_WHS
